Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7891cd39feac16a056e5aeaf582b6411bdad1368894cde4d48334b8099400921,2017-03,Essex Police,Essex Police,0.293549,51.489465,On or near GILBERT ROAD,E01015982,Thurrock 019A,Investigation complete; no suspect identified
bdd80817e5470e72a3f290778ceeaf7d267f84f50547b3c8fd5a6a6ae17d9f38,2017-03,Essex Police,Essex Police,0.281624,51.507981,On or near DENT CLOSE,E01015929,Thurrock 007C,Investigation complete; no suspect identified
3a82305844e91620351fdfbd40b3941cd0a5df1762c2fa7628a7045b9701c044,2017-03,Essex Police,Essex Police,0.724923,51.532971,On or near Supermarket,E01015842,Southend-on-Sea 014D,Investigation complete; no suspect identified
7de6a84b695d9a7db9ed1d84618863e428f9a19882bdb035a505210186f763fc,2017-03,Essex Police,Essex Police,0.092209,51.611476,On or near GRANGE CRESCENT,E01021765,Epping Forest 017B,Investigation complete; no suspect identified
a9de7be3e811712a4430adf88f63069e5c43f80e1a8bd711fbb6a53d058847ff,2017-03,Essex Police,Essex Police,0.922215,51.894476,On or near FAIRHEAD ROAD SOUTH,E01021703,Colchester 022E,Investigation complete; no suspect identified
90836dd84824585fb35f9469902cde337677bdf5e1f9e89670b8a08044666567,2017-03,Essex Police,Essex Police,0.714143,51.536234,On or near Shopping Area,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
c14b93915dfbfb329f1bc8b4b6866a2dff96a3c785072928eb39b9f257a663ae,2017-03,Essex Police,Essex Police,0.720215,51.577814,On or near MILLHEAD WAY,E01021956,Rochford 007E,Investigation complete; no suspect identified
5e344571ea119febd499161b946db49c2ae46e3c963b82fe32703622f19632bc,2017-03,Essex Police,Essex Police,0.715320,51.534677,On or near Shopping Area,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
efa674354793959ca6809de3c2a4c15115c7c4cd573bb354aad88858081f0430,2017-03,Essex Police,Essex Police,0.478621,51.563832,On or near HIGHLANDS AVENUE,E01021324,Basildon 019C,Investigation complete; no suspect identified
33b5e451defbc9eb3b4e5cf60985dd597f24cdbe4da23eb52cc07960133b7527,2017-03,Essex Police,Essex Police,0.477311,51.732761,On or near HIGH BRIDGE ROAD,E01033140,Chelmsford 010F,Investigation complete; no suspect identified
a8e37eded39b69b02855efa09bde89f778704e38b8a59638eaaad665a40de2a0,2017-03,Essex Police,Essex Police,0.448800,51.566599,On or near WETHERLAND,E01021298,Basildon 017D,Investigation complete; no suspect identified
4e67403d37a47042b8d8207a255303991ebefb1de43fea7afd62fd0f31c5e218,2017-03,Essex Police,Essex Police,0.687731,51.601416,On or near HOGARTH WAY,E01021929,Rochford 002D,Investigation complete; no suspect identified
04fceb16da68833fb2cc3e6e3967b43340162acdea90e870f244c168ffa6d89a,2017-03,Essex Police,Essex Police,0.577550,51.528379,On or near FAIRVIEW,E01021506,Castle Point 008E,Investigation complete; no suspect identified
5211e768807b6ce467d4575e865afcfe3730eb2203487038acfd7dcae988267d,2017-03,Essex Police,Essex Police,0.627198,51.805344,On or near EDEN CLOSE,E01021428,Braintree 015F,Investigation complete; no suspect identified
dd63a0427fa0548fb2becf850d8e142050a6a5a1462086b840ff489e4b2223f6,2017-03,Essex Police,Essex Police,0.504922,51.828374,On or near OLD MOORS,E01021538,Chelmsford 001A,Investigation complete; no suspect identified
8491d8c065e0fef7864d47a48e26bbe95f4f5c85e0f5b9a3608ccbd69004c646,2017-03,Essex Police,Essex Police,0.554391,51.867175,On or near TENNYSON CLOSE,E01021372,Braintree 011C,Investigation complete; no suspect identified
78277eba3e4a7b89ee3e38aed106ac822894b6e586449168eb4ba71fd4bcdcf8,2017-03,Essex Police,Essex Police,0.873864,51.875297,On or near GLISSON SQUARE,E01021713,Colchester 015C,Investigation complete; no suspect identified
