Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
13e9009ece8cf989e49c5da5b3ef296db5242a5ac254600b1d3020f6d5aa00d9,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
248d6d077f662cf76c57e04b03d856faf38cb72e852e45e50991e4fb9429b01a,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
9ddbc2effd791d82750ddbf433269be8f528965abe207bcbc7249e77796efdb4,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
16183f92666d7db61e10bb70612c32dec391524fefc08f432387a55dde8a44cd,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
f8888e9de7e91a7dbe1cc5a107fc4ec214c98a8b99618cf128a4e3051f09e7b2,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.296619,52.610609,On or near MANSFIELD LANE,E01026819,Norwich 013D,Investigation complete; no suspect identified
83ddc2957ff777a2770a00f6e7c1ef259124fab780f2c48ca9a0dd252f076c29,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.623987,52.481066,On or near DUN COW ROAD,E01026943,South Norfolk 010C,Investigation complete; no suspect identified
5f0cc9a68d56d11a78897ac4c4b27d61e0367c8afe8aa6e0dc6d34963bda2f14,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.171004,52.652254,On or near HUNTERS ROWE,E01026660,King's Lynn and West Norfolk 016B,Investigation complete; no suspect identified
a3793f881b8fc9651a89083c4d01828f354fae6feeefd4c2b7b3878383562122,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.310002,52.634258,On or near A147,E01026850,Norwich 015C,Investigation complete; no suspect identified
1ff36fdb7c6e133f57f0a4d22876ed5ebc78a40ad35ca9533f32d22d08e9585f,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.315177,52.631334,On or near QUEBEC ROAD,E01026850,Norwich 015C,Investigation complete; no suspect identified
06a6127215814cbf7caaf294054690e287b8c3840416e0b77d3275000f576434,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.538801,52.943310,On or near PEDDARS WAY NORTH,E01026681,King's Lynn and West Norfolk 001B,Investigation complete; no suspect identified
15c0847f166fb5c3dfe689b99bd0302cb01f71cca564ee617d29d8250ff57083,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.339695,52.647184,On or near Sports/Recreation Area,E01026809,Norwich 004G,Investigation complete; no suspect identified
f1e114dc3d78b792a697d1e686007016bb65895b825fa6f855a4e8d8d9e03e09,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.369594,52.665826,On or near LONG'S CRESCENT,E01026578,Broadland 008C,Investigation complete; no suspect identified
85d6cae1ec3d40644f5d24b0d0f1f7c7a5df31a14468134e2e646d6e8aef689c,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.436057,52.633733,On or near FROGS HOLE,E01026505,Broadland 014B,Investigation complete; no suspect identified
fd3bf0451d894a7621621054e08bf8e36d090c56447940210016ce53039e5dc0,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.253995,52.621745,On or near NORTH PARK AVENUE,E01026810,Norwich 012A,Investigation complete; no suspect identified
86330fa55ed1f9164cec362991eebc6999fd3c01ef8dfd83bc9e9031f059aa80,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.716017,52.651105,On or near FAIRISLE DRIVE,E01026590,Great Yarmouth 003B,Investigation complete; no suspect identified
