Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7bd6669d8bfc0906ddf9d6dd28bd15cbc3dc638071f70e153382d41c41eb41ea,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.415312,52.090946,On or near BAINES CONEY,E01030117,St Edmundsbury 013C,Investigation complete; no suspect identified
d99a670024e03252f9e20991e816ebef68f176e42b43e9cd8cf7d3a0f2ef20cd,2017-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
c52fdac8d82af1f413794da199c7b4c406fb92f7e874c3f1d9efa93978b4693c,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.093987,52.061856,On or near RANSOME CLOSE,E01029878,Babergh 005B,Investigation complete; no suspect identified
85055e4b864e3a581a02495f8fcd5b10b06166c73c83184b56c2a93aceeba0ae,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.199163,52.029203,On or near TITCHWELL DRIVE,E01033127,Ipswich 014E,Investigation complete; no suspect identified
5502ea84f5507bbd61e8335b2dbd93762e9ec6cf1c2027c57c9189bf8b809182,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.162055,52.057296,On or near ORCHARD STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
ab9d127aca110319c86154697c6caf7da61e3f01a62b057b960a6b525ec4c4ee,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.208350,52.045907,On or near WAREHAM AVENUE,E01030206,Suffolk Coastal 011E,Investigation complete; no suspect identified
ae6820b257df9e15803468c537c7f006049a549f3aca62c45747801f13f4596a,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.169736,52.061721,On or near RUSSET ROAD,E01029960,Ipswich 007C,Investigation complete; no suspect identified
8b4233e4d8d170647f6351548f6bef913d7ae091206061786b992517a9caed53,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.394471,52.242480,On or near THE ROWS,E01029949,Forest Heath 008B,Investigation complete; no suspect identified
c2772974f2bf9b08ca24812823ccc78618b782d9beaf1fe50a3772363cce7994,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.733813,52.036782,On or near Parking Area,E01029918,Babergh 007F,Investigation complete; no suspect identified
9910fa50317683e3810cdceb783439dc1ff34c46b73c96ddc54bb92e38432a51,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.198796,52.026722,On or near ALNESBOURN CRESCENT,E01033127,Ipswich 014E,Investigation complete; no suspect identified
7a484bfa37244d14d025ead7f4046db1004a1e413ef6101e5139f049f96716ec,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.337263,51.971268,On or near KING STREET,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
d52f8a136c71c012d334971a66ec97ee2c26875277e4ae2b281f5bdb128307bc,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.624808,52.440695,On or near WALTONS WAY,E01029930,Forest Heath 001E,Investigation complete; no suspect identified
ff87911542982d527b4f7c38c734ee6afeaad2a8775c3214430819260b1b2bb5,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.498069,52.369130,On or near PARKSIDE,E01032525,Forest Heath 003H,Investigation complete; no suspect identified
74643f1f4614ef5324efea496130822b34a090389fbbf251431f7691e625305b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.579038,52.206382,On or near Supermarket,E01030188,Suffolk Coastal 004D,Investigation complete; no suspect identified
5402c63c80cdfe347633d7566feb0e662661638151b6f7a4ea0d75a9f797afd6,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.191405,52.043112,On or near STURDEE AVENUE,E01029996,Ipswich 014D,Investigation complete; no suspect identified
86bb91b5373596375ad244230238844321baf5af3f9f28d645c0a30ff5c9178d,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.994920,52.189814,On or near BURY STREET,E01033317,Mid Suffolk 010G,Investigation complete; no suspect identified
1a7eb4f60211aad0b459e4ece302c9bdd864dff253c8d8175d24fc7c5a97dc7b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.157027,52.067720,On or near PARK ROAD,E01030008,Ipswich 005B,Investigation complete; no suspect identified
700fc4082c97bec05efd78791ec7a6985c283d2d75e4406321bc9c65a924f41a,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.335191,51.965723,On or near CHESTNUT CLOSE,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
27b0b574a93f650b68d8d1480bd26c380e647de530c2ad51522687b260dbc9b2,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.138035,52.079901,On or near Supermarket,E01029975,Ipswich 002C,Investigation complete; no suspect identified
9cb8784bac4664f8ce509dcef39bfc2b8d486a32e56f7934a05e3ee73272a2a6,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.400834,52.236883,On or near WOODDITTON ROAD,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
2dbbf30cc3aff0ed82da0eb0b762774b7c56b1eff7dd5ba01ab2fb75c56254d8,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.132456,52.033183,On or near WINCHESTER WAY,E01030021,Ipswich 015E,Investigation complete; no suspect identified
45966e66e9eef72f6eea2333d68c7e84d3c33f726a1f3e9f83d90b75492d827b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.118908,52.036510,On or near Sports/Recreation Area,E01030017,Ipswich 015A,Investigation complete; no suspect identified
a2308b6989bde15efee4aa1292945c7a64752fc55a709c578af7ee8715eb1cd0,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.203763,52.052337,On or near ST ANDREWS CLOSE,E01029965,Ipswich 009C,Investigation complete; no suspect identified
71bceb3f267120f493500e4686c936a129df248264d9de6ff20535c83d111d93,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.720125,52.446462,On or near COOKE ROAD,E01030253,Waveney 012D,Investigation complete; no suspect identified
639d1a521d0a5b7930e215ea75c895fdb180f09b67897745d32162c85ba69d1a,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.745461,52.469704,On or near CLEVELAND ROAD,E01030258,Waveney 007D,Investigation complete; no suspect identified
803d547720560fadf9bed00cb9d69054f4c9daa58cff5d5826421a68b10a938f,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.521022,52.347086,On or near BUNGAY ROAD,E01030229,Waveney 015A,Investigation complete; no suspect identified
01e36ce3331f10f4f8909953b2dbaebb18a86e331d478a0870adcfa4f264e275,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.440185,52.082601,On or near Parking Area,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
76bd1b5f24d62e3377c7b8c070862e8d61e8c1566265630e93d4deea818c5ced,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.756334,52.032381,On or near REDE WAY,E01029889,Babergh 008D,Investigation complete; no suspect identified
3c4b03a3b4f1b9a0bf43e6b23574c24f3a34220328e19f5213821e53e2dfa4bf,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.740630,52.481497,On or near ROTTERDAM ROAD,E01030261,Waveney 002A,Investigation complete; no suspect identified
5bb032edc01772802c1575ad82c4a892abec51cdfc51b55f5ab26124b52bdabf,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.998982,52.189081,On or near Nightclub,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
8486f158c11dd38bb726550dd6988d6d2a60b27b43f654bd7a6eaa7307d8b9a1,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.626547,52.441970,On or near BURY ROAD,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
f2998b1d0b96dd9376a3a1710bc08561bf9972711bf427a1fc5f8973085a103d,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.390619,52.254194,On or near Supermarket,E01029952,Forest Heath 008E,Investigation complete; no suspect identified
86d31ea834310482a2f3b13e87b7953fb9f1cd28806a54100d343aef9a8f10b6,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.172973,52.051812,On or near CAVENDISH STREET,E01033123,Ipswich 011E,Investigation complete; no suspect identified
4d3d69afbc8fe0e610e38bc43cc39d43f3cf83a61be6152ca7477fb2b81bd6c0,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.160183,52.052696,On or near WHERRY QUAY,E01033124,Ipswich 007F,Investigation complete; no suspect identified
a763732fa93d289e1a1e6acf89421fa4fab31a313845d5efe99e5089e86a383b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.664590,52.339460,On or near THE CRESCENTS,E01030284,Waveney 014C,Investigation complete; no suspect identified
2a1d7aad5aedbe30a2a150d4870eff1d1bfaf7e1b8efbd67157f32061cb5c3e2,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.646189,52.393790,On or near Park/Open Space,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
a44ffbbc66875c0f129bae88440b7ff3ffa7c4285e8ed1296f5cc4040faefb4b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.148007,52.047995,On or near BELSTEAD AVENUE,E01029968,Ipswich 012A,Investigation complete; no suspect identified
4d44e59858d4ec1e2db81418701cefe30a516871569b54319b8d2603de00502f,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.184038,52.069124,On or near SHETLAND CLOSE,E01030001,Ipswich 004E,Investigation complete; no suspect identified
c91cdb59f91fdf9ed34e52a29d84c4bb1a3442163183f47da49cfccc5e3a221c,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.521285,52.349348,On or near CLARE CLOSE,E01029938,Forest Heath 004A,Investigation complete; no suspect identified
343fab719a56dc81eae4dba016a4f97f765eac246ef34a73830be5a6868bc315,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.709506,52.473879,On or near Parking Area,E01030289,Waveney 005D,Investigation complete; no suspect identified
eadfce07078d89920903393d8bcc66a9ccc8d8b57208521b6b80d4bbaa4f23a7,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.167775,52.057520,On or near LANCASTER ROAD,E01029962,Ipswich 007E,Investigation complete; no suspect identified
403e9613e74613b2102bd144b83c0d1280b6126ea01d82f2f4e23d2daae5e689,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.152112,52.057814,On or near Nightclub,E01033125,Ipswich 007G,Investigation complete; no suspect identified
4152c054b9af048bf52fef562160b3208b8fc4b7f7ccdb2aa336552d01703ed1,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.746447,52.480260,On or near CROWN MEADOW WALK,E01030261,Waveney 002A,Investigation complete; no suspect identified
bb00e87b8b3369e089c1b7a4a7258167ddf8be6f32de0ad2cea6229a82537cf5,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.430325,52.080314,On or near CLEMENTS DRIVE,E01030115,St Edmundsbury 013A,Investigation complete; no suspect identified
ae8cd7ee3bc32a3b639c458d1209f64e1bea4120b6236cd8308d7ab38d5c6ef9,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.712620,52.244668,On or near ABBEYGATE STREET,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
