Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9b328f77b11fae78e06502b22f73018b8d187b803392660ad071d09d0a795206,2017-03,West Midlands Police,West Midlands Police,-1.901388,52.515216,On or near Pedestrian Subway,E01009051,Birmingham 033A,Unable to prosecute suspect
1842ef2c299ffa6893a419e2e0706b06a9493b5b888db4de9c20b6b4292eea56,2017-03,West Midlands Police,West Midlands Police,-1.926027,52.506181,On or near HOLLY ROAD,E01009352,Birmingham 039C,Investigation complete; no suspect identified
67f0104b8f881731292ba41ef802ebe021ce2ac9ab4d92d6b4646959c898e3a4,2017-03,West Midlands Police,West Midlands Police,-1.931961,52.440953,On or near HUBERT ROAD,E01009289,Birmingham 096E,Investigation complete; no suspect identified
cc5c10dc69d1fdc52cbc98d7360f4cb93565fc214cb8548b60980a1d009d18a7,2017-03,West Midlands Police,West Midlands Police,-1.856490,52.505470,On or near Nightclub,E01009202,Birmingham 043B,Investigation complete; no suspect identified
70e011ee42cd0a6f1813c3d98a329588cf409806dede2b6b247bae6abfeedeb7,2017-03,West Midlands Police,West Midlands Police,-1.958701,52.477771,On or near BERNARD ROAD,E01009138,Birmingham 060A,Unable to prosecute suspect
e2fb9e1d745ab681d951df3b20c70869776a0e7cc4341d7fb5c73a1ebc5988aa,2017-03,West Midlands Police,West Midlands Police,-1.958701,52.477771,On or near BERNARD ROAD,E01009138,Birmingham 060A,Unable to prosecute suspect
ace2e1db5259ce539b6819927ed1f4a44417eba78c019be4b1e88c73c482cf72,2017-03,West Midlands Police,West Midlands Police,-1.976423,52.404714,On or near HAWKESLEY MILL LANE,E01009209,Birmingham 124D,Investigation complete; no suspect identified
810c33d3a24d303c94649d58dadb266aa0f934c800b4e63a5997180e84944b52,2017-03,West Midlands Police,West Midlands Police,-1.951246,52.429420,On or near COB LANE,E01009504,Birmingham 109D,Suspect charged
81fc674d23532738aa30d27b43ac10df6276896f9c104214836724d23c7065c4,2017-03,West Midlands Police,West Midlands Police,-1.898877,52.466317,On or near Police Station,E01008995,Birmingham 134A,Suspect charged
3186c558aebf6d48f879c3165fb3659dd5456b17f0be136fcba4203e7db0d08d,2017-03,West Midlands Police,West Midlands Police,-1.938906,52.482931,On or near EAST GATE,E01009153,Birmingham 053C,Unable to prosecute suspect
