Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
646c90a803590eeea279beb1bf2e35ed6ff4c526928b8124c7e7976bc8ab252d,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
6b58d8324fb3c039533dd37b09dfdc9307602a0e35ef122bb43f021643e0b29e,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
bfdb8e4cf025a9a7f6e0fe41224b1233f3d9c871e5d8e065578729e24990592e,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e06e7534a403695bd4f926a5c4f52669c2abd6fedf7a55d9313931826b1f47a1,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
336d8bd17f09376ced34b6c7e6533c6d7f7fbbbe127d0ee94738774df04ec5ed,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
36a9889a7cc1548334864e09dfd67a373908f69aec91c94bf3cb10829b752bbc,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
0ce2f1bb6adadef0f01ecf664da6dfa332c05db517da2698becc48593fc1e960,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4314191871ee99fab4c75ecc27b995b33508fb199f0ceb6149e8ecedec662dff,2017-06,West Yorkshire Police,West Yorkshire Police,-1.274423,53.713334,On or near CASTLEFORD LANE,E01011804,Wakefield 011B,Unable to prosecute suspect
f118894ec40c3a951178f95f34d94cf96bd0f1eb8518f8a742382e9cd4228064,2017-06,West Yorkshire Police,West Yorkshire Police,-1.622661,53.882985,On or near SILVERTREES,E01032503,Leeds 007E,Investigation complete; no suspect identified
be00e939057365a48ffd9b74f828072156ed70cbcfa780a8ddd320b64b0b0e40,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
edc38f8fa40709a4404b330c7e7187141e0d73fb1fb63dc9e1f4ffc29556ac98,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
4a90288625322ed89b583521fc00c3b987c519ce757a2ebe16c2c733115fb29e,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
897d98722884c3a45f1790cc17b2acdc48672d6101cdbd870ea534c3e3d33844,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
6989a68d1a8ceafaf4cc24d5f0f140be0c3ffff4cc9c49d190b081ba71b61ac9,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
044525cbf2885aacff47c05ce8c1d839fa23b5eb0ce9229eb156d16ee2a84e2a,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
aad40421818ec0ea370e89739a4b6798bef0f11b1784ba1bd0c99911800d3830,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
326c096abf3d5278c5f22d2cf50a05c6975bfeae93886582b0b8d5c987db4806,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
e8f89bcbc53f915099e0a134d2ed2526064cb6290f97b940ff1a2f496ab633ba,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
edfa034e909fa5ba3544d9440a3d795699b856d33ee6284c8f9cb14edae2182e,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
5bb9132d290768eb0f0f8750b2e4a367ea3b5a0f9a50f19e2e613b3576fc134e,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ee9862ce8651e72f9b9ea69f338d96cd0c39082dd1bd56c8ff65b1140e843507,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
3f7a091b6cc65c9bc3a28f6d7a7ce8ee43bcd89742053e976de0fa50c6121a33,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
10b90d962e5d5fa0e3e071e493e1fe63f5ce631e9573e372c1d7f15560461090,2017-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
