Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ec290e5d4fae18ca021845fe49235e40e614a0f5f8bff4cbcc884dc1dd98b81c,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.588112,53.398069,On or near Supermarket,E01033303,Warrington 017G,Unable to prosecute suspect
191bb80f38edf5a1a3ecf7b5c14846baff31d15d032eaa87a0ed96d56ec05928,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.545726,53.398827,On or near Supermarket,E01012556,Warrington 014E,Investigation complete; no suspect identified
1a48338a319bf05a935b58b3616893af7712d23b864dac226100b978e7927a6a,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.190171,53.242055,On or near DARK LANE,E01018597,Cheshire East 020B,Investigation complete; no suspect identified
171a0e33f81bb337284b79288b5c13df3f3931c74659d713ed78ecd1d6bc9cd8,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.751141,53.327311,On or near SANDY LANE,E01012417,Halton 012B,Unable to prosecute suspect
eb286d3f9428285f1b9705f126d6486619b1722003e330eaf6fd1283bb61e3c9,2019-11,Cheshire Constabulary,Cheshire Constabulary,-3.064249,53.289529,On or near HIGH STREET,E01018537,Cheshire West and Chester 001D,Investigation complete; no suspect identified
d20a49d065f51b9631933b1c5457277b5b5f7062aa78be93b5d16fb0b9a60593,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.733285,53.339350,On or near Parking Area,E01012431,Halton 012F,Unable to prosecute suspect
cb033c7c90d631db824cd9bb3015392f27bb12626b96899563e84121b6a9f511,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.733285,53.339350,On or near Parking Area,E01012431,Halton 012F,Investigation complete; no suspect identified
17c62305d8187101e7e2671e91466ae9fd0071110530577a083f862994bc1bac,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.893934,53.188065,On or near Parking Area,E01018326,Cheshire West and Chester 034A,Unable to prosecute suspect
2dd86685cf54e03e28b51c30c1ce1f2d7f73d489f67402f28c20985b8e8c9237,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.538046,53.401622,On or near HILLOCK LANE,E01012556,Warrington 014E,Unable to prosecute suspect
fd69291f51efb73ae68aa77a35e8c54c7780b42258e345d8302d9940dc1cfe98,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.440495,53.095528,On or near HIGH STREET,E01018464,Cheshire East 039B,Investigation complete; no suspect identified
66f98b3ae48d29ffa2ea4ef0257212c45f7ec8f33f610d1bcb5807cca7d40f3a,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.094292,53.298772,On or near HAMSON DRIVE,E01018576,Cheshire East 013B,Unable to prosecute suspect
bc2ee9bf2118c9dc1aa775a9b4cfebed443512fc1bcc003c062de066ecba6224,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.914730,53.196887,On or near GREYHOUND PARK ROAD,E01018330,Cheshire West and Chester 034D,Investigation complete; no suspect identified
d7e2dc3406c1b35de57cddf60b12e3db4e255a0d82ba9cc4037b3b425afef679,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.518740,53.070160,On or near BOWYER AVENUE,E01018451,Cheshire East 047A,Unable to prosecute suspect
1f6bd7e340dd7c8a9e8a3e621e62913d8707e857d415aad73db0ac01e8d5c62f,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.506009,53.201087,On or near PARK AVENUE,E01018749,Cheshire West and Chester 035D,Unable to prosecute suspect
7c80c7301ab7d9b24af21965047ef96ef5cca247e8e609c4fb241f6019612609,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.151028,53.253617,On or near Supermarket,E01018633,Cheshire East 017E,Unable to prosecute suspect
51ac6be5c31a502ac1697ee8082e9109ffc90a6aaf4d7e0a1a09c75aec819638,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.880246,53.202235,On or near WOODLANDS DRIVE,E01018362,Cheshire West and Chester 028A,Investigation complete; no suspect identified
f6bd93d6d3054d0bb9446c0c6c6dedf27586c92d8b035e9ad78a56b57e05b5fd,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.521524,53.234836,On or near ROOKERY GARDENS,E01018683,Cheshire West and Chester 026D,Investigation complete; no suspect identified
21e39f74cd3c593d5f9fa2715b21d1e50ec61e91a666808fbd187ea484e4b1e3,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.903412,53.203931,On or near A5480,E01018310,Cheshire West and Chester 029B,Investigation complete; no suspect identified
d6f21b6dbb77478c72dfd541deb8aa3925f2f73116a4e9e207ee9bff75e9055e,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.583177,53.375954,On or near CHINA LANE,E01012510,Warrington 017D,Unable to prosecute suspect
59bd7db000f6c505712a2a8440bdda663998c50e15c78ed47b0d148bb02a8783,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.286737,53.092753,On or near LINLEY GROVE,E01018390,Cheshire East 040D,Investigation complete; no suspect identified
3d6d0cc0e0550f581caa2989ef48374f89ebb44046677cf28832493a7587e830,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.883314,53.190553,On or near UNION STREET,E01018326,Cheshire West and Chester 034A,Offender given a drugs possession warning
3f78a819e2254d96f8d030adfb95b83492a9981f522ab76430a837ace6bd3d9d,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.953873,53.294508,On or near CHESTER ROAD,E01018570,Cheshire West and Chester 004C,Suspect charged
f3ffb975df84d24ddd9465669efc810a6dcedf8752eb0abfcfe9c1b21570e782,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.763697,53.373739,On or near CRADLEY,E01012377,Halton 004A,Unable to prosecute suspect
2ea43a7338e63ce700a1845e9be370f2e33d9556a8ca96bcc8e1a308ecb1ea82,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.467329,53.099516,On or near FAIRBURN AVENUE,E01018498,Cheshire East 039E,Unable to prosecute suspect
46653fe35fac7b74f3a955d1c83e6329c13b75298b7185a88f90248ffe9ca073,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.475863,53.117685,On or near Hospital,E01018480,Cheshire East 049B,Formal action is not in the public interest
24eb0f69b54db54e0fc7a14e19aad768a79794585e72aa5f3c89e3772edfc26e,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.530824,53.264854,On or near HEMMING STREET,E01018713,Cheshire West and Chester 018A,Investigation complete; no suspect identified
eafbbe2d7fde3f2ec3652a6e1f2718562d6d42003d240bdbc5591583954ea61b,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.548921,53.189948,On or near BECKENHAM GROVE,E01018738,Cheshire West and Chester 040B,Unable to prosecute suspect
ab1b4160de48cce303163bd00334a4db7adea5e7770abdff8f44bf30a8388037,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.725745,53.337563,On or near HEATH ROAD,E01012431,Halton 012F,Unable to prosecute suspect
4311150c0654a57ef9bff89336f1d2b6b37732cba560c20171a8251e76d0013e,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.128810,53.261805,On or near KING EDWARD ROAD,E01018624,Cheshire East 018C,Unable to prosecute suspect
e7abd1010fbf1438f94f251a2038c55928a267e3e905230ddfaa1a29eca53637,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.126218,53.257215,On or near DUKE STREET,E01018624,Cheshire East 018C,Unable to prosecute suspect
4423cadc20d85fe4d84a795675733067a5c50858b0560a1c17ea04ff7b35248b,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.917893,53.210392,On or near GRIFFIN CLOSE,E01018312,Cheshire West and Chester 029D,Unable to prosecute suspect
fdb764cb8315365476be47eeb3987ace84a19571a4e0cd936880ddb8a8fdb0f3,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.580779,53.370896,On or near Police Station,E01012557,Warrington 023C,Investigation complete; no suspect identified
34c08ba3a8fcdce95d2a81e24c458aa9230f9b4d622f00269aa6cef4e992dfdf,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.124577,53.260057,On or near CHURCHSIDE,E01018624,Cheshire East 018C,Investigation complete; no suspect identified
6474a41ad845872bc27bddc8b5656b3675f9d406c7acd50bef1394f433736ce4,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.895765,53.285179,On or near ELEANOR STREET,E01018564,Cheshire West and Chester 007E,Unable to prosecute suspect
e94f894e6fed2344d5549a8602cac938bc4aaf0379601fa27d63016339f7c357,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.442349,53.089966,On or near BROOKLYN STREET,E01018486,Cheshire East 043A,Investigation complete; no suspect identified
fed7c0471529ef3066034758bd4a92a44c6ace959a91e66d4f9cf25be0b61e4c,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.508130,53.262652,On or near ALBION ROAD,E01018714,Cheshire West and Chester 018B,Investigation complete; no suspect identified
8eee51f4ab5c84710c27bfed69eab5ab60b91bb449c9057242ae27be555d9a0b,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.696264,53.336615,On or near WARWICK GROVE,E01012383,Halton 013A,Unable to prosecute suspect
f1caf4038cf668d72ca607d74e8d97940734546b446f8e4308740c9d7178fc93,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.600253,53.387698,On or near HENRY STREET,E01033300,Warrington 018F,Unable to prosecute suspect
c5b64d2345f12ddf34c9bee7a9950fbb19c30cc6b96a840ab79b454b0f101ad5,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.594842,53.387860,On or near CAIRO STREET,E01033300,Warrington 018F,Suspect charged
7db43bc5073378721e82cba251a8a21f1b04ee3664741f075bfe88fd3657ca9d,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.096406,53.344649,On or near COPPICE ROAD,E01018661,Cheshire East 001D,Investigation complete; no suspect identified
941aab86218b11ecfbcf31a83cf67980610537ab4f66621293dced949f4e05ac,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.740156,53.371874,On or near WOODLAND AVENUE,E01012426,Halton 005D,Unable to prosecute suspect
c858aa959cd805e4c2b1d19e03501b5df482705d7418a6081a23496c45ccb6d4,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.197818,53.158617,On or near AVON DRIVE,E01018405,Cheshire East 029B,Investigation complete; no suspect identified
1153d1a4bf1b54eaeda50f4d7947fb58653522aeb046fb2a529daafbe8956d86,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.898957,53.213529,On or near UPTON GRANGE,E01018377,Cheshire West and Chester 028F,Unable to prosecute suspect
1db0a32b86a576d86979ec671198827e8cce84360b0ab0fa704ddc1234a7a52c,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.876005,53.279060,On or near GLEBEWAY ROAD,E01018552,Cheshire West and Chester 011D,Investigation complete; no suspect identified
5ed6af0e50800e7cd64a5aa9582366a3443acf8e6b394de94837bebb27cfdba1,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.582805,53.416899,On or near THIRLMERE AVENUE,E01012534,Warrington 006B,Investigation complete; no suspect identified
c21c678d8e4385bd6ba796022422ad1931e40d999270b458e355ca6824ef99b8,2019-11,Cheshire Constabulary,Cheshire Constabulary,-3.059546,53.287440,On or near STANNEY CLOSE,E01018532,Cheshire West and Chester 006A,Unable to prosecute suspect
2c3bb4cdc667414fa5a4ec018a711aa50d24062b72ab5891d4e9ff2337855284,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.892790,53.189925,On or near Nightclub,E01018326,Cheshire West and Chester 034A,Investigation complete; no suspect identified
4a1cf6222b1f605b062c1f361fa4f209f63ef7199d828ce841a4dcdb5c7e0ec2,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.575487,53.406490,On or near Petrol Station,E01012524,Warrington 011E,Investigation complete; no suspect identified
08e92e6ab2cfb4414b1ad01b5414d51ccaa93ea2dca77f29c9b7ab2b5e221543,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.874890,53.198724,On or near LAW STREET,E01018343,Cheshire West and Chester 033C,Investigation complete; no suspect identified
6e89799f8a98f2588711d9f188b3f585884e07eec7c0247e151624fa903fa4e2,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.534134,53.407545,On or near KINGSLAND GRANGE,E01012551,Warrington 014A,Unable to prosecute suspect
0d708c49a1582092a0d38b0865d5f661c22df0837515b0bf9c2d5ba78fb1dc6a,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.624464,53.399250,On or near CAVENDISH CLOSE,E01012570,Warrington 010F,Investigation complete; no suspect identified
3f362651109b868596c89f40d33ca63199b6660c08655d83376ceaaf38317f51,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.701083,53.338294,On or near CAESARS CLOSE,E01012382,Halton 010B,Suspect charged
0ba5635b8aa8d303b1b899d75fac29b8824a14cf1666624e66f0afca0e096fdb,2019-11,Cheshire Constabulary,Cheshire Constabulary,-2.584782,53.407505,On or near LONGFIELD ROAD,E01012520,Warrington 011C,Investigation complete; no suspect identified
