Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3cf384d5d5f82cd278b135de6a8654fd7178ac83a8140c1617904a7a985319c1,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
5ac0cf5aa0d2040e6dd771a10fdd63b2c407c7cdfa5339bfa31dec3341143a85,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
3a546a70ea95575ab44097c56b0f6e468220de97c69956d9502ad61040e8b68f,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
80fe82bef304c20c4e43575695553dcefecc36e55027de5137ee23952dae6db1,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,-4.157437,51.671022,On or near NEW DOCK ROAD,W01000659,Carmarthenshire 026A,Suspect charged
033c2506596bbdabe04956c9e830eb5456e35089b6eb72075662244e65f67b54,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
85988919b90d699cace26da763ccf887409ff2989f2fe63228d681a95a0b88fd,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
fd053803195e832d0a6d6103e28ec786ab0de0b4761a7a34452dce9c0ea898d7,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Suspect charged
4e58ebec84a2e5e4eab8db0bb1ed785dd4d93b073756f3938792ab0035c784c8,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
010b1d0d8735e62c01f81b8cf5e203d54becc8029167ae6eda25b5a0308a08a4,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
f603c743a11361a3642a3fb063aec824d79d74f3a5b6e6cb74e898e2f754d7f7,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
c2d3b480087460e9f43abdc644aec5b410ff91768847de577b2c2d1280e6d87d,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
2692133b5f4e3ca0de770583528dc72ef4e84edf5aabc4c492c82471435494fc,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,-4.087505,52.412362,On or near TAN Y CAE,W01000517,Ceredigion 002D,Offender given a caution
3e261f5b25f714275d58d0b4a397a013b1ab809c0ea3bd59273602e571975ca8,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
cba050d2274af5fa3a28679883c1963769be2f41b76cb9ef575e9ec73ea8b98d,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,-3.209682,51.965648,On or near A479,W01000494,Powys 015E,Unable to prosecute suspect
9332c6bb216c11fc9ec482780720fd30161b91cf404267ec7e018479089e6de2,2019-11,Dyfed-Powys Police,Dyfed-Powys Police,-4.138427,51.685947,On or near TIR CAPEL,W01000652,Carmarthenshire 020B,Investigation complete; no suspect identified
