Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
37652995078d9fba68d7de1731738155172969b1a0016f617b9d8814aad0bde8,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
c3aa7507edb9336eea22a6fa6ea2ac9edb1e933bca4c45545fafe5acb6076ffc,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
eb22a479bdd5e511ebc2ed2dcf0fef5aa048381046d6f01cfcf3ead3febcb05e,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
120d1d0cda82a8157126e7a4a4f525d25c7e7457d19dc0b2a867f70c76d8828d,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
a6d44a219fe29df3fa6c908758e9684c15db28d962b46c5e5383400e441b9ae8,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
d9a1edbb86a10e66b8a126bc8193ca887ee4110686065eb7e74d27ada13f3599,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
7243e81690979f04ab2b0e8544db0433fa0315453b5645cb70c2d4867416907c,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
771c7aea1eceb0157da6a2ed8cfc328d2fecaf92106f46272d543ed1eb85a637,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
733cb627c87cd639709dee3380cf43b4e3818906c89ca650e33654459396b571,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
ab583dd5ffa9d1547fd408f7ec50417b05d52b01f73238f5b9cb4e57b262a1e1,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
480372ff82a8d4c49a3c3bfb033c07d498f79125e7b2b45c60e2b11faf9bf25d,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
30a2dbda0804e53746c7a40fab709b311a45ce8d1003aef368098ec56fc7a353,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ac8995ba78220266a3f7efb0eb699334f07fde9d5a2f3b05b12bab7ac169bad5,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
83c903a7e751ae58eb4b5ce35d6aa47fae5f3b620e140a7aa8c1b80b4996b9fc,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
33da5792135400611d904a6bf4f4dbe59f1df0ee759b85fe482731dce8dfe764,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
043a380696a3f25b19a8f06a3d005896f8a523cd60011f8861a9b01f1e8f5d80,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
20806884fab74ff6efd8d24f3d7f6179b1ab6afa99a6c3c8d94f7afe79398255,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
176cb3c676a9a84668584522bc5f2a887bb5314a6ecb0504cec78bfdfc6758fe,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ccce89f0720eaf55ec8497eca86be776fcd5c81c528db300b3f824fa95ca4fee,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
99d324214f40d4fecac6b1307f21b841caab2e3a838b26a88099980f7d38fa47,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
76324863b86b9986edb017d8bc4c8cc6b10b818d2612568179789e855a95a513,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
87de0939ae76d85740fd05dd4cd90eb1b91c59458dbeda150e6ee0e143b8d506,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
86148dae86ff5c423b8a66088a29f63d438ceff88cf4bc4e56ab65ef586ec55d,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
3008ebc82d5e852af101959c2d82cc7c235fae0fc25b3d2ee6a4af3100a2c8af,2019-11,Norfolk Constabulary,Norfolk Constabulary,1.710210,52.569112,On or near CAMBRIDGE AVENUE,E01026619,Great Yarmouth 011C,Unable to prosecute suspect
e1ec3621754eb22fe5ea59fed23ed1e3b8ec9354bb58bc147e64bb455ccec4db,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
9cde525425c6310a072ef267d8bf86529290a171f219b8d4d374503d9a8466d9,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
4385b3587f40f0db56045086ce1b2911215808d3781d1b64ad6d0e0d50849f72,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
a6a0fc923088b6a4690e22d21e0425febfa3ae53d83a662cda83e11de736a36b,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
308337b1845b1bcca3d6c99e7500c0a3f9cac9f461896f380992b5026efcd3eb,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
8e026df6f3b9c4e3de0716730a9960a2ed1d0848f28ad700e3f58a1916473b1a,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
b8049036e0fd6e12bacd00f50a85dea4dc6aa9abd06fbd89edd744ca7aa19198,2019-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
