Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f619c8b77b24eb09f16df28433c4af14b26cb122fde1cdf032bd7909b6de91bf,2019-11,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
c64dc6f1759e7569b0d3c40864bf05e4fcf526ad1ab83bc90b4d84718a320979,2019-11,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
566be34274658ea95381486d60dd676c77c7ec969354b19e4359c941534a92d2,2019-11,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
a82a14500c340657b23d0ebea65d04a927666bff2efa6855cff86a703d2d7d1b,2019-11,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
bb963b294da38598c4cacb6fc7b6e949384c3a3d2a818316f9d50a3e9a78dfb3,2019-11,Nottinghamshire Police,Nottinghamshire Police,-1.212361,53.002517,On or near PLANE CLOSE,E01013883,Nottingham 005E,Unable to prosecute suspect
b9e28f1cc480367e4daa474caac345bc9dfe78904d80af1e727d4e1657b8f9fd,2019-11,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
aa6c07901f19af65c9b77c3a59492dbbbd07b8ca375dc203dce43b707cad0bf1,2019-11,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
93fa54f2d6cf43f308a4c1572bc11b74159753c4da8b19ae8d0ec14b48fdae22,2019-11,Nottinghamshire Police,Nottinghamshire Police,-1.231505,52.965857,On or near BARTLOW ROAD,E01013858,Nottingham 025A,Suspect charged
984e215b1b879c514e4729c2272dbca389a191bf77fec574bee2e4e3924003db,2019-11,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
7b71b84f263864f4377181257591b0be6ac89c883c9e1488a896321d7cbc14bd,2019-11,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
0498c7da1df97299bd78b41a051d523dc5666b70a7accf81271fdab64b3a73a7,2019-11,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Suspect charged
