Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9f67739424f170cf3780015c11f6120a92b629a085d08c84134552a5405bd87e,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
62bc03e14c76276dbd5565a5b25c8712567affb3e8a3030f0f2856ccd84d4ff6,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
7ca20b8bab19bf0e45b9f3a0382fa589cc1a0b03c34458a2dc50d6c6b263ad85,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
3a680b30823631077230125c906292d6b4fda5dd38052a4eb7540cfe251f2596,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
2a0c77f286563941aae79ee2965c118b7766ca0830c1688a8f4f62266b6e9472,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Local resolution
be52c8afa7bbf892ec57412ea9a1e1572c2576625ae2a9215b55e2e82e5550ed,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
4b867c58f296d54f1975a6fada0620b819618ab19afc19c0e382cd7fec7b0e08,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Action to be taken by another organisation
dc2385ffc2e1e1154a34b38ae56942fa30bce4dd3f66c1513de363956cc5902e,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
8705729a9e99d435f299ca6dfcfbca08bb6544dd7e686d2087509f1fe842a658,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
45b3297ba08321bda2c359924acd6441f41a19f19c2884d1af81cda894685289,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Action to be taken by another organisation
e6cb0a89bd9ab9c428bb4cb26864d1adb589c05b548e98d01b323cf433c4384e,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
4ece29178dc94890664b643443e113931de53adf4352f45d394fb0b93389a16c,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
a847a4ed527759b74bf1fa8711a432d3283f2a2c558aecd40a480587fcd3e243,2019-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
