Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d7318f8eb59b8d3f7286798ece31bd87ca104bf511a6a3107a9261ed1c30e7dd,2019-11,Sussex Police,Sussex Police,-0.149811,50.824417,On or near WESTERN ROAD,E01016955,Brighton and Hove 029E,Further investigation is not in the public interest
77374eeb884f2594a2aac5b15e8fb8e5cd8fc4dd1e5d9d44694b5cd4f652f331,2019-11,Sussex Police,Sussex Police,-0.138143,50.821479,On or near CASTLE SQUARE,E01016952,Brighton and Hove 027A,Investigation complete; no suspect identified
fba3916c8244f674b3caea1ccb4f091c49ebe2bec0e74ada189a48b333b0f6ae,2019-11,Sussex Police,Sussex Police,-0.138962,50.819820,On or near Nightclub,E01016952,Brighton and Hove 027A,Unable to prosecute suspect
d8a1e801ae421ace2d9a788d7c41cadc90b021be1996255c7abb50363d9fdda2,2019-11,Sussex Police,Sussex Police,-0.133638,50.827991,On or near ALBION STREET,E01016947,Brighton and Hove 030C,Unable to prosecute suspect
0d4a9496e16309ef9f334feac09a09655ecea53476b23162a9520bd8483ec216,2019-11,Sussex Police,Sussex Police,-0.131931,50.819896,On or near NEW STEINE,E01016945,Brighton and Hove 030B,Investigation complete; no suspect identified
baf523d237d00e813463c2dd5edf063add7f05be22a157dd06caa1129979d021,2019-11,Sussex Police,Sussex Police,-0.128678,50.841590,On or near HORTON ROAD,E01016905,Brighton and Hove 008D,Formal action is not in the public interest
f9c5be37b0bf64013701a80040156474c81ca8e3d095ac7e621012fa08746ea4,2019-11,Sussex Police,Sussex Police,-0.200149,50.842049,On or near MARTIN ROAD,E01016880,Brighton and Hove 013B,Unable to prosecute suspect
ba426f87f5653332f9974f008bd2bad628be426f3b70eddd376530f211899f26,2019-11,Sussex Police,Sussex Police,-0.209916,50.844412,On or near HELENA CLOSE,E01016977,Brighton and Hove 012D,Investigation complete; no suspect identified
42cbd6b264ec14c023414367e273472879911acea702ca204a577f8d28a8f147,2019-11,Sussex Police,Sussex Police,-0.187308,50.825581,On or near Nightclub,E01016986,Brighton and Hove 028D,Investigation complete; no suspect identified
addf9dbb02f9787711ea2d32292cec307ba0ed9f503c233b3b28fac6dec59e58,2019-11,Sussex Police,Sussex Police,-0.178758,50.835845,On or near SHERIDAN TERRACE,E01016990,Brighton and Hove 016B,Unable to prosecute suspect
