Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c947daf398374177436f312af312e28ee6c0fbe0548f9bdc3bbcea2eecf0b37d,2019-11,Wiltshire Police,Wiltshire Police,-1.623548,51.477073,On or near HILLWOOD ROAD,E01031841,Wiltshire 012A,Unable to prosecute suspect
305d5e830cb489d3d30b1343a96c986fd2bc813ee7283888082bd7f2ed0a9d4c,2019-11,Wiltshire Police,Wiltshire Police,-1.895106,51.542808,On or near EVELEIGH ROAD,E01031963,Wiltshire 006A,Unable to prosecute suspect
6994f1f366dc6fcb21340abbd772a85406ebe75803cc74f7e0e59ae391a664e0,2019-11,Wiltshire Police,Wiltshire Police,-2.191223,51.431420,On or near ERNESTON CRESCENT,E01031931,Wiltshire 018A,Unable to prosecute suspect
adbb230f2eb32117d2ff6c63116a274113c8adab36de459f3df00f3655b2a96c,2019-11,Wiltshire Police,Wiltshire Police,-2.023817,51.050166,On or near A30,E01032031,Wiltshire 061D,Investigation complete; no suspect identified
4d4ac8a2484ee59fcc7cc2d2a2b15a9fd36d95500ecf567223eb93b67ad89730,2019-11,Wiltshire Police,Wiltshire Police,-2.202383,51.248645,On or near SUFFOLK ROAD,E01032694,Wiltshire 040G,Investigation complete; no suspect identified
817298402cd189212070623542a56589c4e707767eeb681b7ed0cfdc72b3ed8d,2019-11,Wiltshire Police,Wiltshire Police,-1.772302,51.558513,On or near DROVE ROAD,E01015574,Swindon 017C,Investigation complete; no suspect identified
3c062de2897f4034ebe00787a28ce13102aa9bfe5e57c18b2593a84b053a4856,2019-11,Wiltshire Police,Wiltshire Police,-2.185828,51.101231,On or near B3089,E01032010,Wiltshire 050A,Investigation complete; no suspect identified
8866bdf5f429de315e1383300cb363ac20a9da90f20e404319c1156d9f09bdc2,2019-11,Wiltshire Police,Wiltshire Police,-2.099615,51.348982,On or near PERRY'S LANE,E01031876,Wiltshire 028E,Unable to prosecute suspect
94ec34411f2c378d59a1262983f1315eedb54ee05a063763f47377af1bcae928,2019-11,Wiltshire Police,Wiltshire Police,-1.776077,51.090248,On or near LINDFORD ROAD,E01031984,Wiltshire 051A,Unable to prosecute suspect
2726a5ca8d9b86b78ebf099d783121070f00dd0b45ea18776e1b38760ec0cd6c,2019-11,Wiltshire Police,Wiltshire Police,-1.791294,51.559601,On or near THEOBALD STREET,E01015476,Swindon 015B,Unable to prosecute suspect
11416a3e14b13cceea06a698d7949daaaab391adaa56aaee90249a038f3f723c,2019-11,Wiltshire Police,Wiltshire Police,-1.785196,51.561954,On or near Shopping Area,E01015476,Swindon 015B,Investigation complete; no suspect identified
94abb5d019f58f444d346a76631762c70be4388f9abe5c56157059e151d6d3d0,2019-11,Wiltshire Police,Wiltshire Police,-2.197924,51.261196,On or near GRYPHON CLOSE,E01032118,Wiltshire 040D,Unable to prosecute suspect
224212dbf56bbc937d5a245f4bc58b7a466007ac1ef7f3d8282e7ca52ab000d0,2019-11,Wiltshire Police,Wiltshire Police,-1.599633,51.460395,On or near Parking Area,E01031873,Wiltshire 012C,Investigation complete; no suspect identified
224b48eacd495e5ac31e9edca48a895303174a543381279ac51e321e4f9e5aed,2019-11,Wiltshire Police,Wiltshire Police,-1.986034,51.358654,On or near KEEPERS WALK,E01032693,Wiltshire 025H,Unable to prosecute suspect
c2e503f44d7af8168c9704f420fd5f1fa1d2905054a8beee25b87306f9f78852,2019-11,Wiltshire Police,Wiltshire Police,-2.155606,51.511443,On or near Petrol Station,E01031951,Wiltshire 008D,Unable to prosecute suspect
beea81742baf136665283d045be75cdd5d9f1ac6ba3064bacb2c24d8ded3bacf,2019-11,Wiltshire Police,Wiltshire Police,-1.666216,51.245243,On or near MILL HILL AVENUE,E01032698,Wiltshire 041H,Investigation complete; no suspect identified
8003a8836bd16c82fefac4ee7596d7a3d34c174575052c2af5de46de6d7e1293,2019-11,Wiltshire Police,Wiltshire Police,-2.128956,51.381809,On or near PHILIP CLOSE,E01032064,Wiltshire 020B,Investigation complete; no suspect identified
e1a69cdf42336662b7dd70df1d0d446bc1594bca256fec9fe49a90a994deca15,2019-11,Wiltshire Police,Wiltshire Police,-2.224566,51.428358,On or near TEDDER AVENUE,E01031889,Wiltshire 017B,Unable to prosecute suspect
