Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bf731905383f77a2248df9e2035dcc73aebd139f9acc6f88c1e9edbd0e362d07,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
704ad41396aa9e0487f9b539b75a958af208fac3c8ee9a05fa3a41fa7a7f74fb,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
11f1b8782436aa1cd294e8743bcb933666d0efebbfe47654044f43a58c13686f,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
9ea21ab84259a0686837a38849db9dc74fcffe51f01041a957e69b7141bf94e9,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.003638,51.129136,On or near KING'S PLACE,E01029112,Sedgemoor 009E,Suspect charged
5d7f9c0b6b0c80b23bc0746d37f838e82e0e6c8be998852dabce769af4d547d6,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ae4c52cf395c9d3d5b99d18f534b9956d397b8e6c65db0ec49b71d66ee66cb7e,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
605f042128083cd660c994630464c6ae13de60f2aaa68c3847996be183fc02c2,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
e7fec389a5fbbfaafc6f645b6d2a29627e2a077b464cf8b4072cc3b7446eb1a9,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
0d85c28f44403ed1918f6de640ddff500788746678119b38e594283117da1ac9,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
9974b2bd4e481ad7598bbe8f8d7c869ee5f4d4aa96c58ac1769b057f6c5334b8,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ae917fd4b026e47fd7dc80c7c2ae57e654b6c79bd0613a5e17ec5ef2ccc9c7f0,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
d12891227bdbb48dd45ccf982fc1a41b563d8bfbd03a54983bc518d3391b6b74,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
7baa52871ad70c12db17877c9393bb3cd3468c43a18ef2a57f326117a1ec9672,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.574017,51.463835,On or near BARKER WALK,E01014654,Bristol 056A,Unable to prosecute suspect
ac1b3c3a1b9163439418187172fabbcec8d3f847924e53ea35d18df78317b6b1,2019-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
