Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
02241ae6b1c68ad33b925f7499aaecc5b5ef4a70540616310427cde269b1f406,2019-12,Gwent Police,Gwent Police,-2.714892,51.583844,On or near CAMP ROAD,W01001578,Monmouthshire 009C,Offender given penalty notice
542fb260d16d61113fd3ee6706f3d8a0234a1baa843aad907fc34ab367dadd61,2019-12,Gwent Police,Gwent Police,-2.989145,51.577069,On or near ALBION CLOSE,W01001659,Newport 018A,Unable to prosecute suspect
9bfd7a39dc901d16edc43ba4b6d8f5d1ff70ad7b0d0a64a6acb93feeddf15139,2019-12,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
f4c7a4a26e5ade250ebb0b4c48316f2012537962b6772d3ea33664bd0936daf6,2019-12,Gwent Police,Gwent Police,,,No location,,,Suspect charged
6401fd52bc34ccc0dafdbfff88ccf4e27f4146e5ec36ef1dbb92aca8355f749e,2019-12,Gwent Police,Gwent Police,-3.024709,51.821953,On or near LAUNDRY PLACE,W01001557,Monmouthshire 001C,Offender given a drugs possession warning
ef738e97dadc1015fd0cbd4833ee2ea960b4aaaa7d031007663e17886c88d7d5,2019-12,Gwent Police,Gwent Police,-3.171046,51.802819,On or near INTERMEDIATE ROAD,W01001446,Blaenau Gwent 002A,Investigation complete; no suspect identified
77ee874f1935cf16c360bc62004ef3307533b1cad74fc92087c931e3bccc52f8,2019-12,Gwent Police,Gwent Police,-3.169888,51.784983,On or near PRINCE STREET,W01001468,Blaenau Gwent 005E,Investigation complete; no suspect identified
cee2e85f5090c6b1f641cf11b89af00b214337c1dc2e8e0ac8265c3e05c6f185,2019-12,Gwent Police,Gwent Police,-3.064017,51.820201,On or near THE AVENUE,W01001569,Monmouthshire 003E,Investigation complete; no suspect identified
ea9aab41b4208b2a379b74111f4e08cb62df3f58294bf4dad30f0e81e5fee053,2019-12,Gwent Police,Gwent Police,-3.010409,51.835860,On or near DAN-Y-DERI,W01001909,Monmouthshire 002F,Investigation complete; no suspect identified
9ca9a7ea62c414cd414bd2bcc08866b21fb5cfe4beae024d5de4370e313b77f0,2019-12,Gwent Police,Gwent Police,-3.162064,51.768804,On or near CAE'R-ODYN,W01001443,Blaenau Gwent 005A,Investigation complete; no suspect identified
7473a48305043c1f2aa99eb06eac71f89aa0cebc0a7eece750b52f042cf4d552,2019-12,Gwent Police,Gwent Police,-2.999210,51.591829,On or near LUCAS STREET,W01001601,Newport 006A,Investigation complete; no suspect identified
f56e05504ce58aad7a6bbff2089f77eb735ff9bc809f3bfd6c164ebdea85abc7,2019-12,Gwent Police,Gwent Police,-2.997067,51.587567,On or near Nightclub,W01001687,Newport 014D,Investigation complete; no suspect identified
580075385d880976b69c4a08a64a76fd464914271a2600304c9404d1de8b43c2,2019-12,Gwent Police,Gwent Police,-3.044350,51.707490,On or near MICHAEL WAY,W01001524,Torfaen 004D,Investigation complete; no suspect identified
db27d3bd19d3190a7797dc31e6c6193abaa3170c0a8219530992d2214297f03f,2019-12,Gwent Police,Gwent Police,-3.036526,51.610828,On or near CLIST ROAD,W01001619,Newport 003C,Investigation complete; no suspect identified
62d352418e0500c30ad5530dfc5d2944ec5322e989b3195782fbbd6651dac5d4,2019-12,Gwent Police,Gwent Police,-3.289259,51.765067,On or near PRICE STREET,W01001429,Caerphilly 001F,Investigation complete; no suspect identified
a1b837187b49cc0e162cdff8f384987a981dd1b5d253905d34ecfa352ce76c2b,2019-12,Gwent Police,Gwent Police,-2.994168,51.600225,On or near ALBANY STREET,W01001683,Newport 006D,Investigation complete; no suspect identified
624c54693c6e9fad867bd2ed7f100607b677300cfc2830b824239d0d3cba2dfe,2019-12,Gwent Police,Gwent Police,-3.000644,51.583490,On or near ST WOOLOS PLACE,W01001687,Newport 014D,Investigation complete; no suspect identified
3a033dca81bb77a372ba400211c3d883804b52aa7903275eff6902db4110be2e,2019-12,Gwent Police,Gwent Police,-2.989145,51.577069,On or near ALBION CLOSE,W01001659,Newport 018A,Investigation complete; no suspect identified
d4cc53caf85edede956eff902fe24ba060eea3aa1d86ad73b7484a89ba91ac99,2019-12,Gwent Police,Gwent Police,-2.786867,51.839690,On or near Sports/Recreation Area,W01001568,Monmouthshire 005C,Investigation complete; no suspect identified
e4439c1ed6836779c7d841969dcb49bdf36c95976d002ff7613f30971de595ab,2019-12,Gwent Police,Gwent Police,-3.159651,51.679128,On or near CAE CELYN,W01001357,Caerphilly 006B,Investigation complete; no suspect identified
4f7221b9dcc80b87893ca6bb182a0e7d0622b375e90e9aa24f17444e5cf21545,2019-12,Gwent Police,Gwent Police,-3.009657,51.583179,On or near RISCA ROAD,W01001629,Newport 017A,Investigation complete; no suspect identified
d9d1410601ff799c59095072f600e5b91200114edbad597b0b6d8c0d51a6f4ef,2019-12,Gwent Police,Gwent Police,-3.227276,51.572347,On or near NANT DDU,W01001424,Caerphilly 024C,Investigation complete; no suspect identified
35abf46b5410389808d07ff176e36bb46419308f38731e1993181e340f5e8e3c,2019-12,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Investigation complete; no suspect identified
84a70728d16d79c81e73cfb8f1af7ef08d6d1a84156a7ef30a847a22a1bbd408,2019-12,Gwent Police,Gwent Police,-3.170565,51.678336,On or near WAUNGOCH ROAD,W01001390,Caerphilly 006E,Investigation complete; no suspect identified
cf7bd8a8572931693fd27d5c9113fddf89f29a1293749ca4c9d14f1ee99e22b0,2019-12,Gwent Police,Gwent Police,-2.989451,51.570565,On or near WATCH HOUSE PARADE,W01001660,Newport 018B,Investigation complete; no suspect identified
dc975ed979a6c0f5e0616900379952d855a1463496295e700344295c89ef1263,2019-12,Gwent Police,Gwent Police,-3.281408,51.747817,On or near KING STREET,W01001406,Caerphilly 001D,Investigation complete; no suspect identified
d231f681603084fd68e7ad5da69f72761a9cf1bdd607aded77fabdbcfa2b8c65,2019-12,Gwent Police,Gwent Police,-3.170565,51.678336,On or near WAUNGOCH ROAD,W01001390,Caerphilly 006E,Investigation complete; no suspect identified
9d37a375b30ad4cc1080817de22c6a7d9b3744092e050e4630a9141d26741d9f,2019-12,Gwent Police,Gwent Police,-3.059315,51.574208,On or near BADGERS WOOD,W01001635,Newport 016A,Investigation complete; no suspect identified
4554a5f59198008ecc2035274362c4f03fedbc1dd21271ab768d425af32d210f,2019-12,Gwent Police,Gwent Police,-2.993170,51.583617,On or near COMMERCIAL STREET,W01001687,Newport 014D,Investigation complete; no suspect identified
8430ed5e74462700006093b56f3814f85a14a3f8857a2296a40882ad89307d9d,2019-12,Gwent Police,Gwent Police,-3.020299,51.649086,On or near WHITEBROOK WAY,W01001506,Torfaen 010A,Investigation complete; no suspect identified
b78273c8ace3f04c04bd74a9420c360e82eb474baa7cf9295053655225b21a0c,2019-12,Gwent Police,Gwent Police,-3.233613,51.650194,On or near TREM PENALLTA,W01001364,Caerphilly 012B,Investigation complete; no suspect identified
0ef5593cf66153fd8e25b8c9f8cb1801cd5db9d6f938d49d680b2469441e2bfb,2019-12,Gwent Police,Gwent Police,-3.047672,51.583709,On or near TREGWILYM WALK,W01001671,Newport 016D,Investigation complete; no suspect identified
72044df9204bc9109eab957139758e92bceb50851cbabe0f222bb8a159c72943,2019-12,Gwent Police,Gwent Police,0.005272,51.679574,On or near BEECHFIELD WALK,E01021817,Epping Forest 008E,Investigation complete; no suspect identified
95a5a65367edcfc20fec52e58d92a3d28ae222999b47ea9baf54dc97f478cfc3,2019-12,Gwent Police,Gwent Police,-3.099559,51.606415,On or near Police Station,W01001412,Caerphilly 017B,Investigation complete; no suspect identified
bc5dc1209532ed1ae2a67efbbe20ebf09da28eda997675fe01b2be6883277d18,2019-12,Gwent Police,Gwent Police,-3.210992,51.579134,On or near GREENWOOD COURT,W01001422,Caerphilly 022F,Investigation complete; no suspect identified
4d1c55eaa0478687a2389ff6200a0ca4bea1aa3a124448fd0b9e7021b2a09569,2019-12,Gwent Police,Gwent Police,-3.215422,51.795113,On or near BEVAN CRESCENT,W01001438,Blaenau Gwent 004A,Investigation complete; no suspect identified
cf0c279cb417db93216a1f561bd0ae8aaab3763b881a8daefbf76c633d55005f,2019-12,Gwent Police,Gwent Police,-2.883015,51.581287,On or near MOOR VIEW,W01001649,Newport 004D,Investigation complete; no suspect identified
cb86be8bd809ebf04e4991ac7de15ad2ad8e9c70db51a3b614ff046b4b490fb0,2019-12,Gwent Police,Gwent Police,-3.016142,51.617624,On or near TREVITHICK CLOSE,W01001652,Newport 002B,Investigation complete; no suspect identified
f7c160bff5391ab3cbba1a80164966ecefca5c9b7c6937e63829bc3638cdc59b,2019-12,Gwent Police,Gwent Police,-3.216064,51.576132,On or near NORTH VIEW TERRACE,W01001422,Caerphilly 022F,Investigation complete; no suspect identified
691448b3ecee65bca3e9f4b7ad566929aa201d7cfd212732e8eb7952c6e3de2c,2019-12,Gwent Police,Gwent Police,-3.174004,51.792737,On or near BARLEY FIELD ROAD,W01001467,Blaenau Gwent 005D,Investigation complete; no suspect identified
7460297a0c4ab1754f518015e2beb7a139e26619da2e2d25caa96ebe5a2ec468,2019-12,Gwent Police,Gwent Police,-3.230140,51.662324,On or near GLAN-DDU TERRACE,W01001415,Caerphilly 008B,Investigation complete; no suspect identified
7808c839df7e9ea2d754c20800062d95b7a97f5439fc5398377bcf151fb5b34e,2019-12,Gwent Police,Gwent Police,-3.025368,51.655273,On or near GER-YR-EFAIL,W01001519,Torfaen 007A,Investigation complete; no suspect identified
52ba5f12fe4945162d9ba5d6ee5bb71e965ddc2d1f99352b9de3f0e3f2311aa0,2019-12,Gwent Police,Gwent Police,-3.258570,51.663534,On or near CLAERWEN,W01001414,Caerphilly 008A,Investigation complete; no suspect identified
baf32a73f2cc8a90fca22c65b2fcb323659b5667ae80ec735218e0dc39a3fe46,2019-12,Gwent Police,Gwent Police,-3.075211,51.597190,On or near DAFFODIL LANE,W01001636,Newport 020A,Investigation complete; no suspect identified
875e192e46510c7c6e8f57904dfccc0e870d9dabb14afa7b52b9e4b81053f779,2019-12,Gwent Police,Gwent Police,-3.023782,51.654837,On or near Supermarket,W01001506,Torfaen 010A,Investigation complete; no suspect identified
55c7ad5671ff044982e2ea180a5fc305a28d90ec148043d6ce339f68d321b4cc,2019-12,Gwent Police,Gwent Police,-3.049159,51.645109,On or near TON ROAD,W01001497,Torfaen 011A,Investigation complete; no suspect identified
1e31d2ef22cee6194067660d1e196f43951bb0be0eb5e934de7a2a2d0aad761f,2019-12,Gwent Police,Gwent Police,-3.205814,51.670777,On or near TY-ISHA TERRACE,W01001353,Caerphilly 007B,Investigation complete; no suspect identified
e12e18a3de017021fefa7d669518593aeba233dbec28c3f6f13f638309908038,2019-12,Gwent Police,Gwent Police,-3.017683,51.558041,On or near DUFFRYN WAY,W01001688,Newport 019C,Investigation complete; no suspect identified
6e4b7441b711ecb667a810384ad32f09e18f37986c70101a5582b3b456e9f619,2019-12,Gwent Police,Gwent Police,-2.813625,51.582104,On or near THE PADDOCKS,W01001591,Monmouthshire 011E,Investigation complete; no suspect identified
e8230384ae7c37c2905c5bca23516723dbb1cec756d05972fb8c5120625d342b,2019-12,Gwent Police,Gwent Police,-3.046424,51.590995,On or near JESSOP ROAD,W01001673,Newport 009D,Investigation complete; no suspect identified
383eb928f4b6a7a24989e8ae0a204a6d9ecd782f759760d52505b81f51ce065c,2019-12,Gwent Police,Gwent Police,-3.037690,51.578925,On or near PARK VIEW,W01001671,Newport 016D,Investigation complete; no suspect identified
a425c143efdaebcf7852b04abc834e0f53d30d4e08ca3dbcab2ce66d9451b7af,2019-12,Gwent Police,Gwent Police,-3.002420,51.582882,On or near Petrol Station,W01001687,Newport 014D,Investigation complete; no suspect identified
6064a03f5c0667126b15e310c23eedf1927eebf46fff031dacfbf80661dbaa4f,2019-12,Gwent Police,Gwent Police,-2.995195,51.576568,On or near ARTHUR CLOSE,W01001659,Newport 018A,Investigation complete; no suspect identified
6f55c21f93ff6fef08cab2d94c47359bae0749b55c98d21693e772690c40c768,2019-12,Gwent Police,Gwent Police,-3.135988,51.699914,On or near RAILWAY STREET,W01001466,Blaenau Gwent 009C,Investigation complete; no suspect identified
ab008ad6f2c5be5f043d3aa6b342a3cdda9032d3fd97a3578930dafcd4827666,2019-12,Gwent Police,Gwent Police,-3.195756,51.666105,On or near Supermarket,W01001350,Caerphilly 009C,Investigation complete; no suspect identified
0d3e4bb4f6fff1f75eeb95c477253dd4b970555d984f96a86a01e2fdb1e91fde,2019-12,Gwent Police,Gwent Police,-2.999110,51.597144,On or near A4051,W01001681,Newport 006B,Investigation complete; no suspect identified
8efbeb59e5b462473c8c1e33adf70c6789210a68cdcf165505336addda91484c,2019-12,Gwent Police,Gwent Police,-3.233299,51.653524,On or near THREE ELMS CLOSE,W01001364,Caerphilly 012B,Investigation complete; no suspect identified
915c2d66156e1b3d499598e31679342e0e6f6c7f6a8140ddb996bab412a7afc6,2019-12,Gwent Police,Gwent Police,-2.907957,51.709424,On or near ABERGAVENNY ROAD,W01001597,Monmouthshire 006F,Investigation complete; no suspect identified
39741da1ef4931b822e8197c9fa471466816902f2b2170c15590d7fffa04d778,2019-12,Gwent Police,Gwent Police,-3.321790,51.643893,On or near A470,W01001143,Rhondda Cynon Taf 012A,Investigation complete; no suspect identified
81c921a920569d5c2f052f76cd0d9cf80f7858328db6b0cf96857a1eea6cbe46,2019-12,Gwent Police,Gwent Police,-3.009449,51.688302,On or near CLAIRWAIN,W01001510,Torfaen 005A,Investigation complete; no suspect identified
16e47d1d156f46d649d7497d10b4a5d793c340cf6cda15f9d4fcb9241d171125,2019-12,Gwent Police,Gwent Police,-3.144634,51.666372,On or near ALEXANDRA PLACE,W01001383,Caerphilly 010D,Investigation complete; no suspect identified
c56582046d0ee40d7e9280c2d2b65d00b511efc87fb3639a512b994fe240f39f,2019-12,Gwent Police,Gwent Police,-3.050936,51.711900,On or near Sports/Recreation Area,W01001531,Torfaen 003D,Investigation complete; no suspect identified
43ccfd5cbff9a0608465392571574f3b8e80c220247b7d14aa7ef6a39df9b336,2019-12,Gwent Police,Gwent Police,-3.069049,51.736113,On or near Supermarket,W01001483,Torfaen 002B,Investigation complete; no suspect identified
