Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ec1215016d23c31d399722290e81674a7fce3ff3947a6346fa40171d80120867,2019-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
289430f65128922f0f61fd02be2384811b6c17f45cfdf8f7835a0b0cd47887f0,2019-12,Kent Police,Kent Police,1.024560,51.358671,On or near HIGH STREET,E01024070,Canterbury 008C,Unable to prosecute suspect
969233b19733a1320eb1802efe27847609145548dc5df415987802c1d35cf675,2019-12,Kent Police,Kent Police,1.415008,51.361594,On or near WEALDHURST PARK,E01024689,Thanet 011C,Suspect charged
bf51ddba94f52751f5dcb432224f8088b867148f20a445bf93d890c7bd328f8f,2019-12,Kent Police,Kent Police,,,No location,,,Formal action is not in the public interest
4148d8e294158ee4b717388393dcb61f5f67eb0dfb6e8a81451ee43c4105e53d,2019-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
d359d5c270624c1d0cd89a4eb17d05179364fa456d16c5fade8a39317e1a5ded,2019-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
68daf4d9706f4f56ee302c7dfb154783249dee90e2abd6e651141b5ebe7d84c8,2019-12,Kent Police,Kent Police,1.046793,51.345592,On or near SOUTH STREET,E01024062,Canterbury 009A,Investigation complete; no suspect identified
078a86f7c1b274b83064ae55ae51af0e5076d2f3797afb56f4f7739731579645,2019-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
616e268db1c2a0ac087fc4d0f280c899b3780202bf11dd4fca0f4616052c16df,2019-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
9aec0e99f12d1312b18018f9d6661ade61ed7fd31ea116c51d77f6bf8cd4d25e,2019-12,Kent Police,Kent Police,,,No location,,,Offender given penalty notice
c2de860da6af52c3dc54c36df3d1970547273eb5f95a0973d886a83dfbe0090f,2019-12,Kent Police,Kent Police,,,No location,,,Action to be taken by another organisation
5d4d2a9433c1f985dd65167cacbfe134bc62487443e3615af0375b0f66108940,2019-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
44a3436c64b0331c34d501488dd0033aeb8df054ba2454cc30263a621b06bbc3,2019-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
38801fcbad51a6a8ab4747cf25c2eda04e60f0f74539693de90f321bef27312f,2019-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
