Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e96849d714e34d06e9bd9deb6a143e09cd9e2a2f8171da346a9a0a58ea57b679,2019-12,Merseyside Police,Merseyside Police,-2.733210,53.451279,On or near Parking Area,E01006832,St. Helens 012A,Local resolution
e1ce53c650453d6cd383840c4d56f5fa7d655c4893ba40d8fd61eae29f9a148c,2019-12,Merseyside Police,Merseyside Police,-2.981817,53.447112,On or near BALLIOL ROAD EAST,E01006961,Sefton 038B,Suspect charged
12db9722c4954b2c2634e64aee8cb0869df537b7624f2a1724b4315ef3eeea60,2019-12,Merseyside Police,Merseyside Police,-2.949404,53.379094,On or near PARKFIELD ROAD,E01032507,Liverpool 050H,Suspect charged
ca114a39b4bc83432a9283ab122240b432d3b94ab77ffe4f6a213e2c0236b53d,2019-12,Merseyside Police,Merseyside Police,-2.912045,53.430326,On or near MILLHOUSE COURT,E01006617,Liverpool 021A,Further investigation is not in the public interest
5503d0630f1d60621a3a40ade609d28ded24f58b8763592ecb2b6b8f0f5ba4b2,2019-12,Merseyside Police,Merseyside Police,-2.967096,53.427429,On or near MYCROFT CLOSE,E01033747,Liverpool 018F,Unable to prosecute suspect
b8d557edca10ca3a08e5fb5748302d0c38580dbd51592259f60d8d3a7ce1ca37,2019-12,Merseyside Police,Merseyside Police,-2.887527,53.481612,On or near SOUTH PARADE,E01006437,Knowsley 003D,Unable to prosecute suspect
a1ffa82c13d2808eed5b27a83a69c30268320b4e39571d7536684911556a7334,2019-12,Merseyside Police,Merseyside Police,-3.018566,53.382659,On or near HOLBORN HILL,E01007291,Wirral 021D,Unable to prosecute suspect
51bebae407f2ac8c14405cccfaa750569be447afe6db896ee8ece6d1b81f1cf2,2019-12,Merseyside Police,Merseyside Police,-2.982401,53.404563,On or near BROOKS ALLEY,E01033756,Liverpool 061C,Investigation complete; no suspect identified
472d27afc071aa79f1f515b3680c0ea3d417469c3a27a91c8920b40c1ae24979,2019-12,Merseyside Police,Merseyside Police,-2.798888,53.423676,On or near Parking Area,E01006460,Knowsley 007A,Investigation complete; no suspect identified
065208f55beb548f60ba9f2f5de431a65b5bdc60f88fe3247893ea213d048582,2019-12,Merseyside Police,Merseyside Police,-3.023591,53.475508,On or near BACK SOUTH ROAD,E01006956,Sefton 030B,Investigation complete; no suspect identified
df58bb102cc5fd3ea1bb18041b4870fa52b1d4d242438bd0758f1ed5022f2572,2019-12,Merseyside Police,Merseyside Police,-2.912139,53.457219,On or near ALTBRIDGE PARK,E01006662,Liverpool 004B,Investigation complete; no suspect identified
66d88dbbc289b4ef9ad53a0355cbc42ae6b633310a9d717a381c4400134c8067,2019-12,Merseyside Police,Merseyside Police,-2.982736,53.424938,On or near HANKIN STREET,E01006779,Liverpool 022D,Investigation complete; no suspect identified
e46f45caadc8ece947c305b1dd70480be21fe365c4c019d64fdad667f7f428f6,2019-12,Merseyside Police,Merseyside Police,-3.014276,53.395100,On or near Parking Area,E01007126,Wirral 016A,Investigation complete; no suspect identified
3f8b42ddaa9f407b44cb91ae56d91bc3f6c74d7e58639aa530bce345084e05b1,2019-12,Merseyside Police,Merseyside Police,-2.981323,53.407376,On or near Theatre/Concert Hall,E01033760,Liverpool 060C,Investigation complete; no suspect identified
e5222fc72b12e97d424bdf96d04821eade542ec06162f299defc0a7a2c00bd39,2019-12,Merseyside Police,Merseyside Police,-3.043379,53.400153,On or near DAWSON AVENUE,E01032903,Wirral 010F,Unable to prosecute suspect
ef77b3feab9b464c0cb40374888c0d720b3f1fe878c1e7918a43eae18a980ca6,2019-12,Merseyside Police,Merseyside Police,-3.046751,53.384357,On or near LORNE ROAD,E01007240,Wirral 020C,Unable to prosecute suspect
1a4538914070c8ffb6fbed5bc09149479480d59b92c1372bf4320657e65030c5,2019-12,Merseyside Police,Merseyside Police,-3.178996,53.390764,On or near ALBERT ROAD,E01007193,Wirral 014A,Investigation complete; no suspect identified
32b8066dc2b912e3749104b2764f8a21be54e058bab29e23f1cba63e176b8818,2019-12,Merseyside Police,Merseyside Police,-2.983878,53.406618,On or near Supermarket,E01033760,Liverpool 060C,Investigation complete; no suspect identified
c2677884a8e66e6b2ba95cc85b5a607cc2a522c71658f22f2e54e64e6875d1f9,2019-12,Merseyside Police,Merseyside Police,-2.990791,53.403765,On or near Parking Area,E01033756,Liverpool 061C,Investigation complete; no suspect identified
2136fa1e059ad6a95f3acc887c7540f293ec43899316f33f817420a8cb72969d,2019-12,Merseyside Police,Merseyside Police,-2.720667,53.443346,On or near CLEVELAND STREET,E01006845,St. Helens 014A,Investigation complete; no suspect identified
5e701682ff3e44899ea9140b950ee4cd3496408519ca2ff6de122d9e19a42603,2019-12,Merseyside Police,Merseyside Police,-3.028698,53.383893,On or near LAUREL ROAD,E01007130,Wirral 021A,Investigation complete; no suspect identified
52706a0b0debd16ab1886dfa3e4e8b811621e2261369117b90227e0adb347e2d,2019-12,Merseyside Police,Merseyside Police,-2.981043,53.421365,On or near WILBRAHAM PLACE,E01033764,Liverpool 022E,Unable to prosecute suspect
e5a4f8bc193e2c8c199b6552369f6efb381a9954efc8b368edde9e093eac0c49,2019-12,Merseyside Police,Merseyside Police,-3.032727,53.481317,On or near SOMERVILLE GROVE,E01007103,Sefton 030E,Investigation complete; no suspect identified
02452d6881f49f9a30dfedc4204a13ae0c5f72d5a43e4d412a0bad821703fbc0,2019-12,Merseyside Police,Merseyside Police,-2.964557,53.440277,On or near LUXMORE ROAD,E01006615,Liverpool 012C,Unable to prosecute suspect
9e069b9ec1c9fd30738bc97562d4de13797745504280de41ab9d8028e1af6752,2019-12,Merseyside Police,Merseyside Police,-2.849151,53.419958,On or near Petrol Station,E01006452,Knowsley 012D,Investigation complete; no suspect identified
d491792d6463785b649f853db31206a3395546bf42e446db7a57dd820896256e,2019-12,Merseyside Police,Merseyside Police,-2.878083,53.377411,On or near ROCK MOUNT PARK,E01006799,Liverpool 051E,Investigation complete; no suspect identified
e1aa23795a65ac870ae1510ca6d18324855ad0257f9d8cba704c7b1f42c3579a,2019-12,Merseyside Police,Merseyside Police,-2.987472,53.411775,On or near PICKOP STREET,E01033762,Liverpool 060E,Unable to prosecute suspect
48c5d9bf7409e993d6694fdda36028cd99ce0c992b1270979f423d3ad68e0460,2019-12,Merseyside Police,Merseyside Police,-2.921828,53.441469,On or near SETTRINGTON ROAD,E01033759,Liverpool 010F,Investigation complete; no suspect identified
be10dcd0ec9c6a213a259e2022611059fd6eee2dad5382f7b8a5117f1a38da3e,2019-12,Merseyside Police,Merseyside Police,-2.946414,53.398148,On or near DURDEN STREET,E01006752,Liverpool 035F,Investigation complete; no suspect identified
34b3d8e2fcecac75e6b1e49302fdfdc581510b82d84c8ca1ae3be09806ccad0f,2019-12,Merseyside Police,Merseyside Police,-2.911637,53.366966,On or near OLDFIELD ROAD,E01006685,Liverpool 056C,Investigation complete; no suspect identified
6d2111dcb623ecc34b68cd8823de9effaf532402a0c9d87d2d89fa426182a09e,2019-12,Merseyside Police,Merseyside Police,-2.981323,53.407376,On or near Theatre/Concert Hall,E01033760,Liverpool 060C,Investigation complete; no suspect identified
f586fd235601eed3419bf723ab4e617077732977172a788c4b160dc489b5735e,2019-12,Merseyside Police,Merseyside Police,-2.893137,53.397102,On or near CHILDWALL CRESCENT,E01006579,Liverpool 034D,Investigation complete; no suspect identified
cf35944dc6f0ac45c764071039a37bce127587376fbbe9283e8fa86ac96f746f,2019-12,Merseyside Police,Merseyside Police,-2.944718,53.412543,On or near SHEIL PLACE,E01006697,Liverpool 030D,Unable to prosecute suspect
753de42364b6259566af8117f15abaacf8489a503521d30f22b5d4a23b54f5e4,2019-12,Merseyside Police,Merseyside Police,-2.967243,53.453784,On or near HIGHFIELD ROAD,E01006787,Liverpool 006A,Unable to prosecute suspect
20460fb9a74bde0564891c8da480398baab35cfa6618292cf73d943e410198dc,2019-12,Merseyside Police,Merseyside Police,-3.009314,53.487872,On or near BROWNMOOR CLOSE,E01007106,Sefton 025D,Investigation complete; no suspect identified
6b8fe7f8ead4d18bae64fe15b3e037cac8fc4c05e558e50d006378d0bb490f37,2019-12,Merseyside Police,Merseyside Police,-2.896914,53.422953,On or near AGINCOURT ROAD,E01006622,Liverpool 021E,Investigation complete; no suspect identified
0043c517a9fc64829dc0266733e71c04bf7fbd1f31beb1995aa065738bae3f02,2019-12,Merseyside Police,Merseyside Police,-2.946234,53.434078,On or near TROUVILLE ROAD,E01006544,Liverpool 015C,Investigation complete; no suspect identified
3e83d6a6d3104eae3bed8cb7f1f64b6f9e08626134bb88fb8b6ddf60251c76ea,2019-12,Merseyside Police,Merseyside Police,-2.893203,53.370135,On or near AMBLESIDE ROAD,E01006534,Liverpool 054A,Suspect charged
1158d0d9f897dcb8d0bcd0c2f782740ee4d3ad5665838035d02e4c926982f644,2019-12,Merseyside Police,Merseyside Police,-3.002406,53.489539,On or near RIMROSE VALLEY ROAD,E01006979,Sefton 024A,Unable to prosecute suspect
1d343a038a17c83692a5d189004f46f827170c5abed4fe05f484d524e54877e0,2019-12,Merseyside Police,Merseyside Police,-2.977312,53.663732,On or near LINKS AVENUE,E01006948,Sefton 003B,Unable to prosecute suspect
26c29ad73267df878d06f963a277f2a3e53b712e8c42717cea610f415b73e55d,2019-12,Merseyside Police,Merseyside Police,-2.901241,53.422632,On or near WHINMOOR ROAD,E01006621,Liverpool 021D,Investigation complete; no suspect identified
1363fb329985f637f40c0c462a7f00a014547f4d9cc72185f591464d289bda4d,2019-12,Merseyside Police,Merseyside Police,-2.970022,53.635594,On or near Shopping Area,E01007060,Sefton 006C,Investigation complete; no suspect identified
04b7b3d8d36436238d1edf4e4301c017586101c5718b48b129c8483df5c60a40,2019-12,Merseyside Police,Merseyside Police,-3.039118,53.598412,On or near STONELEIGH CLOSE,E01006921,Sefton 012A,Investigation complete; no suspect identified
