Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
48b1dacef6a198ac8d886e85346dad36983f26efa181f1813918c087fc445019,2019-12,North Wales Police,North Wales Police,-3.457359,53.290828,On or near RHODFA CONWY,W01000224,Denbighshire 009C,Unable to prosecute suspect
954721da53c5c86cf20fcab66fad494d856c7127f083cea1ba324111a8a8fba4,2019-12,North Wales Police,North Wales Police,-3.186526,53.097062,On or near B5430,W01000203,Denbighshire 013A,Unable to prosecute suspect
b387297660dc17d5e78d4a31d5b54172d920317359b6d21cd709579295333007,2019-12,North Wales Police,North Wales Police,-3.478980,53.325612,On or near ISLWYN AVENUE,W01000227,Denbighshire 004B,Investigation complete; no suspect identified
2ef6abf2c526f35e13ceef709df3a9b0d8213411bacd757af7ac9094c8024f8e,2019-12,North Wales Police,North Wales Police,-4.165653,53.222714,On or near A5,W01000011,Isle of Anglesey 008B,Suspect charged
0ac4a3cde95bbc2f591ede11bb703e77546f6edbdcc8d1577bb4406f23bbd2b2,2019-12,North Wales Police,North Wales Police,-3.537041,53.302144,On or near LLYS ARTHUR,W01000184,Conwy 005E,Further investigation is not in the public interest
8e401228b0f778216bafb21cd0def21d7d26e1f42fe684bd10360b7150e13067,2019-12,North Wales Police,North Wales Police,-3.493101,53.321068,On or near QUEEN STREET,W01000240,Denbighshire 004E,Suspect charged
8e401228b0f778216bafb21cd0def21d7d26e1f42fe684bd10360b7150e13067,2019-12,North Wales Police,North Wales Police,-3.493101,53.321068,On or near QUEEN STREET,W01000240,Denbighshire 004E,Suspect charged
34c1077bd71ed3305056ad7ad75a1706aeababdc473adbea43c352f2a599a942,2019-12,North Wales Police,North Wales Police,-3.745563,53.314619,On or near ABBEY DRIVE,W01000156,Conwy 004B,Unable to prosecute suspect
4e9e026fc3805eb2b6c924179e5c32dec1bc6290d3ebe9a6349fae3a2204c028,2019-12,North Wales Police,North Wales Police,-2.954667,53.021524,On or near YORKE CLOSE,W01000395,Wrexham 016B,Suspect charged
d19f198f675ebbc70006b6271cc45011738022a2b7b9ec65ed67462fa6e5b6ef,2019-12,North Wales Police,North Wales Police,-3.077992,52.971980,On or near DOLYDD ROAD,W01000354,Wrexham 017A,Unable to prosecute suspect
4385649ea444b1e1d1ff4a7d3f9c6980dda0ab8446ba067febfacb6114af8a16,2019-12,North Wales Police,North Wales Police,-3.761835,53.301120,On or near CRAFNANT ROAD,W01000154,Conwy 003A,Suspect charged
740f831702796729a0adc952b51cffb77b85aa0e03d207e2e10342e77213e177,2019-12,North Wales Police,North Wales Police,-4.413797,52.891021,On or near Y TRAETH,W01000108,Gwynedd 012D,Unable to prosecute suspect
533cff867a90ddcd6948d77fe999676ac09dfbfbdd8815b5509cce61e1ff9075,2019-12,North Wales Police,North Wales Police,-3.692194,53.283816,On or near PEULWYS LANE,W01000126,Conwy 009A,Suspect charged
533cff867a90ddcd6948d77fe999676ac09dfbfbdd8815b5509cce61e1ff9075,2019-12,North Wales Police,North Wales Police,-3.692194,53.283816,On or near PEULWYS LANE,W01000126,Conwy 009A,Suspect charged
f7f7fe831f040119deaa743a50d43d6de52f4b443cdd18e7a4cdfae4734803bb,2019-12,North Wales Police,North Wales Police,-3.727677,53.293987,On or near WOODLAND ROAD EAST,W01000144,Conwy 007C,Unable to prosecute suspect
856701dfffc6df73e81678b680c44d5c1784a5b799e33bc8d86b326a67df30e9,2019-12,North Wales Police,North Wales Police,-3.128602,53.248405,On or near HENRY TAYLOR STREET,W01000288,Flintshire 004A,Unable to prosecute suspect
