Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3dd35d49368b3af55aa3a73833e046446296a03f6ab97ac5e1dc75e1c73cbe01,2019-12,Northamptonshire Police,Northamptonshire Police,-0.810341,52.261976,On or near A4500,E01027174,Northampton 005A,Unable to prosecute suspect
408bf462c7e5cc142e726d91e00ff07793a5b2e269045b6879d2ad7f01e2735f,2019-12,Northamptonshire Police,Northamptonshire Police,-0.584335,52.431630,On or near A6116,E01027045,East Northamptonshire 003B,Investigation complete; no suspect identified
35fc11c240bdcc39bd0fa85c0d2fb8494c67f469dbf2db68f1b65244d30cd808,2019-12,Northamptonshire Police,Northamptonshire Police,-0.938222,52.230316,On or near HIGH STREET,E01032977,Northampton 029G,Offender given a drugs possession warning
0291c5b0c063a3416dd6c767721cd13178a85214f65a819dbc7ba6a8073fe538,2019-12,Northamptonshire Police,Northamptonshire Police,-0.692075,52.302460,On or near MARKET STREET,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
ca28d481eadb45303c6d06bfc5db9749405620a616320b810f48a052fe4977bc,2019-12,Northamptonshire Police,Northamptonshire Police,-0.597290,52.291231,On or near Parking Area,E01027060,East Northamptonshire 009C,Investigation complete; no suspect identified
2fecbb7eceae1b151fc4246b0e5ba5544edc3e4e4c00d5bd52b31e60f804790f,2019-12,Northamptonshire Police,Northamptonshire Police,-0.881585,52.237965,On or near BILLING ROAD,E01027224,Northampton 025B,Unable to prosecute suspect
9d24511ccc030a85ed36313d1f9770c0bf37e95b085c99339dec0df7865f0d6e,2019-12,Northamptonshire Police,Northamptonshire Police,-0.897743,52.251334,On or near MONARCH ROAD,E01027185,Northampton 015B,Suspect charged
4b660ba5cfe8d4475ea7617dde777402cd43967f908d8fd77cce1c869d22500b,2019-12,Northamptonshire Police,Northamptonshire Police,-0.901202,52.083255,On or near WATLING STREET,E01027307,South Northamptonshire 008D,Unable to prosecute suspect
ddf2bf44c205785e08eb772476e5836b94bdb8c622b6e64324b16793910395dd,2019-12,Northamptonshire Police,Northamptonshire Police,-0.720670,52.407866,On or near PARK ROAD,E01027106,Kettering 006B,Suspect charged
9d9084a614155c0338a09abcbd15e9ecb80990b92f7c4ffd63894e0bc61816ef,2019-12,Northamptonshire Police,Northamptonshire Police,-0.900621,52.255208,On or near KINGSTHORPE ROAD,E01027191,Northampton 008B,Unable to prosecute suspect
d1f76244f24fbbd8b50f648497dd38d777531c05dcc623f4282993c2c2563e40,2019-12,Northamptonshire Police,Northamptonshire Police,-0.932605,52.218496,On or near GREENGLADES,E01027253,Northampton 029C,Unable to prosecute suspect
