Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
856d752a8ba3c261a812e7840947686aa5653b096e9baa9cbdaac87467cc8cf9,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
0c1345dd30b8f739406c9dbdeb868d40d476f0beaed6113281cfd033b651d22b,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
2fc861b942a5455a6d380946949632ecd7c5a39d045061daf7ce33f7cdae07a7,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
4a71fc0b565d7602cff44512a4144a66ae6f4de1da285079a0989e95bfec74ce,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
fc252bc97d52f5adeca0bed33b1ab2a54b7d765686a6146bb1f5054d15d15c1d,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c3fc2a8a555275ab1df1eb3cd00a32d3584a864444bc5c6323e2325c3963b986,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
b3d26f4c21e41ec255dfb4b85a69c1d4142ab7ca2130f97ad73b328381a95d56,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
2476ce7db5123ce19d64d2341f1f28df3364ed57b69a311acdb6ddddf050a88b,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
23addd79b8de5315e30124aba4ac8bed194f16e497fb12fe0dba5a65eb516ede,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
0ec968ad5d8e82eaa7a987d58b960c3d57c8f3bc5163bd99a83051aba4b8e05c,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
080b848a3d93df185b74460e541b887b713fb49b458cd29758d4490b2385366a,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
dad2d231f7bdb9480291ec38dc35213fa2d4da00679106ab127fa53742e8f6bb,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
78aaebf6ed1cf0bc9733a4667260554e1ab9bc42c804e2c41f95a65d80bc4ab0,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
7d026161519e3f96b1db4867cbe9ba58b9192ce3c8b7f12a318dfdebfd010e04,2019-12,South Yorkshire Police,South Yorkshire Police,-1.511197,53.418438,On or near WINN GARDENS,E01008089,Sheffield 017B,Unable to prosecute suspect
b592545cc5085c8a21ae422acba21628313309a4dba57b81b306fe34e3dfb2fc,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
4fefe87456be891337a11e738109bddb33eff44c41c5b150e32eacf7afb88044,2019-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
