Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2ce4048b72ae3197709d49b544cfca46f4df323245ad76fac63b9ece6974620c,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
a1294b4ce0e35b1be3ea1af2366c312345f04fcbbd741f0671aac2e205c49551,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
97057eb892a0c702dcaf0d6987416a4c6f3f06c8d8711eb13eefd1153738cec4,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
85de317c6403f12ad64436865efe00265e16a403e87fb096068596db97d26895,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
caa4f08bb34a8becdc35ccd9d5aca7bec4c673bfd3fcf62f008cfeb6e9c303b6,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
64d02f5d585d40e98a2bb97a65a7c040d54f50d91e8016246b9e31d769bb011b,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
cf837f364de2a2e86777add06dc47e625acece5f76e29e662462de68a3b95442,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
4765fe365ac7ef5617410fc529ec953f32010e3f0f3814a8781777585ddb2250,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged as part of another case
e0e1772a96092fe278b7a5497d7e840a0c3dd8a1a97bd58236f880b991f6b209,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
896f06d7c44579933742a1a70174587526378c976dffbfa7bc0fd1e55d99f783,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
85b39563770f4a9938f28c4c5ba906e10badc6b2a8d762697e0bb0b83033f8a5,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
dc0b57eea0d3017d62048e5b07e975f4feee1053c13aa6fc7a9b92fa84153a54,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
c2e38da9a9152780fcd6d6b39c10b9abc333eb0b94b5291d80074fba93476e8f,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
d8024f4c9cc81f744176f451af712563b7789842762dffe099f1eb6c09d05c8f,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
f760710ae4a50860a7cc1866d68a9f515dd9e757d8b47b5b0cc058cc0b0dc0e4,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
d749df0f828745b9783784cc1eda632665a1fe418023c586bd439bce365ba039,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
ed33fdd175d253c499b801c7d4c1294b64442243e3a84223a13e73f998acf9f8,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
2f524e99939ebf63c91c4ec3cdc330b9624b9854d837cba61f08e49607108aa7,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
ffefc9a02f9fbf910bc6eb14b1738081a2b31887dee78c3bbebcb2c94b977f33,2019-12,Thames Valley Police,Thames Valley Police,-0.597670,51.506503,On or near Parking Area,E01016462,Slough 009A,Suspect charged
23a2dbaa9dec7660b970de6be381927ef13674c91572652042df34fcb625478c,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
0ed82af84a33f2af072a7ff62fd2ee0004f0c6ea1270dd3f42316093a9079f0d,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a caution
81e61633e1341fe6f937928a7dde90e43820949cda4392eeb4fe230f873b88b7,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
8371be29ecf7e730e09abe7920ebcf1dc2ed2fc7f8880f7071498538fed1e45b,2019-12,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
