Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
de98cd21cee909167e7919190a264822876f6f9eb83dfea76f10ab67d88136c5,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.920776,54.887681,On or near THOMSON STREET,E01019236,Carlisle 010F,Unable to prosecute suspect
cf3808728fbdb7fc143c6181432d4caa6529e28bdbac57c61682a639e43b6e52,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.905775,54.378766,On or near BEECH STREET,E01019395,South Lakeland 001D,Unable to prosecute suspect
2fdddb1c0c2ac8c3521289db3d6b65ac8c047cfb36d2a057e898145c336d4c3f,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.902712,54.880887,On or near ARNSIDE ROAD,E01019222,Carlisle 011E,Investigation complete; no suspect identified
d10e4aff7b4eed225b1157f25d1a541e3c0117728bad4dc8d819ec11fe261b37,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.540225,54.645408,On or near HALL BROW,E01019116,Allerdale 008A,Suspect charged
019a37ef4c4bf1bcb57926ad66fe33c0a85dd805d8dd76cb15e89b3e31f35545,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.236196,54.121844,On or near Supermarket,E01019159,Barrow-in-Furness 004B,Suspect charged
cb6cf28ad9cda6b568b206825bedbf56e83fe9bb063253f26f3d49dfe90cc998,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.234363,54.112703,On or near Petrol Station,E01019156,Barrow-in-Furness 004A,Investigation complete; no suspect identified
501ae34fe378b600cc6e0defd0a2fda1296af95070f853ff8f97f48bcfd0d747,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.744628,54.319248,On or near SOUTH ROAD,E01019364,South Lakeland 004C,Investigation complete; no suspect identified
9669980d233cdfc6ecbd759231b7c0ae79f9c2f4b9ea0f8294b3c174e091d8ed,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.933633,54.874677,On or near BEAUMONT ROAD,E01019210,Carlisle 012B,Investigation complete; no suspect identified
46acbfd2309210e109d385da5db6a22b08bd5027b77269a99fcbba53fd48c8c8,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.219241,54.122852,On or near WINDSOR STREET,E01019170,Barrow-in-Furness 005D,Offender given a caution
adedb70e6156edb3293c7239127de7938c493f5f1c0073aca0a39105b306dd18,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.089278,54.187176,On or near BEECH DRIVE,E01019388,South Lakeland 012A,Investigation complete; no suspect identified
6397cc95e4dfae103adcf6487916d83c14a0e78ba9032c9edae34a20bcf85580,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.957018,54.896756,On or near Parking Area,E01019205,Carlisle 008A,Unable to prosecute suspect
091a76671303e404bdb221d3227165134384b6504b2f615ba130073ef5252a9f,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.577851,54.560105,On or near Petrol Station,E01019261,Copeland 003A,Further investigation is not in the public interest
39ab3453842709508b1c6f9a0018a0e0d295cc3d8383c638cde7ecda75dcc409,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.905707,54.378461,On or near CRESCENT ROAD,E01019395,South Lakeland 001D,Unable to prosecute suspect
e5ec3a6f9a7b07a26fe5de1b7d1a43f849ce706cfe50d15566dd3778e66cd908,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.237616,54.107870,On or near EARLE STREET,E01019139,Barrow-in-Furness 010B,Unable to prosecute suspect
982fdf47450e97d99b9085b47cd07a93a439df60e9ff80e913ab07382272d419,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.749353,54.328008,On or near Parking Area,E01019360,South Lakeland 004A,Suspect charged
982fdf47450e97d99b9085b47cd07a93a439df60e9ff80e913ab07382272d419,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.749353,54.328008,On or near Parking Area,E01019360,South Lakeland 004A,Suspect charged
caee293554b9857293012ca12ceba65b9f310608129298d97a112b2ff19b8078,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.558255,54.632190,On or near DAVIES ROAD,E01019113,Allerdale 009C,Suspect charged
d73dc550ef7fe7d4185c782376a719089b6da99ae287431384773345755b30a9,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.543380,54.641557,On or near RITSON STREET,E01019116,Allerdale 008A,Suspect charged
5fdb152cad33c66686de52778a7f87810f40f91d190ad5220cfdcd2b881462e1,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.962280,54.432801,On or near NORTH ROAD,E01019374,South Lakeland 001A,Suspect charged
39831ceeaa53ae84c0c0d7b91cfe03d8302702c6c7701c40c01dd0f9c78ea7b8,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.220708,54.108726,On or near LONSDALE STREET,E01019143,Barrow-in-Furness 008C,Unable to prosecute suspect
be1c1c955b13fcfb0fca4e113f86aedb67e8eccdaadda4ae3958a33cc18607b5,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.583865,54.547282,On or near TEMPLE TERRACE,E01019281,Copeland 002C,Unable to prosecute suspect
1cfbb28d3cee856a4fcf566ce051ee83d1024653621e4e028e9a6f58c39f3123,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.770782,54.662385,On or near GREYSTOKE ROAD,E01019335,Eden 003D,Investigation complete; no suspect identified
04bc5730414a35932fd778d55caca49177051defdfb5d3bc2c9b577b5f3ad2c3,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.447419,54.708442,On or near BROWSIDE ROAD,E01019094,Allerdale 004B,Unable to prosecute suspect
f70a0bdc0f924101025999621095a724584e0a493520d23e16545c15c8950925,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.488517,54.577659,On or near THE SANDS,E01019307,Eden 006B,Further investigation is not in the public interest
cd3324bea5f1a0fbb0735317b4ddddf82ea77cd7f8d38d0f02a33f63ab2623c3,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.292137,54.198536,On or near TOWN HEAD,E01019283,Copeland 008B,Suspect charged
96a16ac9d4652fe2dac335b12ffa12252628e97e4aafd3220647e731a258117c,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.809656,54.676043,On or near NEWTON MEADOWS,E01019316,Eden 002B,Further investigation is not in the public interest
b750f2043e38c80d4c09fcf3619f71ada3a322c710be0fa5960e503e9797b9d2,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.932438,54.872880,On or near BLACKWELL PLACE,E01019248,Carlisle 012E,Offender given a caution
133cc2bfe88559362ddc64a6a7927a7827bf1c0c232c006f76c3188cc13fde35,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.955089,54.895612,On or near Parking Area,E01019205,Carlisle 008A,Unable to prosecute suspect
9488a915487c643baa4a96c45922510fa58edb88546828022f32c3898a563f81,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.918909,54.885080,On or near CHERTSEY MOUNT,E01019220,Carlisle 010E,Investigation complete; no suspect identified
fbfc9629e2ddda4d60f09f8e01557675b07deb21076d0790ae862b55a6e71eef,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.602689,54.637438,On or near BETSY LANE,E01019319,Eden 006D,Unable to prosecute suspect
138773df52272b16745a5b84aeeb45aeeb9ff3cf293b7216640de5daf0796060,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.951015,54.890117,On or near DOWBECK ROAD,E01019207,Carlisle 008B,Unable to prosecute suspect
e33cc2581800d40fc3aff3758b2833515367b0f815aff94b38120c418d54045a,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.904403,54.378012,On or near HAVELOCK ROAD,E01019398,South Lakeland 002D,Further investigation is not in the public interest
750bc899a393153a4444d1f363b90db19609b380b88754c33e7c94ebc210eef0,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.077928,54.876951,On or near Airport/Airfield,E01019130,Allerdale 002C,Further investigation is not in the public interest
1d563a59ab4b3aae6f7207dcf2eaefb2a5730f4070f0d238f7f9036a3cd0e208,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.236196,54.121844,On or near Supermarket,E01019159,Barrow-in-Furness 004B,Investigation complete; no suspect identified
78d0d01decb363ebdd574fa11d0b6b7c0da66a35ef30ac7d0d9206e8f7dc209b,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.404849,54.615149,On or near PEPPERCOATS BROW,E01019091,Allerdale 006E,Unable to prosecute suspect
8d0a9fe120d90aff4bca68df11fe5663add296455c582f5ba7fc52f3c3187774,2020-01,Cumbria Constabulary,Cumbria Constabulary,-3.216008,54.109106,On or near SALTHOUSE ROAD,E01019143,Barrow-in-Furness 008C,Suspect charged
804b59a3d2043176adecaeac1a0c5c1f7244eecacf033387cd0119a92a7ee002,2020-01,Cumbria Constabulary,Cumbria Constabulary,-2.922687,54.889445,On or near HOWE STREET,E01019236,Carlisle 010F,Unable to prosecute suspect
