Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ece854851514e56ecd11ed73eae3e008cb32221f51da3138711a7287f08d9692,2020-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
44c8cc8e5330a0c5c5cb658410b3943b0d0ae8dfe9bf9f94519bec4f3138dfdb,2020-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
905a22b48e3d7f9bbf4443c988e52b28ae0799b6aa7c2fa95c4ce48f5193045f,2020-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
1c082c902a017b3aefd0f93492c2153a0af9f0369df4726df7e4f0cf60510331,2020-01,Dorset Police,Dorset Police,,,No location,,,Local resolution
f256147e86e6572b658ab64c27cd18a1df10b7ed24bd576c2c71df8a93e1abc6,2020-01,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
4d4b6ffe22c1eb2eb04ad14f8383a2efd8c49b7b9a5b66d156e153e89e8e3a6f,2020-01,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
ad95570e598d5766c6acd9dc0b816d56f2230a462773d6ab43eb5a8a2744bf65,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
e53cd64aaea4074b55b11d816fcfdbb60cf3ff1670debde7db701832d850be53,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
80b2d09f3d2e299bb99874f6921facc34b869e52f0dbc832d9d81cd8cb104c23,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
06cb7cb0870ccb30b4f1d558f8275a5f7678525da7e004cb0a13cfdb0180a10b,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
b09791af4ad33668f01feb444ad488fd8f33749ebaea615fa7b88672d90d086f,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
9941aa45986b9ed5433bf512ef448a6e96d4fc88109e20465c6569b95cfff1ec,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
24efefb9cfb8545ef64391f164dcae48346ea0f33e3c14093f433a9fa421fbee,2020-01,Dorset Police,Dorset Police,-1.876574,50.743661,On or near CRANMER ROAD,E01015375,Bournemouth 009D,Unable to prosecute suspect
a10b0f1e042005312d11555d7308ff6ea456e35ec639cda0b90598962396843f,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
cd1168a6becf8e020fb9aef5603dcce0c8ae6adff95f27f83a5e0ce3374d8495,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
1a0f092165eb8b882651da23abe5b56d55086d117e05a36b7a928fc557a9cd23,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
ad05ffff530b75930548c2bad2d70953e6c01cda4453ed6090ec3ec637fb5300,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
e21476f28c6c05944681bb070783fdfbb8e967f8c43daeefe968c4b59970b759,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
d670c82b6bbdbc6c8800480ccc180d2b269cc3c68dc3583fe4f524ad54bcb65b,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
a96e39592221ed12500fced86fcae615e6848e1d73c6ba4fcbe17f243e0068fc,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
7eb83ce34da165d227f03e4be06e59d9131825d812cbc89f0239f153adfc41ee,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
2b6724ab0ae5b3c2b5e9243447cebd86d49d0c9a39e0756f2076c03768103261,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
672f2db0b21b74b11ae6119748f8a404253747e8a480a2a64e5cce3230a3e173,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
17f1314b31ad68111097d07224cd58a832a2c2bd8b3b4a129676b835865a23ab,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
214e8fb3db0cd04f2a3448273154241491ddd998cd048ee8de8311caf3f5700c,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
ee297f2932fd56c61a1f105a3e8873f25e083a885a6315f80b51f19a0b8a8034,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
6d8a5cf0ab1a3ddf8c95067d0843fce989d037b4fe06f3437fa28a593592ad70,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
8e55111ebd737bd121bb19ee5be4c7297e4deca28bbd83a6d2302c6ed4e7bd91,2020-01,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
1bf231e73c318d96e0d50d9c5605f023838b47fde42314d6a4e47d673d8e9d38,2020-01,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
131fb1ca0146f184dec7e82b210ffbdd4a7f909f1dfaa95c206ea3c1ad577694,2020-01,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
b6fd636c67b64f797dd5b9b2fba15e83dab8e41cbbf7c2aabdfa2d5b3fa7bbe1,2020-01,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
16380eb24d2c7c66f68da60f57313716a4ec904bb37ae274ee1fa83180c7e7ea,2020-01,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
16a0433326e9d9ea95f0a87065dfd3f4546484d39a6e7c60f623b55cd8176b34,2020-01,Dorset Police,Dorset Police,,,No location,,,Further investigation is not in the public interest
5eebf2a34d353d0115a92e0c662601ecc365a06de6794dcfdc08986affbe8178,2020-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
8ef883e299a1a5f8139d87eff2f94cf55c9541c4fc3f5a5ed0c850336d057fff,2020-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
e6f977ab2bd746c9329b41492764f4050e841e04a48587b6b247c653de296d83,2020-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
4924f9d07aca52662d094f7442436f14e1e3628566bfb6fbdbf953e9db195519,2020-01,Dorset Police,Dorset Police,-1.881513,50.718261,On or near CRANBORNE ROAD,E01015367,Bournemouth 024A,Unable to prosecute suspect
80a12b5a0a92a18de519da48c2cbe7c59f1bb51ac326b65619cc9e8446827bb9,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
86d5c768b2bd5b860a12e60f4679a2e083fab30a3fc7754383c7fb2b8df34fdc,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
d5d28d3935953495e42dd659fc66d4cfb8dd902698836d3a7b5b8b881bfbe09c,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
84f3b1587177d7eded4ca06b6d49451359c56d1af9f6ac27335534841191d313,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
4c7c12beba3ce274326f6ccc5abcb6c70ba2850b877fcb11dba0fef7ea4a2f53,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
7adbbca164b37edb3d2c827ecc5a0396fb117f44449c80fa81492cd08b948380,2020-01,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
