Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a5ec62320e8e616e7fbd9d932489f3a16ae9ab1e634d837e128d7c080a579598,2020-01,Gwent Police,Gwent Police,-2.823091,51.583593,On or near ACACIA AVENUE,W01001574,Monmouthshire 011C,Unable to prosecute suspect
658ecf94e600ef4d5bcf754c96d66874f6b5284bb3d6949263cdb05b71626ad6,2020-01,Gwent Police,Gwent Police,-2.678228,51.639701,On or near B4293,W01001586,Monmouthshire 007D,Unable to prosecute suspect
99a83e36bc879af5fe03f4701338b456beaa5cb78e708f5c250059940388d905,2020-01,Gwent Police,Gwent Police,,,No location,,,Suspect charged
0dcf9365eef0dbebde60ebd43b7f2a24a5bf19af7e7ec782abdf70c557745995,2020-01,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
814f4d1432135accd0636d30c7f7793a5b52893209906b2c9ef07bb7d5a26377,2020-01,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
e85e783408230a4076df2a4bf52e726fa11953e1368973906193c8343100a7fd,2020-01,Gwent Police,Gwent Police,-3.093158,51.830705,On or near CAE MELDON,W01001563,Monmouthshire 003C,Investigation complete; no suspect identified
a7eeb7bc09ccd71d10e4043ec7d85a1feac88b12a24deb7d5189e79bf8cf37f7,2020-01,Gwent Police,Gwent Police,-3.022083,51.652559,On or near Shopping Area,W01001506,Torfaen 010A,Unable to prosecute suspect
79abf15d608b699458ebdbb98994301d4da922c3577126041722c336698b21eb,2020-01,Gwent Police,Gwent Police,-2.956807,51.655438,On or near PENYGLOG ROAD,W01001565,Monmouthshire 006D,Unable to prosecute suspect
1aea2e0deadd0e05c32f5a1c2a1702e89d2a0b2d0a0d3d08b67af70795936450,2020-01,Gwent Police,Gwent Police,-3.067726,51.728527,On or near RAGLAN CLOSE,W01001485,Torfaen 002D,Unable to prosecute suspect
e00a9d17b5b2fb0ffdf5c3920b7d6ce0ab411092b5042927e4af5c50d14d933b,2020-01,Gwent Police,Gwent Police,-3.238972,51.591197,On or near HEOL-Y-GOGLEDD,W01001400,Caerphilly 019F,Unable to prosecute suspect
3d86e2cd7fa5d0aadfcf6aef3b110658e193732ccf3a4b721ae108b562e8ab43,2020-01,Gwent Police,Gwent Police,-2.997898,51.597828,On or near AGINCOURT STREET,W01001681,Newport 006B,Suspect charged
53def0403e2e23f11f412cc54fc363a73bd711e267c588c04cd5873884b5418b,2020-01,Gwent Police,Gwent Police,-2.727779,51.804646,On or near CARBONNE CLOSE,W01001577,Monmouthshire 004E,Unable to prosecute suspect
d1c0f900851bc5ebe794ef18137a97eed8c30b60d58e476b094fca2832aeeba9,2020-01,Gwent Police,Gwent Police,-3.021079,51.557032,On or near Supermarket,W01001689,Newport 019D,Offender given penalty notice
554ccdfe7a855ef6c330c62a6aad6fefc0e4fe8f628db7d36da15a7040ae2142,2020-01,Gwent Police,Gwent Police,-3.243589,51.670878,On or near RHOS AVENUE,W01001416,Caerphilly 008C,Unable to prosecute suspect
569b0b20b7b13e137272c2810d129fb8dd7a336c40d82dfebaf4a130c3124389,2020-01,Gwent Police,Gwent Police,-3.015164,51.567316,On or near MAESGLAS GROVE,W01001634,Newport 019B,Unable to prosecute suspect
a4ff25272a6dc808462e30acb090313dff5bd77f84f6d729c37419a438151e52,2020-01,Gwent Police,Gwent Police,-2.939055,51.588945,On or near DOWLAND CLOSE,W01001668,Newport 010D,Unable to prosecute suspect
d766ceb0434dae4a51b478888ff18c805d4254c36fd3b014e3fec652cf1cf90a,2020-01,Gwent Police,Gwent Police,-3.181825,51.652507,On or near WOODLAND ROAD,W01001401,Caerphilly 011A,Unable to prosecute suspect
4013098191aae3f61de78e613bd8a89b7db1265677f5f9ddc2e2862d92b9a5d7,2020-01,Gwent Police,Gwent Police,-3.236664,51.637511,On or near Sports/Recreation Area,W01001434,Caerphilly 013F,Suspect charged
dcb715910d92be18ac70a32891aac717981221f9c351614b0345dba9a2131d4b,2020-01,Gwent Police,Gwent Police,-3.231991,51.602114,On or near RICHMOND CLOSE,W01001367,Caerphilly 019B,Unable to prosecute suspect
4a82af039126398b29c97d2de9c3bce180b3841bc3302812590e9b4dad9d3106,2020-01,Gwent Police,Gwent Police,-3.035740,51.662564,On or near BARNFIELD PLACE,W01001539,Torfaen 009E,Unable to prosecute suspect
87d3b6e2fad48a6305c07265b2d1b4dd217befb2272af62ccd882d62c0c74f28,2020-01,Gwent Police,Gwent Police,-3.037173,51.662650,On or near MAENDY WOOD RISE,W01001539,Torfaen 009E,Unable to prosecute suspect
9ac4326e1d9dfc0f0789bb6f48f489a0eabaa15cb4e571c3b4abd2f4dca1c983,2020-01,Gwent Police,Gwent Police,-2.939055,51.588945,On or near DOWLAND CLOSE,W01001668,Newport 010D,Unable to prosecute suspect
b9136bad8f79b7988dda8d0e47c52232e19bd089a3e7e6b3be8d7ad56d9c43fb,2020-01,Gwent Police,Gwent Police,-2.737985,51.782203,On or near GARTHI CLOSE,W01001575,Monmouthshire 005D,Unable to prosecute suspect
8242abc64a3842b60c96801ec50c71fab2191665c38c422f7fdb5eaa5a4d0091,2020-01,Gwent Police,Gwent Police,-3.032959,51.642636,On or near THE CIRCLE,W01001532,Torfaen 010E,Suspect charged
ee0c1a9535694a690a2ab57c086cd444e33229d9def3d95795495239c79e9f96,2020-01,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Suspect charged
31e1678639cc3929db7214aec46707980ca58547cb5407b36c0aab54b90101b5,2020-01,Gwent Police,Gwent Police,-3.110937,51.617044,On or near NANT Y GARN,W01001411,Caerphilly 017A,Unable to prosecute suspect
61caafc59a741d80eb452531ca98c193f251b79cf96a173db2d677a5e2639585,2020-01,Gwent Police,Gwent Police,-2.995300,51.574095,On or near MENDALGIEF ROAD,W01001660,Newport 018B,Suspect charged
8044854fde7f1b2975bfa2eb6cf0d8edba6b8dc152ec2f3910c155e0d70b7b88,2020-01,Gwent Police,Gwent Police,-2.990831,51.592197,On or near EAST USK ROAD,W01001676,Newport 007B,Unable to prosecute suspect
22025955b29382ddca4e5b11387d13a5c514a1e850b252924ebaef852d8e82c4,2020-01,Gwent Police,Gwent Police,-3.220483,51.583783,On or near WAUN GANOL STREET,W01001373,Caerphilly 022C,Unable to prosecute suspect
c5efd9e1fde6abf172cf8f4ac6fff1d14896c4edc27a1cd98a215d6384499b1c,2020-01,Gwent Police,Gwent Police,-3.240437,51.683068,On or near SYCAMORE COURT,W01001339,Caerphilly 004D,Unable to prosecute suspect
2682883a1fb61348714611748c66ba61aeba54ad5e76cb7161cfdffa6985f6f7,2020-01,Gwent Police,Gwent Police,-3.022833,51.652498,On or near Shopping Area,W01001506,Torfaen 010A,Offender given a caution
