Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d8dd17a2c087d6845c4e7452531110c5b5f31518df8f6f3d94c0fa325a09257a,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
024cad3c9f5dcf23b757b05071650aff9ac89994bef679ab1e7e09c3d2d47367,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
19e75ae5ad5f63def4bc6a933a2d294cd529b2ac8f44d556960b33649c9122d9,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
60a59b06cfc55a52d0fe99c7c9a1ef4e5a2bfccc34b3dd62fbffb8e0d009a758,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
795a076260211cbe1742e8cb9a4f77031f62b6419c16d134cbb73ce89dee5dcf,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
22989e1443836c08f1e57943a0f8806479315438b99bab20fa293de2704b60a9,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Offender given a caution
2248b27ea981d2ba104604c1db87c2d46a4bff39e501ad79d2672c1ca919d903,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
581e9847761f0021426c330b60a63b64489d4de35c2ec1af361e8e3083aef9db,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
dad6523b74ce413fced3c2b42d0dc8e7e906707affae0434757aa4ed5b604134,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
6db76ce8cfb17076f65de1841537ba8e025ae751bcd1d8710d7fb66b94f098c9,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Action to be taken by another organisation
9e7e104e5c46939c9a24c7486648946ad314245e3a22e95134b54990afbb1b7c,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
be71a3222f1d745a222587e65168a6b6a3b0c8f11f5bb919794d9cc6f579b005,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
7c917f655186f95adb48065cb19b8edfb8df156fd6e3d09d731511e1446a5041,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031953,51.726101,On or near A10,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
2bb6acd64aaf84eae712f13769874d024eef2a55f6c7d1aa3eae4d7ebc49389b,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
fb46ed22cbf386913775104e90e32705d7c70e07bf3f7fa0db95d98b190086d7,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
2acbd600d8611cf8244e33d33f9e7fd632d1d9d072516775abd3ff27a6a00151,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
8ed488b1461bedcb1ed36879020d755f643710c066751bb7cd023e732956a3fd,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
1a03cf094e3f9ea1f9150968bb57d29a9c2e1eb0c9571e6bec814d4c50e50a24,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
420ee969b02f8a4e9e79f5f3a65f4b70c9d33d6fdd6423bbae150b811397fd87,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
88944f90abd697b031cf92c11891a0eb0de15b41e1d876c2d8af078d361c3148,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.215995,51.987018,On or near GLEBE ROAD,E01023632,North Hertfordshire 006C,Unable to prosecute suspect
c669a10629e0c5b64d964afaf15c4598831560045cdd4e917d86d225580d905e,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
5ca54a1cc4f0720ea795cd830956680e8e8c7d819e31a322749e671b584b662f,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
e0c4be4feea1878a28dfb6f94b98b3b145ef2a00ea75daae1bbedefca2d4afac,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Formal action is not in the public interest
16c031f2860d60bbfe314e28ba6ca5f4bfe990b07934c67c9bab3cfa7a8aa5b6,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
f85a3a5363ee46d1426c5f78a701ea24ef02e0c135e1915cd986ed32abcd2550,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
46a2ab8d2ce09f7ae89782a7d7fdfcf34114b2348a74daa7c5894afbf8aec870,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
c559d9936089eb0de0e7181642b1ea3b8fae05e11ebd572328f8fe9076af134b,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
72f1ad516792c51b136ca43e18609c749fea943aca6b63f35584ed9c57d48710,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
4b4ee99ff96c226fb1d18f3b4f8eaaa9f3aa0276947e79c8a8de6763c3380887,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
283d3f47b65b078086eb4d60cf6929e023bff1829557f0e280891b4bbf775923,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
7740abc19f3947b1c987c445926310825e78ab9e85117427e7ac0c57fa9c3299,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
b325d1ec075d65b492127ede48275f1ed379396fbab94879524c18fefb03b470,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
170d02f112616921d64a2b0436bcf682c865b5f6d09f78c8cf33b7788bdd4485,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
adb102cddc6238cf59c4a16ca75c1f342247822bcda1a3f19362cfbc0393fea0,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
9a8c6007a8d51bfd3e9f7acc71263e6f72f77e5b4a92234086da8f2aee498bbe,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Action to be taken by another organisation
25d43cb2679b420d9d8b43265013690ced6826d1dc05b8a5778145caf6b95606,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
87609d257020a349fec0b60f764747bec7eb630f3e6d8d1333c2a95546e93e9c,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
585ebc5466f6e6de580528b3bfaa7f66cd729270faa6247f7a8662ea65afa3ec,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
c90808ceb3d13147c2ee93f32d96178f74f1096dee58fbc329d6fbd209c2934b,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
972b74c076610975c43108740536ec8606fe66fe2b435f813b396469067be596,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
fc4583faa8566426e5fffc834317a3c48b42dfa9c84f6abd1407b7e6fc3ebe39,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
6d65d577cb2386f6fa6217fea6f6b8be88b3ee5e137691abf8011fe7ea35a07f,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
acd0909ee76b6f5eef84d073c7ac24240aa9ad4d004c787dd8ee2826d7dfff55,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
8a6745ca0d37468fe4a2e10c85fcf84cbc255287ddf2924863e949edbb9e342c,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
61fc7622c22e5e8dae4740975248b3b3681b5402f59a783cc8fdefe7fe14902d,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Formal action is not in the public interest
a15c410ec75b82b76fcfda4d479971da900412f948ace17c51611adbb8690f0b,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
a95b509a8122570dbdde5890a723c7f3fa5dc16ea2e6921e653ce65165a711c0,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
f63448d2b1ad45b42f1dacbb876379955f96370f0a7fccfc1fde2149c5a2a04f,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
c329e1cc5db816972684508f2fc9fd018baeb8f666a0ccdd7947ee06978575b0,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
1063bf9c7a7d3d80a77fe0f625eab5ee0d7454e7e7e2872707e44c5073016612,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
7e8dd6d564d9336274fed32020fe3a510f7de372c9898f795b7a3d308a2169a6,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031964,51.812157,On or near CHURCH STREET,E01023514,East Hertfordshire 012C,Investigation complete; no suspect identified
11f30a9664fc0fcbf61ca78226a6bc5a13be8d6c3aa2a550177ad7a8ea003aea,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.339165,51.753028,On or near WADDINGTON ROAD,E01023727,St Albans 012B,Suspect charged
9a268ad3b7c1cc6fb7b99066c606b3131aec5ba6d7deb1c796fcf12e5d467771,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Suspect charged
63094e09dc66049346f5f91e0be263a1951a5e7adee6922d3e7c56ede7f7efd6,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.464452,51.747988,On or near FERN DRIVE,E01023388,Dacorum 019C,Unable to prosecute suspect
2f53991c46dd46f134d369caab44e0442c3c878278290470fe3df8d839b14860,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.199438,51.902315,On or near ST GEORGE'S WAY,E01023758,Stevenage 008D,Investigation complete; no suspect identified
90ba4ca88020926352d1da2173670195c756fc59328546e7e67096ef93bf6b45,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.413116,51.670146,On or near FAIRLAWNS,E01023878,Watford 007A,Investigation complete; no suspect identified
1051923d1cd91e6bbd64ea8fa0eac1c2eda24c845df4ad4ee6c4c2495c3925d5,2020-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.087539,51.799541,On or near MILLMEAD WAY,E01023470,East Hertfordshire 014A,Unable to prosecute suspect
