Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
914a7201a10b5b0b49893d8f143af072391253f778455bbdf800204f03853884,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
e6734a04e1428aeffc7f650fe6ee65357efac33999d6fa2ac278625ed7f580a8,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
d1a9d666fe13591ac5d40b59039188e3a8433cd8a61ece376630ec88271ade41,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
cde4e79b11c70c6a9449f1f981d0cca5d04edc931a340ace4711fa1ab6d12c43,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
0e5ff2dd96653f603410f757119314c6196e3c8fd2d942c1dd56a222b345e524,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
c95bc5638cef51d3646ad66dee686c3a2ec264f986972c097ce5c31ec5978090,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
4f7c3a3dbbf211c852efb90765c7ef9847a196ff94e6325fdc04b64b6fd06342,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Formal action is not in the public interest
8b66e8c63043590cd33a77293700604aa6696af76af01476fe60c6e294481d93,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Formal action is not in the public interest
39bec75bfb9b133e8e579cf8f0ccf922c84944c5863628679118eff0be65bb12,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
f509bd2799ade5dd20e89558f4b8220609c9056f96d59dd2fd5adf02c1722e94,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
3dfc1ef3241ec5954d1a43675a37991aa1d11dc3cadf3bbb404c63be35ce4a31,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
3a5fca5b8a65e4c507790f50ad06c8ef0eb46160a96c0525ec4ab77425da6584,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
7f80aba428465a6eb466e219913a0894e58b40b8b476fb791be763ceb019771c,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
2add3a3a72a8fbf75d410111c4ae24d00ae75596e2c83a73d10faa1734ffd55c,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
6cf009fe574146a922a2a76f2a839e322a0230e05b3bd17c1996987f825161ad,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
2452e74182e9f5b2ba62a273f6e4c5c618d0a75eb8c71ed89779f73687f1fc72,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
55bb51a1a8d42248f27d51a37727094ed895a05f5f65d99ab48b00cd7603a7da,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
a93fd8f6d5e3fd68226db969c1dc9b1a3dd149ca8a4a4aa3db5f3524acb16f69,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
801215d96ae46571598c3247ddbec8aab42139634bbde7245ea5d069437c76d2,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Action to be taken by another organisation
679a10fb99a99bd86c26be661e7f57a49e5e27af58ee0025a9da439891d27977,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Formal action is not in the public interest
294de20da97c885edbf16f93b14cecc5a2554a2ac3452406435795cc3a743cd7,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
436c73ac5dfa89433488c6a4489f9ccb4042486a90bca597443e3791b8b6b752,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Further investigation is not in the public interest
976ed472d14c5568258157c7e9290f02af920163bbca315b0d2dab100b2fecd0,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
b047dd4d263340bb806e6bff4edb67b162b2dcdb008497db04495d59b4dd38d2,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
7a1a36e8f1c75e71b854614c70cd710d95d7c80b6ce8dfc0e2cf8e2c76475f94,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
3512fe43f660c3402440c3ee14c4a74ec490c911174c6f788cb28ebaf5b21beb,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
3d39fe3112ac23e995109a12150f146d993ff5331421d6f0767b04569fd82743,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
74cc0fd18de63843bc5c631eebaf6cefbe4688f8c30e8dbcec950e03132ed263,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
afec581f830b6714477ec35711b170561ae4c01ea4cc66c2b4fa419c63c0a31d,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
2b415003214d6b946c5a09bd5cc01caad7e6f5de9c1926ae16f669964aca5629,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
b8e6ce5904bbdd182e5f3f572f1647230a7a0967a026732a5b0bcfde15ce9ae7,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
f6c71af1b8ada40ca30023139fddf25c88a934ddb09889b722d1c82303be9793,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
d3960a20275cf72a70b7689e0895467da6dd2030265977d70a397821d4becbd0,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
de97b12c49843091276f1ad0091465cbde8328bfc08dae9335811c3eb3be772d,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
d5eb750b9c36192eb1c406192fda37f495741051ca4e8255be11337e87305331,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Formal action is not in the public interest
8a9f61daeabfd7e98d9090a27b642443d37d117cf521f4ef8915a332474c1215,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Action to be taken by another organisation
272e9e239069810f7afc7685373c814e508645363b9c50efbc8c5c6997d6c807,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Action to be taken by another organisation
9e39d966b429a81babba9928743dcda89b5b55ea35c63ba0e12fff52d8b4be3b,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
e7d8301672c7eb0a4bbb15a36a02db34aa7b0816d0a36581625696371bf8f3be,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
5e46a8119e3ad433f1052bab5d61d81958fd8f56d010429349c3feb2dc977a35,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
a17e7fa474172d4e4d230ca17b9e096dde8ea4ed8ff7383bed15da0c51a7e460,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
e58a1dc1a555a78e805cd7b58dea92fe3bea5a2f5a110194146a8c53be465986,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
efa227c9b51a7b738dbc528e54fba6944b03ec570de2e64028a390cd0e538171,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
22d394ae43a423fd76b9f90d85600ee3fc2e49e846eb2294e358910acfeec4ad,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
aaa4a8876bd78aaecb76d5e7d59e530daf1ad116c31a22fb2cecf5aa4e0366c3,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
f5706502544f5ccb88726949ec80874ea2bcb2bcf69cc144e62c1872e102ca74,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
e9948083934e77696151acd3145a6a699550e41ef99e6f3a6ecf5ec25e1f10c8,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
51ced5e088093575aaa06662a109cc36744cd59a718c0dbfbffb7b705f5be288,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
52f592bb77890d93e05246ad80f31c85cb91956adbeeca91598711d38554f682,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
24754a0bec6aef282731c8a096e55510497a5f88b5e7720e3c78ffdafb99a52d,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Further investigation is not in the public interest
eaf4e46e7474165679c947ab3e37a08021589e11be7731264a451ff09e50e798,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
09e808b7216bee4b1c62601b03bc3b762fc0aeacfc14ff4c28817dca4bfcacc0,2020-01,Leicestershire Police,Leicestershire Police,-1.333513,52.720194,On or near HALL GATE,E01025933,North West Leicestershire 009B,Unable to prosecute suspect
1b21682bcc9f217d1b625a74d12c6efbaab32fe4a4e844d0fd575a257e34f90c,2020-01,Leicestershire Police,Leicestershire Police,-1.129511,52.633145,On or near GRANBY STREET,E01032873,Leicester 041D,Local resolution
061e4a11d1618b80dde29e686b601950611f21fda069f74f57055f04c54f5cfc,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
5265be756d33057d30df1d0cbe4deccc940aed5d4e40b6bfd2534afe482bc2ad,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
0fe2b0c9f04f588127cc3c7e5a4edd23b1e8546f5c85ca8b2eb5333b93cae10f,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
445b5073915b9b3fa3d8ce6bda955d55c134ed91be8a7d7d9f8a8a3fedea30a6,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
879bfe38f535e1deefdb6a82e7a02b7a0384fe5a90ad2e6d20d5026ca3e4282d,2020-01,Leicestershire Police,Leicestershire Police,-1.226767,52.773836,On or near HOSPITAL WAY,E01025722,Charnwood 003C,Investigation complete; no suspect identified
35b32c879232e43f6ba2cbf0b1007bd5b1fd328f39e8a840bd2af8da1c59b250,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
8b7ec4c2293e544a23b8cdf13f00dcc80a122f24c6d5e1de9916557da4f92fdf,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
c3679617ea3c9985d59dc3df6de9da018d0743d17c616fd69d434f443d20882f,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
1524dbb9e81517d69fe6326c60e736098cc613743196b7e827f383eb4d188e9e,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
8be4d688f268f19dcf5329c01f152e5540f3481819a163e49cf51aaea0db5d94,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
cd1d28cd6d0deecdc5230be95bb6b0246314a57b0a06f845fdecec8740573e82,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
9a9df79f7e9c8a0b70a6c1452d1a581f308f868919441865711f51c7892fa2d2,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
46018baf89322d146a54e4c3e3bcb92020569560b7616ef96bb6002c60d40618,2020-01,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
