Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
aa36cff6a311dc3781080161311195c51a0e21d0ab839439907a987359224cf0,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
63630c5dcef2a5cd6cbe2d595d56744cb5148d8b34d3926a6582f79fe5e5750a,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
3e3982fe4d6d4d51f33de2ace9e30046134a39a3319fee2a5a183ba16f112e83,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
fb4768c340f7c75a203ce04a128bf4d8f9c658825f6568638aff5dfb8fab089e,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
4d74df4720b0039a01beb98822c2dbdf1be0208dc8170d08e4e0e4811cba1dbb,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Offender given a caution
796dca863eae96532e9b4b7b48ef2d2d6412b3cb7ba99f5b2d6439c04257b49e,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
82b6115a2fe9c485868a8dec59bd6f7a5ac3a4b4fb76a310b79de5464c60d4e8,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
74e6896baccb309166a55494387be22f959ac26783280122a01949164eb8ebb3,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
f2571bf85f35ce5f838da3594aff5b86ad92e49dda0dc76ca16c0c6369099a34,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
161a0b9a58a345dc0cb0bcb2d3b320bc2e8eccd218ed72d8c2b662ea1736412e,2020-01,Suffolk Constabulary,Suffolk Constabulary,1.154097,52.058660,On or near Parking Area,E01033125,Ipswich 007G,Suspect charged
d032d18d57dc9f8284cd58fd3d7a4ec026c8915148000724c1330feca6cf5e55,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
424ba9708210ba4bbce3f2291f08730533792e3b58ca25fc6a776c3c707ce314,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
efc0df9b35187f2804811ee591621c8ab1118ad17860393de9c13e00e27cedc3,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
d754d188795c474d549528bcfde703c109b8998680d052e0e8abbd586a1d5691,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
7af9ef56c121b7b8de1fa96bd2ca21f488fb46bcf244def88e63e306eee4e1a8,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
9ccba082efaeec3010176538fb93a907cded2310b614a738f12ed1465e80cd80,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
623c471f40063dd977e93cac456305ec326162a9d7e4a9580b937984fd72ed6a,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
bf46820a51a1d973fec7356cbacc932c7dd1f8e152c58d1837c6e70a693c3aa2,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
39ecb9e82a31f4be411aa3f19e6a704de2b8c7664199eb720eecd1743de9ed3d,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
471f02d2a943f34c51b6ba7dff1c30cb4534d26e4eb2fab8954160fae081fdc6,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
8f4d6f9654f8881ee7331672e97ba8c1de04413f80acf8665b21c80ee6c13a2e,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
d73b2832b6d76a0073605f12c6c02f50af3e65d189f318a2afad8f92a7fd34fe,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
54e23f91c5daa8d52d8c59cd111d188dc971f22bf3359335afa54c0b6fdc2a65,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Offender given a drugs possession warning
b6d759a4c07cf1304c380dc1d180228f63d991ce670c35f5b0386523adb55055,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
7efca083091cd349948c7c9b1b12f81fd3892e23004dafa11d87dba320c430fd,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged as part of another case
64133ba8bc737832a04bb3759bf56af6a361184429dcb80e8287d40bae07a746,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
cac4070cf84ec3b269447067ccdb84d8c80436a080728e0c86be012109e25ae3,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
3e70f2bdb988bec9cca5a8c6c5f92cc9b14f8bbc2ced338bcc509107e62f694c,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
c55bf1d89f666588af42125ca9a1a604bb09e63d851f00cd56ef32679a3f7b8c,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
e4f271668657e8eaa01248dd5489509a4875faf2ae584826564fa2874b068bee,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
428d7bc4a995e28622a4a43ec324c0084db87bbf8c60bce5dd05151b735d6152,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
cbb2d10aac68df20215e6ead60c1213189e48f3c8acff648aeb77232b64d820b,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
62db72da9385d6d2664b79828065e326dd5b33ded4e613e0e63702b1b6f940d8,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
4e9b056e070cccfddb814ea728d62468f564aac0bf4d4402ba0cb530bfa31e6d,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Local resolution
1bbb3b79eaaecb75e3e56de13502f9bcc349ca9990be956d06f3656fde5c8ba7,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
b560bd80657f55e0c45afde6dc72950a6770b89e372c8042f99bdc7e7f9324b9,2020-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
