Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7c438f93db6322056a9830e9979d67ce00e5c960654947f073edbdc1dbad394b,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
a53ae632119aec63d75119d586e85bf1ea65f19b07ce2551af74db4045e5ec4f,2020-01,Warwickshire Police,Warwickshire Police,-1.426920,52.346177,On or near OXFORD ROAD,E01031150,Rugby 012D,Suspect charged
2a3f1e44c716d4e1a17c44ff0868fd2bf51c9a450ccde47ad5e9438298546e86,2020-01,Warwickshire Police,Warwickshire Police,-1.273387,52.377321,On or near IZOD ROAD,E01031169,Rugby 006C,Suspect charged
4106c5495ec84e845862095b3a82a534ce88152e12c7aa04668b2e6d03b0bcca,2020-01,Warwickshire Police,Warwickshire Police,-1.536712,52.292609,On or near Supermarket,E01033253,Warwick 007H,Suspect charged
a1e099f98c07f85342553686043d09f443e552cd09ef7e093f08ae0daf24e819,2020-01,Warwickshire Police,Warwickshire Police,-1.293338,52.358787,On or near MAIN STREET,E01031127,Rugby 007C,Suspect charged
4d574dc39d99788652fb501a1120e8b9d7c655fb3b93f73a748829607156fbad,2020-01,Warwickshire Police,Warwickshire Police,-1.360597,52.271820,On or near NAPTON ROAD,E01031223,Stratford-on-Avon 004E,Suspect charged
adea5acba0086e86df90fd0fe58a595a6c46be46103562b2675fa25de3058356,2020-01,Warwickshire Police,Warwickshire Police,-1.548932,52.278892,On or near Shopping Area,E01031315,Warwick 012A,Suspect charged
62c1341be3b4abaf34b0c707cbb5dc8d79282b42dabd8dd69cadd561c856c89f,2020-01,Warwickshire Police,Warwickshire Police,-1.569843,52.350640,On or near STONELEIGH AVENUE,E01031297,Warwick 002B,Unable to prosecute suspect
938d29a272b9851b11ff379d75815ee254e0d08efb7c0762bf3ec3f3d06f9e01,2020-01,Warwickshire Police,Warwickshire Police,-1.432888,52.365059,On or near POPLAR GROVE,E01031181,Rugby 004E,Unable to prosecute suspect
e66072e1a47d0c654f0ec3d4b5547d6e878d141b909a10fa1deb501dfadbab60,2020-01,Warwickshire Police,Warwickshire Police,-1.704507,52.192698,On or near BRIDGE STREET,E01031234,Stratford-on-Avon 011C,Unable to prosecute suspect
f5d1c23574307c9d61c11c380248df98fa4ca99c8d3b20a19f15baaf0c6431af,2020-01,Warwickshire Police,Warwickshire Police,-1.486830,52.519638,On or near NORTH STREET,E01031059,Nuneaton and Bedworth 006C,Unable to prosecute suspect
ac7044eaa427ae4e087332bcbc254ecf8f6f97b3912e898333319fa2ff2ebe3a,2020-01,Warwickshire Police,Warwickshire Police,-1.580780,52.283936,On or near ST JOHNS,E01031323,Warwick 011C,Unable to prosecute suspect
49ae040387fe9b2c7408edf7af75bcc9959f8eafbec7587a21f491120f4ec7d5,2020-01,Warwickshire Police,Warwickshire Police,-1.531682,52.567615,On or near FINDLEY CLOSE,E01031015,North Warwickshire 003G,Unable to prosecute suspect
c0bf8d565874af0f4ebce33d998139c380dba2a9ff43a70b6f60c777021decf5,2020-01,Warwickshire Police,Warwickshire Police,-1.547898,52.276856,On or near APOLLO WAY,E01031315,Warwick 012A,Unable to prosecute suspect
b236f161962a657977af6b6f9230195bf6d5a066a662282614beb062ea3d7286,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Unable to prosecute suspect
6a878f427b6d43f84ade067067f43a28f41cac4e8b78e8209356c8bec7137ef0,2020-01,Warwickshire Police,Warwickshire Police,-1.536712,52.292609,On or near Supermarket,E01033253,Warwick 007H,Unable to prosecute suspect
6cd11ba8e57108e6c63ff34fb8595f9ee95de28098756fba54b8f27b98284ea1,2020-01,Warwickshire Police,Warwickshire Police,-1.476760,52.519999,On or near SILKEN COURT,E01031047,Nuneaton and Bedworth 005E,Unable to prosecute suspect
e2460b56a6788817fb2a7458bb160f15add2adf863e2dc773a094547377e53f7,2020-01,Warwickshire Police,Warwickshire Police,-1.472340,52.487840,On or near NEWMAN CLOSE,E01031065,Nuneaton and Bedworth 013D,Unable to prosecute suspect
c297b418c52bae963e09cc62c6514a8ddb0c0abbd907922ceeb6d99e85c8247b,2020-01,Warwickshire Police,Warwickshire Police,-1.507709,52.517345,On or near WEBB STREET,E01031092,Nuneaton and Bedworth 007C,Unable to prosecute suspect
e929466cbe01f045de84edf9390e071425bd74045f25499b44c203db073c7949,2020-01,Warwickshire Police,Warwickshire Police,-1.292668,52.370443,On or near KEYES DRIVE,E01031125,Rugby 007A,Unable to prosecute suspect
389498477a6fde7d526a0b9e534d8418f079cc58ac1232dd26886cdcd00d83c4,2020-01,Warwickshire Police,Warwickshire Police,-1.709025,52.193114,On or near MEER STREET,E01031229,Stratford-on-Avon 009B,Unable to prosecute suspect
a8478e21c76bec134270c6aa57b14fd7854a2ce28d93c30ce97fed5765a02f33,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Unable to prosecute suspect
44dc215e15a492d6efd5b0a1b4cb35bb2e98d280eb2f8ed98e898c65f6201f40,2020-01,Warwickshire Police,Warwickshire Police,-1.388585,52.279565,On or near LEIGH CRESCENT,E01031211,Stratford-on-Avon 005G,Investigation complete; no suspect identified
1ab1e79547d3b7b6b526440f2c68ec2be804992a0caa7772120d8558a7c3995a,2020-01,Warwickshire Police,Warwickshire Police,-1.425363,52.218165,On or near OLD ROAD,E01031200,Stratford-on-Avon 005D,Investigation complete; no suspect identified
8476ccd80b45f632ca6bfc6882b75e9c79e9462c267227e8730e7b9cb70668e3,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
8a9d9007e45230f2d00c2485629ac62db4bd74b5f18cd2bb13f7a0e4f1bc7f4d,2020-01,Warwickshire Police,Warwickshire Police,-1.502027,52.515460,On or near ARBURY ROAD,E01031092,Nuneaton and Bedworth 007C,Investigation complete; no suspect identified
b44b4caf6162b33a1bb36f34985d0caea9b5b9c5963ff23440fe320bcf048e73,2020-01,Warwickshire Police,Warwickshire Police,-1.630690,52.594251,On or near JIM CASEY WAY,E01031025,North Warwickshire 002B,Investigation complete; no suspect identified
bfc3f22bab3c239bc6089a2ec3a19b7ff933d414968d2d4db5ccac99cd9ea4fc,2020-01,Warwickshire Police,Warwickshire Police,-1.572723,52.277227,On or near Sports/Recreation Area,E01031317,Warwick 012C,Investigation complete; no suspect identified
750972abb9c11f22d3fbc307b62eeaba47feb4d7fc89c2383183b3f4553d3ee6,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
ac1a86e314840ca9406bb4f84d5329ea00ee4889ff4e9b37d872b71c930b6b66,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
053973d57340290b7bea9e4234bd95e79a75e07c6815c10cee5368e307b00b83,2020-01,Warwickshire Police,Warwickshire Police,-1.639193,52.610468,On or near GREEN LANE,E01029855,Tamworth 008A,Investigation complete; no suspect identified
5c5972951603416d59906890f55202481e0f3b9b08122e025be80a6eb758095e,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
3b32bd94470ee0e31b2140e828cee847c5fe3c296aaa1a8a2b4d2152a56be7e6,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
581e53b4c70e43bb2295b573c103b94136fff88f1579f8cc687d4e4589a0f424,2020-01,Warwickshire Police,Warwickshire Police,-1.460411,52.533653,On or near RYDE AVENUE,E01031114,Nuneaton and Bedworth 001E,Investigation complete; no suspect identified
c667ddf1a8289db41ae3c57fe562f66f2c7b54665b53e0a8ee7ed13fa79cdeb3,2020-01,Warwickshire Police,Warwickshire Police,-1.520380,52.287006,On or near WILLES TERRACE,E01031337,Warwick 010G,Investigation complete; no suspect identified
29e2f8458f8c49bffa5b7eb26bb061cba614b22bea24639d448849d1bb17fe47,2020-01,Warwickshire Police,Warwickshire Police,-1.541136,52.570672,On or near MANOR ROAD,E01031013,North Warwickshire 003E,Investigation complete; no suspect identified
574d02d4bdab9d064bdca14d3ade27d82f80217e20ac6847b53c5587f86d1b14,2020-01,Warwickshire Police,Warwickshire Police,-1.567851,52.286919,On or near EMSCOTE ROAD,E01031320,Warwick 012F,Investigation complete; no suspect identified
35f7b6f296528fc1a4ce80194b3d555a631aee32337d4cdcc9a1b01e24434a08,2020-01,Warwickshire Police,Warwickshire Police,-1.263377,52.374139,On or near Supermarket,E01031173,Rugby 003C,Investigation complete; no suspect identified
3ac07597d343800bdb2c36ae51a47dd6f0805009b254ddfddac13f0a3e2ca658,2020-01,Warwickshire Police,Warwickshire Police,-1.317427,52.411710,On or near THE RICKYARD,E01032892,Rugby 001G,Investigation complete; no suspect identified
6fd7d6a5cf8298e4a7bb4a79784b4046ceaa1fed50198ad54eb41f10e564e9f7,2020-01,Warwickshire Police,Warwickshire Police,-1.759689,52.195242,On or near DRAYTON MANOR DRIVE,E01031188,Stratford-on-Avon 007B,Investigation complete; no suspect identified
7b23f67a816ecf0d19a0752acf6733c2a1027a48544c9f6a8d4c8ee3a67d421b,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
b0a87f88084b66a60bb4b546f0453799284ef3f3f2503d7a0482635767aa5624,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
202fd1781bb7240be87b6b62e47a41051396dcaa3f18e83142369997c027bd67,2020-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
53f1f45ece397479832514dab129ba67b4bea00468f852a18a5f1584cc321163,2020-01,Warwickshire Police,Warwickshire Police,-1.486390,52.465049,On or near EXHALL GREEN,E01031080,Nuneaton and Bedworth 018D,Investigation complete; no suspect identified
655d077837c3ca2301b1d4c5a9fa6522f39193a63367462d9e4e84e62a826e7c,2020-01,Warwickshire Police,Warwickshire Police,-1.492912,52.472629,On or near HEATH ROAD,E01031087,Nuneaton and Bedworth 016B,Investigation complete; no suspect identified
48e465d339b82e1e65f35f3b81efd69fd34905898bb3f3db6c1d029eaa5bf8eb,2020-01,Warwickshire Police,Warwickshire Police,-1.465132,52.523579,On or near BOND GATE,E01031043,Nuneaton and Bedworth 005A,Investigation complete; no suspect identified
fe2a0af5f6ace01e8a018c91fbe295de9969cd6dd639a982a4ef76a847d29923,2020-01,Warwickshire Police,Warwickshire Police,-1.460371,52.487579,On or near BIRCH CLOSE,E01031065,Nuneaton and Bedworth 013D,Investigation complete; no suspect identified
1e208653b3012b0bf275bd44460046bc0fdf6fabafc42bf3c62feb7f235c141e,2020-01,Warwickshire Police,Warwickshire Police,-1.523374,52.155380,On or near BROOKHAMPTON LANE,E01031206,Stratford-on-Avon 013C,Investigation complete; no suspect identified
a7bd4e52e7b28a81acf861ab2754eaf4906c1d27710e8cb6a4849ceb7038299e,2020-01,Warwickshire Police,Warwickshire Police,-1.470105,52.508417,On or near BARTON ROAD,E01031116,Nuneaton and Bedworth 009B,Suspect charged
ff79ea1ec0f3a3b5c514c98e0c3aba4b9ef14288254aa675978dcd992865d5ed,2020-01,Warwickshire Police,Warwickshire Police,-1.626111,52.644912,On or near MILNER DRIVE,E01031035,North Warwickshire 001A,Investigation complete; no suspect identified
c83eea56210cca3b49674061ca894afede39cdb3606db044c1194175c1eeea98,2020-01,Warwickshire Police,Warwickshire Police,-1.544106,52.581624,On or near TUDOR CRESCENT,E01031012,North Warwickshire 003D,Investigation complete; no suspect identified
67df31ed477471759457ad97e6f0bbd05188b41ee8e40e609bd27e038f655e09,2020-01,Warwickshire Police,Warwickshire Police,-1.681019,52.324696,On or near CASE LANE,E01031281,Warwick 004A,Investigation complete; no suspect identified
a6f80ea1ee7e2c645b81fd546e8dd1f2d62a69b0ca3cff461274be03b92a9c64,2020-01,Warwickshire Police,Warwickshire Police,-1.402565,52.317926,On or near COVENTRY ROAD,E01031149,Rugby 012C,Investigation complete; no suspect identified
bf057c2e1446e5c59f6e9b6e943783987ed371a6cd733b76585968f99519c03c,2020-01,Warwickshire Police,Warwickshire Police,-1.548596,52.291828,On or near GUNNERY TERRACE,E01031290,Warwick 009A,Investigation complete; no suspect identified
edf365be1bf137071e45b53a75ab2c6ee2614fab6067255ff82abb6b13245e41,2020-01,Warwickshire Police,Warwickshire Police,-1.520359,52.518134,On or near TOWER VIEW CRESCENT,E01031093,Nuneaton and Bedworth 007D,Investigation complete; no suspect identified
5f83124638dba8ecd64ad551163c8669226bd9bc8a7bf99c6a57d3b815cea19e,2020-01,Warwickshire Police,Warwickshire Police,-1.579841,52.342918,On or near Supermarket,E01031256,Warwick 001C,Investigation complete; no suspect identified
8eca73329245f6b694a739670e12b2cc7d9ab07c7fa2ff87f4a7bac53170b7ac,2020-01,Warwickshire Police,Warwickshire Police,-1.706329,52.499772,On or near CHURCH HILL,E01031021,North Warwickshire 006C,Investigation complete; no suspect identified
bb3812b26956c5b8f286065a8ad31bcd508d53339b48795bc8736c1c6788ad50,2020-01,Warwickshire Police,Warwickshire Police,-1.258844,52.379964,On or near WOODSIDE PARK,E01031174,Rugby 003D,Investigation complete; no suspect identified
5a9311ae1ffdb1078f3f954a8019f8ca2a08a92243414d76ea8a16a46b2595f3,2020-01,Warwickshire Police,Warwickshire Police,-1.285745,52.215731,On or near SHUCKBURGH ROAD,E01031197,Stratford-on-Avon 005A,Investigation complete; no suspect identified
d92eef8da2a15b1f19ae356216abba578c69d17989260612a6d5e99ad1402aba,2020-01,Warwickshire Police,Warwickshire Police,-1.266184,52.375838,On or near DALE STREET,E01031173,Rugby 003C,Investigation complete; no suspect identified
36fb18c5cf370f34112b78f4a0f6f13cbb5b43df6277a2a4d47a70e49e9436b7,2020-01,Warwickshire Police,Warwickshire Police,-1.483439,52.529827,On or near CURRANE ROAD,E01031075,Nuneaton and Bedworth 002E,Investigation complete; no suspect identified
fa14c52d0c5debcd52f4124f2f17485c1d14d5b415289813d992c17bfcd76f7b,2020-01,Warwickshire Police,Warwickshire Police,-1.276578,52.373555,On or near Supermarket,E01031170,Rugby 006D,Investigation complete; no suspect identified
345ab9daf7c84f3d62303e6bca6c407f89b0041bf0435a83776e8d08b060f02a,2020-01,Warwickshire Police,Warwickshire Police,-1.464788,52.522831,On or near Shopping Area,E01031043,Nuneaton and Bedworth 005A,Suspect charged
4cbc336c535bcadf289aacaa395aadae9a7af6f4733d5c473e338894e7f93a1e,2020-01,Warwickshire Police,Warwickshire Police,-1.483143,52.522364,On or near CROFT ROAD,E01031045,Nuneaton and Bedworth 005C,Suspect charged
9867e710f4ea6ff3c4f47a9c08c806f82447f179674c9e9c36f5e55f0fd682ed,2020-01,Warwickshire Police,Warwickshire Police,-1.464115,52.519969,On or near Supermarket,E01031043,Nuneaton and Bedworth 005A,Suspect charged
e06a089aa8ac3401bdcfbf4598dc3c895c92256593eabb2af7f7d6c926eee0f3,2020-01,Warwickshire Police,Warwickshire Police,-1.608316,52.621823,On or near CORONATION AVENUE,E01031038,North Warwickshire 001D,Suspect charged
1e3c1dd60d85e9b2e0edbaca1589818fd1a9ba2b60c0c8e0f457576f7a077ee9,2020-01,Warwickshire Police,Warwickshire Police,-1.474939,52.510812,On or near ELIOT WAY,E01031049,Nuneaton and Bedworth 008B,Suspect charged
82133422ced01fedc784d2c50cf300b186261a32d8bc82e59091d0fd126c3462,2020-01,Warwickshire Police,Warwickshire Police,-1.590351,52.280868,On or near BROOK STREET,E01031324,Warwick 011D,Suspect charged
00ee211f63f706731c1c8c076a20b730bf6e82c3fbdc1c9377bb43328ede61f0,2020-01,Warwickshire Police,Warwickshire Police,-1.536712,52.292609,On or near Supermarket,E01033253,Warwick 007H,Suspect charged
a346454c6b09c4e213b4d95d8ba3db6665e79aad261526f2e2823c60b968d410,2020-01,Warwickshire Police,Warwickshire Police,-1.493157,52.526920,On or near HILARY ROAD,E01031057,Nuneaton and Bedworth 006A,Suspect charged
97e9114ed556eba0436a6d1895518d5a3f66cf509e174adba3660a4c5cb81002,2020-01,Warwickshire Police,Warwickshire Police,-1.493157,52.526920,On or near HILARY ROAD,E01031057,Nuneaton and Bedworth 006A,Suspect charged
7621b0bc85685029ae47dc2f1822f1c3b2029b806db98f17cf031eeedfcc68ac,2020-01,Warwickshire Police,Warwickshire Police,-1.490475,52.521731,On or near TOMKINSON ROAD,E01031060,Nuneaton and Bedworth 006D,Suspect charged
