Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e36d22715dd982c39713849901e835a4856e73b95c9add91733599bff73eb7ed,2020-02,Cleveland Police,Cleveland Police,-1.214411,54.675207,On or near SUSSEX STREET,E01012001,Hartlepool 008D,Suspect charged
a9974e6881dcdbc3f8bd05e98216b8277bc4a18193e10f62fc62031f7daef077,2020-02,Cleveland Police,Cleveland Police,-1.310022,54.579611,On or near GROVE TERRACE,E01012268,Stockton-on-Tees 010E,Unable to prosecute suspect
648e6626c038f3bf7cc54aade30bca669b780ec854555d38fda04145573a1d1a,2020-02,Cleveland Police,Cleveland Police,-1.212451,54.535105,On or near TRIGO CLOSE,E01012049,Middlesbrough 014A,Unable to prosecute suspect
07c49b56af0e4379edcff2dbe6399338f3567315e404daf4998c432a68a6d604,2020-02,Cleveland Police,Cleveland Police,-1.322361,54.570703,On or near NEWTOWN AVENUE,E01012254,Stockton-on-Tees 012E,Unable to prosecute suspect
e1835a53e6bd52d9ad01cd87931426ca3031524e14907257957267292e7efc18,2020-02,Cleveland Police,Cleveland Police,-1.304149,54.550190,On or near CEDAR GROVE,E01012238,Stockton-on-Tees 018A,Unable to prosecute suspect
dc1ef5129e6212aa62f61149a784cf2382c4303583f189b6e6ee1a7d797bf971,2020-02,Cleveland Police,Cleveland Police,-1.208954,54.690296,On or near MARINA WAY,E01011974,Hartlepool 005B,Suspect charged
5d2aee065b0ed1609e89e6e606087f7c45014524bb96739d46efb79327171216,2020-02,Cleveland Police,Cleveland Police,-1.262741,54.556514,On or near EAST CRESCENT,E01012011,Middlesbrough 008A,Unable to prosecute suspect
05f328cff101079ea058498cabde7edbc3d17dbbd917f38504d8eee66a5e6f80,2020-02,Cleveland Police,Cleveland Police,-1.234015,54.690727,On or near SERPENTINE ROAD,E01011966,Hartlepool 006B,Investigation complete; no suspect identified
1a9362e4afc6558172380ecaea8acc5f9cf7307de2f470edb889725b44d3023b,2020-02,Cleveland Police,Cleveland Police,-1.309452,54.566666,On or near THE SQUARE,E01012266,Stockton-on-Tees 014E,Suspect charged
a21da0f213728f7cc5942ec8ad80fb5805c81f6fb6606c47a1aedd0b7dc54418,2020-02,Cleveland Police,Cleveland Police,-1.420256,54.603456,On or near MANOR DRIVE,E01012295,Stockton-on-Tees 005E,Unable to prosecute suspect
d8bd1e409f9c3249523a47043164d08661d4f57337b1d97decdecfcd1a00269c,2020-02,Cleveland Police,Cleveland Police,-1.295158,54.548915,On or near NEWBY GROVE,E01012239,Stockton-on-Tees 018B,Unable to prosecute suspect
2764af532d79b137b1eef56d968d29caa0df5170c19aca4f27a334e0b5b604de,2020-02,Cleveland Police,Cleveland Police,-1.216068,54.685795,On or near LUCAN STREET,E01011974,Hartlepool 005B,Unable to prosecute suspect
956dc56d5f266b895363c4bc69d522e966e79e70e25987d6146c1913a39d8624,2020-02,Cleveland Police,Cleveland Police,-1.207950,54.702000,On or near FIRBY CLOSE,E01011994,Hartlepool 002F,Unable to prosecute suspect
72eb5333202bab04738a7d26c0091a8c57b2812798e7dd95b0bc15e78c17e843,2020-02,Cleveland Police,Cleveland Police,-1.241154,54.594072,On or near FIELDVIEW CLOSE,E01012198,Stockton-on-Tees 003B,Unable to prosecute suspect
2ea280b18f517ca0bacc9ffec32a4940c373a2334d646436c54612e1dc991984,2020-02,Cleveland Police,Cleveland Police,-1.228923,54.559871,On or near ROSEDALE AVENUE,E01033469,Middlesbrough 006E,Investigation complete; no suspect identified
08b8e00bcf6818e5c84d42e6a365fbcc31f58b9385008534faf9a5188ffae29e,2020-02,Cleveland Police,Cleveland Police,-1.206173,54.681750,On or near LIZARD GROVE,E01012000,Hartlepool 007E,Unable to prosecute suspect
d5b2c6105b2f285f4a4b398d739e98e47ba606816566094a75e5c7848a4da5e5,2020-02,Cleveland Police,Cleveland Police,-1.228317,54.575559,On or near BEECH STREET,E01033468,Middlesbrough 001G,Unable to prosecute suspect
c853e894ced529417716eb7eee9f33cc8a64ab8cb6f9d4201b4a3811d8aeeee5,2020-02,Cleveland Police,Cleveland Police,-1.340735,54.563174,On or near RABY ROAD,E01012207,Stockton-on-Tees 013C,Unable to prosecute suspect
614a2f752ec7ff73c856533a53ae73d586bb9f7f65fa77393560be4cb87d6d6b,2020-02,Cleveland Police,Cleveland Police,-1.063228,54.614423,On or near THRUSH ROAD,E01012102,Redcar and Cleveland 001C,Suspect charged
9b0935ef3f78b6392bce13d282025d1e489b117d829dfcab40aae889e07b57b6,2020-02,Cleveland Police,Cleveland Police,-1.226695,54.688991,On or near DUKE STREET,E01011976,Hartlepool 005D,Unable to prosecute suspect
e282f71db6d1c3317dc4692670c36a4d0d2dcf1124571d6ab972923e0c3e0f9f,2020-02,Cleveland Police,Cleveland Police,-1.211666,54.673608,On or near HEREFORD STREET,E01012001,Hartlepool 008D,Unable to prosecute suspect
cca5487fec77b04fa1d44a12e70f870ed3c1b5dbbdc53c2edd4a318c14bfdcc5,2020-02,Cleveland Police,Cleveland Police,-1.084691,54.593683,On or near Redcar and Cleveland Police HQ,E01032560,Redcar and Cleveland 003E,Unable to prosecute suspect
43099f3e55909bd433468e65caf9e31fa99c977e487d1875e75bf54ff403fb20,2020-02,Cleveland Police,Cleveland Police,-1.236892,54.580304,On or near Middlesbrough Police HQ,E01033468,Middlesbrough 001G,Unable to prosecute suspect
fd831a03256245436b4617e5ccf06dbe1081a4e61afc102c51f11b121f5b1447,2020-02,Cleveland Police,Cleveland Police,-1.060621,54.602575,On or near HURST PARK,E01012179,Redcar and Cleveland 004D,Suspect charged
a90055d4aaa7f9235bb491b377d18bcaff9f62e8796d23915dfa21f061d53dc8,2020-02,Cleveland Police,Cleveland Police,-1.198227,54.554360,On or near LUDFORD AVENUE,E01012084,Middlesbrough 010C,Unable to prosecute suspect
4f89608071eeb8c36d7637d6cb8e842e6e20d863e08663603b3c2dfd9a5a1c71,2020-02,Cleveland Police,Cleveland Police,-1.315075,54.591035,On or near CHANTRY CLOSE,E01012260,Stockton-on-Tees 007C,Unable to prosecute suspect
