Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9240c0d2241bb59e064c5e806a59a0c891020359d6c1e7ab134a919030798638,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.208155,53.202077,On or near SOOKHOLME ROAD,E01019507,Bolsover 007D,Offender given a caution
107dcb99d4f207c2413a61b83bd2546b47f4c5d87b3f6e22e8aa94c7221a7da8,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.400081,53.236214,On or near Hospital,E01019585,Chesterfield 012G,Unable to prosecute suspect
4ccaedaf8302be0ef97769afdd72c17ec87c79e70ebebf9d5ca51635fb9b31d4,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.424862,53.237361,On or near Nightclub,E01033387,Chesterfield 010F,Investigation complete; no suspect identified
1e01924d82b65c883b7c4373664f7e0bdbb57bc3387fa2c923195d5a0ea6ab1b,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.493507,52.924841,On or near SLATER AVENUE,E01013554,Derby 011D,Unable to prosecute suspect
be2724a04cbf03455109354fd7754875f536b7018fa2f9ec8b4505ce9ed17a04,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.527655,52.928029,On or near DRAYTON AVENUE,E01013553,Derby 009D,Unable to prosecute suspect
29a3784efbc08f670e43580d08567573a79ffb5efe3c8a02de854e347357f24c,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.456227,52.933468,On or near RADNOR STREET,E01013536,Derby 007C,Unable to prosecute suspect
218cac977fa9e6ba3b2d16df5b84cd3cf0abb77c93502828ee3341875eb353ea,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.418752,53.217205,On or near INGLETON ROAD,E01019548,Chesterfield 012D,Investigation complete; no suspect identified
e1ef8746dc372afc0f724a967dbabebf1b40ba81bdf6578485b1a61597e04cfd,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.363622,53.257904,On or near CORDWELL CLOSE,E01019567,Chesterfield 006E,Unable to prosecute suspect
61862123cc6e596104aecb83cc7034974ae009836b360d6bca58117760a5280b,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.207255,53.233802,On or near THE VILLAS,E01019506,Bolsover 007C,Unable to prosecute suspect
8e9a9b8dab2ac74eb093416f3d7b3bc209e55ce00d5682d1e0c6648f254d0659,2020-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.455070,53.252514,On or near FIELDHEAD WAY,E01019557,Chesterfield 008A,Unable to prosecute suspect
