Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d39cbc0a3c77b07c51c814a86ab5da90cf5ad70661f60dbe013501963f94cb98,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
ded464d6bd5f880545d2ac63c1f1637a99e794dd4c93ad9a65615552e98af2be,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,-4.062751,51.083390,On or near MILLS WAY,E01020132,North Devon 007A,Investigation complete; no suspect identified
93c054a92dbdfe8908b679a9c97e4da6c08c4f728bc2e571c0d6265faf7dc7b7,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
20dc79ba39b4821f194336b82452c8180e60d9da49ee04e4cfe3ebf91efdc323,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
465c2e05825c334a81270b992df8326fd7de7d69efa814b27b1fa0e14cd734ec,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
1c8098f61b26bb290904dee59f345d30569c9262f4d96ac3efbb0f38ad796684,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
ed4a6e0cfa9741eba4632c4db4b2f26f0f9502826d813a319b88e3efdeae2929,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
8f86d11eb838b6598ddd20409341e42e95df344f14f3771454744755fe89c458,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
43273a4a1d54b4610eef8a39903b209a3cdc1aa61fb712bc16c44dd23fddda97,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
1f901df8e7c06a86cafb63ea1f81d9b82b43d30559aace1addfda93348adefa0,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
78685c31157ccd708716e6b3a2538ce11835a04f2de24ac632d5aadd89cb9786,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
ae65c762f57ad5b5b7145e4fff0000023c310b38b8cfbe0e37d3140298ba4bb3,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
1a601d575013cc5c4a1b32b43a59d4779959c3a2a0719a20e4bdf35eb96d7158,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
dedf34c0a430d056c188ea9fe9d2e3088114475ec0bddc835825b07bd85e010c,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
9ec50efa74ae40b3febbbf649d2de8b5cf82b11016bfa4093ddf202ce00d9d7a,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
d58a34dcd08b97261f2508801854a7124c0c1c5fcd287f15cc4a92fc32b860ba,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
db866959121ff04cf04adf89aa50bb10babbb0ad8240983ddd1d5470790c896d,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
b6c65b80fc1ea04b1fad7c7beae908b1e702a9a3dc45a6c8af8ce15ec51fa046,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
bd2bf7f4e0abd763bb286ff4d6af9d353561ec0d71155fd274597fcac680c5ad,2020-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
