Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5d8406698d79d502da565788826394e9ac37ca52a22186b22b9de9383c8ec87d,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
d1cd02553bbfc56940e0db6310419a8c04f2409ef17f831663dc62003461f0e7,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
c5626eded88e6d55bc43b1d2db7b69b51a08b2fe3330c4c6b742d8d7e52901c7,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
d5bded8e5c0247af499260ae2f6267958a798764274a31be7b359e5c18494e6e,2020-02,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
daca377b6936182cc708f686367b2862eb9f3056c7cda41272e8ad27029b18ec,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
4ebc145b892b2e4cb834a05cef2f27dd84508e273527bd5d14d09ca749ac4b63,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
ecf2e08841cbff1a491a4510b0e1e6e34b9c09afdd3792333159f7b2992b9fb7,2020-02,Essex Police,Essex Police,,,No location,,,Suspect charged
530f462514abb1d910e79ce2306f2ab39b3eedea0e318c30a0a9e4253fd4c54d,2020-02,Essex Police,Essex Police,0.595488,51.572232,On or near COPPER BEECHES,E01021531,Castle Point 002E,Unable to prosecute suspect
b917114f13c9eb22612830c75f419fa39da13246cc71067e16476deffcc0e4cc,2020-02,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
b4c19dd8a5086c77ebc2697a36c6534aab4b4e5d4619548ca1f2b33204b1bc13,2020-02,Essex Police,Essex Police,0.353139,51.491603,On or near BUXTON ROAD,E01015965,Thurrock 010C,Unable to prosecute suspect
01108e16f19bc3e9d0058247e9209b6ada9d258d0aa567de1be247280e7b73ef,2020-02,Essex Police,Essex Police,0.122593,51.756413,On or near SOUTHERN WAY,E01021835,Harlow 008C,Local resolution
50c95f93577e2ec78f6075adad728407daef8a7879b4ec3b6c3feb10ed771a4b,2020-02,Essex Police,Essex Police,0.279140,51.512777,On or near ERRIFF DRIVE,E01015972,Thurrock 006C,Formal action is not in the public interest
62f3c405c7cf05094dc5a8e8d5da05fb9f989b717521d8b3bd9287e96bf30781,2020-02,Essex Police,Essex Police,,,No location,,,Formal action is not in the public interest
de061025aa31b37fee69a41b2411f0b15ca4be4f6d15f82bd58d6e65c74e4689,2020-02,Essex Police,Essex Police,0.086195,51.776857,On or near THE HORNBEAMS,E01021839,Harlow 004A,Investigation complete; no suspect identified
7d20f3635c2fd54afb2bb638008c4fa413de0bbe2de59830e8f7f15bb0d1aa2b,2020-02,Essex Police,Essex Police,0.413821,51.581021,On or near BOURNE CLOSE,E01021278,Basildon 014E,Unable to prosecute suspect
6d300c06e95e05bdee8d296828fd05b654fd7490d0342c0af51a214c6fb6f74b,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
1feaebdabd7af89496e6cd3c77d42ead61c02b44778659221da6dfb509deb515,2020-02,Essex Police,Essex Police,,,No location,,,Action to be taken by another organisation
0f2d4e813e6d8d16ac902e163d4f6a9538fc1c6647c6dfc768c280aa23fa6ccc,2020-02,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
175676c94f7b1899b9594a60c391b45b95f534800661b45f1ae967107c6654fb,2020-02,Essex Police,Essex Police,,,No location,,,Local resolution
e30e6d0d6bf7be077de473e4997548f394f344f61fb216045c95465123095e6d,2020-02,Essex Police,Essex Police,0.499836,51.758004,On or near GOLDENACRES,E01021616,Chelmsford 004A,Investigation complete; no suspect identified
739dfcf976f256257e764d50a4e868292eb65581198c466c899d53ff3e18ac37,2020-02,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
e625cfb4228938e4b725cc34b7c8528764f333a18b034e1f5f478271b51a93bb,2020-02,Essex Police,Essex Police,0.456406,51.727039,On or near EVELYN PLACE,E01033138,Chelmsford 009F,Investigation complete; no suspect identified
9c88199aa11ec4d048f831110428964b05f8ea095635200d24c11e5c31d49924,2020-02,Essex Police,Essex Police,0.702811,51.740154,On or near STEEPLE CLOSE,E01021885,Maldon 003B,Investigation complete; no suspect identified
7d57b231896f377f73ed0d7af0693aaec7f41b4cbfab8c57fc95e758fc8309e7,2020-02,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
b67306dacc5ef6df59f9590df69afcd591255077220af5002ac86989ba61a417,2020-02,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
5f0c62a0333bae23c57c57e83b464fff2da0cc3fb934e95304bae43264e4bc61,2020-02,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
841382cf693837de076edc5366796089736a219ed163958ef56180aae182bf01,2020-02,Essex Police,Essex Police,0.711024,51.538338,On or near Parking Area,E01015854,Southend-on-Sea 015D,Unable to prosecute suspect
0c8a9a1bf667ecf2eb4df9134b484b3234a9cad4a37d9e8612781ed66efadc83,2020-02,Essex Police,Essex Police,,,No location,,,Suspect charged
471cded36cc212024fa536f1d04e530424e92d0be99b6bfa63b8f82013892dbc,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
7c114edec571d577e84598995dba9985b156a1d4bffac53123f09cc8e9c338a5,2020-02,Essex Police,Essex Police,0.551292,51.632674,On or near A130,E01021594,Chelmsford 021B,Investigation complete; no suspect identified
75f1fdedfd4b0483a124b69cd6890790b293db6608fe50d64ca237e146b68702,2020-02,Essex Police,Essex Police,,,No location,,,Suspect charged
82150f1ae7bce50b9a618338cbc19987e02311b763d4d184f6ac53f79f559a95,2020-02,Essex Police,Essex Police,0.424119,51.732566,On or near MAYFIELD ROAD,E01021633,Chelmsford 011C,Investigation complete; no suspect identified
0a8c1dcda618727a8043ceed717545fe9bb58262136e442881d6683f53965712,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
d449bde145181c3c72a30738c6f535c28b8f9072990920ecb4a541c73f03bffd,2020-02,Essex Police,Essex Police,0.603705,51.552875,On or near SANDBANKS,E01021520,Castle Point 006C,Unable to prosecute suspect
830dd1ba03b42503e82be5f00ebdf50634f67ed5ce1194a87e78fa7b9b7fb863,2020-02,Essex Police,Essex Police,0.442568,51.569859,On or near RAPHAELS,E01021287,Basildon 017A,Unable to prosecute suspect
14deea4fdd010516ad64c4528a25ea985830bb6cfcfac167b34fb783306cc4a2,2020-02,Essex Police,Essex Police,0.432238,51.585865,On or near REDWOOD DRIVE,E01021263,Basildon 010C,Formal action is not in the public interest
7e202e56b8d15e1c7fd4e8200a6a87ba7e7508dbd558269554cec48a548d6a49,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
ad21c87bd57d583228dcc17e8a064f59ea6e1ec2bdffe22ee2270cff562a85ed,2020-02,Essex Police,Essex Police,,,No location,,,Suspect charged
62386ffb5d13ecb1cea8247fc10418da18ae47ce0f5465467146799b2e41772f,2020-02,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
