Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6dd9ce2f1876f83dd4d7e0000971cd0a02234235481e311908f61a5b80f3e53a,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
b196989f017478602db5c412e5fbfa288b380e67f35f4a581c2cf30dfb122741,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
7f1b8c6b55e4ab6ddaf5a33c9f56c79d68192893d7eda1f046ca747fa3cbf564,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
38fe3ea9309b69852d0dedab8aae8fec9bb579bac50e27020eb6ccddde580e1f,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
76c08b9dbd006ea56b509023013ec14e9262c008942d34548bb5be33bc55265e,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
a80567353513469abb162de0594e6ac16c90a7cccc343602336f24d6b4a2549b,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
89ae188ec0cbc889739918023b9c5636d2da596822a60166ae53517c91abd35f,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Formal action is not in the public interest
248be294762ff4e466662beb274c1c3077e3bb03ebb608a4b039c47d2ec31f67,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
5d3292d601bbf251fe78290aaa0defd8ab0a70b7ae1163716e302a56276629e4,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
d653805d1d0c1e1573ade69211d9401080438fee19d81543d8386e95020396e2,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
ff4d19580121564ec47f7f970d9dbba9ab0b07e62bf01ba5eb3d1ac824c8d568,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
c458e0c63fa9730b3ec116d7cb201ac35261c865fd6b4f53d4bb9a763159413f,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
47465be6608b521e6dc4ecbd719f876f599a225c8bee8dcd416b63d34e59f837,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
c51443182980a05db61c9063dbb521a52cbf8541a74a6a96a8e33aa43528cb07,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Formal action is not in the public interest
a2fa73183ea24501321766989484ce1db94ac8ca3befceebcb6236052b5d565c,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
05dc5cc9e691d393462bec6ce3a9d4ca79b15bf98a1dcb8bb2727a3c778a63f4,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
464578bcc34a972321958c7f4b3fe9a168be0a36343d8f993f91c245df859171,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
201dbfd680b06cf884032de81925c7ceed0d751f113a8c5cf92b4f78e73e4b65,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Formal action is not in the public interest
781d36cc99f1aacecea7ae5a49cf75f46450235fd19e8a18bd9cc919d2215273,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
4406b0155a5b0e14f793f24cfa196fc7f9a96bbd7bd15936795c9c20f5ad6b93,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
e5638e8da2de988e07e68de76a2a3dfe6ebb0109643c221e25d2e80b6e3b6184,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
e9b174244df119b2986513341501c9f66fa1d2ffaa5640d28bac60fbc987fcea,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
968c668f20b9b80f47505c7d80e4001256de9aad5cdd76478c27f81c0f25b1f2,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
7431746b1ed73614c20783c73e1e580e7d69949bce3455a271a267a9b61a0959,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
3fe7035ec0022965d03360b9915518b67d183c67534abbd9df9dca15836da375,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
186b8d7a56d58174975fed351ab55899d71b3bf6726e0f26145edd24621bc04e,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
95a3fcd2183cd950062c5a262917dd994577b72d3b13643c99f9db2c2ef2738b,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
50e0a88596597d55afbaa0dd953cff39577233c4913c1c2547be3524a9e6b088,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
3871fef3b077f2790c70961960f97711b01e4e0614cfdeefa46f0146500853f8,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
5ddb258a2a331c603beb37db211dae609fb9621a5b2a7df3c40a0548ef7d6efb,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
495244fca7c806c5808f81567236d5d2c0d7e9906b89b7ee8b742f8976899d1b,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
fef98e5637ca5d18f93ceea071b613476e8bab85d09066cde325baa0acff8778,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
7347dd3022871668a7367cf9aaea49aa4795991e932e69ed95f8e551bb069f2f,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
8b381d492cb5f3ece62e4af2ab238f1dee28a9837a13632d197a650e478e8993,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Formal action is not in the public interest
2c0922804b3c609e803f64b18063e1b99c0a6a0d3934c7299941de6a0f2abeeb,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
149f68b8c72c57bdf9a605c34f9c3be1754e5c92a47721faea2648903052ac37,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
8967af006a4dccd762d6352334fd7825850ac102475f6ff104a63042e3a2778d,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
92e6724854bd579e804c11724530b564d4077140f5aecb425c6e9914de27613a,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
cf504c5d40436915d5aa57cf9905d933fac0a4342c5d0be2510d4f24ca0c8361,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
16de90a42a3e6ccd35dde602026abfaa4dfc373b94517d351e0b357c0938eebd,2020-02,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
