Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0fddda2a6d3413e052ddaa9c9f9b0b5fcd084d874221532b533c45a04e93c0b4,2020-02,Lancashire Constabulary,Lancashire Constabulary,-2.483772,53.747386,On or near FLEMING SQUARE,E01012644,Blackburn with Darwen 006D,Suspect charged
0fddda2a6d3413e052ddaa9c9f9b0b5fcd084d874221532b533c45a04e93c0b4,2020-02,Lancashire Constabulary,Lancashire Constabulary,-2.483772,53.747386,On or near FLEMING SQUARE,E01012644,Blackburn with Darwen 006D,Suspect charged
0fddda2a6d3413e052ddaa9c9f9b0b5fcd084d874221532b533c45a04e93c0b4,2020-02,Lancashire Constabulary,Lancashire Constabulary,-2.483772,53.747386,On or near FLEMING SQUARE,E01012644,Blackburn with Darwen 006D,Suspect charged
615cfb7cea8d62049e3176a3809414d72e22344831190bc6afd1358ae37fe9ef,2020-02,Lancashire Constabulary,Lancashire Constabulary,-3.041855,53.798986,On or near HALL AVENUE,E01012745,Blackpool 015D,Unable to prosecute suspect
f03f74c8a781725b3be7a73cedaf0d7b81a6e7af1d18605ea54bfbedf44847d2,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
87ef39685ac038806614afefa1b3b31927b98c6e76960ffc203184c952e57db2,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
24035a4558661664d76e68fc204fd4fca3b8b55b24f9597711b05a38bebc8276,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
81f2231b3d18b1e711545a5d23e4380f3a6656dcc0272bb4a091cefce5f1ed51,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
2b4e3efbc950b785707cff18acd0612517939a5925624f66f907f2366b209e57,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
89a1625566395313c74d0f53c9af1efcdd4e33c7eb78230f6ded82b7cb0fc1b8,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
d92494dfbc627c9c744c5a64363db514f81c0f299be88f98448c42ca44ddb838,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
5415f994169d0eac37964ac46a8af00c39e3ce30a468f6ce420a1d3ea0acaf8e,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
3306ea716db8e35cb1c0786e96f4838a2b15d868ebc83aac97a4286150eb6bc0,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
5cb7eb2633a8d9e5888c3c8da5b77cdfdb3da60cae491946151c8767b4bb04cf,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
256cb0aea787765fabb983d363fda9f3814f9f04273f5892e87fc0ec701dc0aa,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
6ca5bb158fcd3abcc2d36dabbac4e425bc5d49f5d3eed44563984571e6d12a4a,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
89ce00cc7248b59d1368f10eca39d1809b80e2c9ccdc828b9ba313251d5bafea,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
d72de7377585a2a2eedee36d47ce617d384b118875eefb474c5246ae6b8960f4,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
84811e6be476805988359ceaccba27cd492fcb5ed295530f42b872bef4bcf805,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
d5ec5aa6d641b99ca28802de85caef6d666a96c98045082fc6ead3b7a9a19edc,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
d43102daed6f4b9e66ef4e35fe30de870743de0c3da41a8e61df5240203a92f7,2020-02,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
