Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c6e9bd556eb4291644fc9511cc5ca715da73dea0b1020984738097f285c3416f,2020-02,Lincolnshire Police,Lincolnshire Police,-0.774469,53.394643,On or near PRIMROSE STREET,E01026383,West Lindsey 004E,Unable to prosecute suspect
48dd674a270f40f830769165199e0c6aeae4ab4cbddac755dafbd6ba7c01a1bd,2020-02,Lincolnshire Police,Lincolnshire Police,-0.559646,53.215511,On or near CLIVE AVENUE,E01026135,Lincoln 008B,Suspect charged
acd3035647b16f4af685895a688e469530fe00b7f07fd88b313ac575a8f3e817,2020-02,Lincolnshire Police,Lincolnshire Police,-0.584297,53.396989,On or near A631,E01026385,West Lindsey 005A,Formal action is not in the public interest
253a26e529c710403893e5be4162c1bc54323d2930787433a1eea17facd3e06a,2020-02,Lincolnshire Police,Lincolnshire Police,-0.345450,52.891063,On or near AVELAND DRIVE,E01026361,South Kesteven 008D,Unable to prosecute suspect
c27a909249d2d10edf0a11716bbb1e225c0453e4c3d714de672b3217c6b122b1,2020-02,Lincolnshire Police,Lincolnshire Police,-0.010589,52.977605,On or near FREISTON ROAD,E01026028,Boston 004E,Unable to prosecute suspect
22c5b22cb9f7f06ab9734827cb817210fa7571cd5f31ae2e6ad68f2df4989637,2020-02,Lincolnshire Police,Lincolnshire Police,-0.372686,52.771804,On or near HARRINGTON STREET,E01026297,South Kesteven 011C,Unable to prosecute suspect
442765ea095cd75cbae1c6b49b18692865c0ec398fe17526d07563a09f93fd17,2020-02,Lincolnshire Police,Lincolnshire Police,-0.408731,52.994029,On or near Sports/Recreation Area,E01026231,North Kesteven 010C,Unable to prosecute suspect
070af918318e9dfd2b9e6afa268cccea8081f4fd5f088ee4c8e67125e2528e10,2020-02,Lincolnshire Police,Lincolnshire Police,-0.339685,53.498486,On or near HADRIAN WAY,E01026368,West Lindsey 001B,Investigation complete; no suspect identified
442765ea095cd75cbae1c6b49b18692865c0ec398fe17526d07563a09f93fd17,2020-02,Lincolnshire Police,Lincolnshire Police,-0.408731,52.994029,On or near Sports/Recreation Area,E01026231,North Kesteven 010C,Unable to prosecute suspect
9cd207afc02ee34685a477e42d3649495517c4a11c0a21929924dc25f56be306,2020-02,Lincolnshire Police,Lincolnshire Police,-0.022428,52.984518,On or near HOPE GARDENS,E01026036,Boston 003D,Local resolution
9cd207afc02ee34685a477e42d3649495517c4a11c0a21929924dc25f56be306,2020-02,Lincolnshire Police,Lincolnshire Police,-0.022428,52.984518,On or near HOPE GARDENS,E01026036,Boston 003D,Local resolution
9cd207afc02ee34685a477e42d3649495517c4a11c0a21929924dc25f56be306,2020-02,Lincolnshire Police,Lincolnshire Police,-0.022428,52.984518,On or near HOPE GARDENS,E01026036,Boston 003D,Local resolution
d4ce4f427aa416a29ff7b2f6eea0e2c253a48678a428fe1676b3e582cd01a861,2020-02,Lincolnshire Police,Lincolnshire Police,0.265185,53.335487,On or near ELM AVENUE,E01026073,East Lindsey 005B,Unable to prosecute suspect
d5802734e6a5660820470c03108d42043d2f497bb0f1ea91144b1bad7d32014c,2020-02,Lincolnshire Police,Lincolnshire Police,-0.778196,53.399976,On or near BRIGHT STREET,E01026384,West Lindsey 004F,Unable to prosecute suspect
142084faeb27f8d7d0cee31542d4452756037a64d1981bbfaa9a4d861353cb41,2020-02,Lincolnshire Police,Lincolnshire Police,-0.022715,52.976926,On or near SIBSEY LANE,E01026025,Boston 003C,Suspect charged
2a988ae456272a8576374d759007d3ff5810f3a46cbdae8f0abd3e66c5d91ba2,2020-02,Lincolnshire Police,Lincolnshire Police,-0.537982,53.231150,On or near GRANTHAM STREET,E01026122,Lincoln 004A,Unable to prosecute suspect
89e789ed60da5e85d1042cac8e0feefbd3efd44193d512a2377c7c7c6202086d,2020-02,Lincolnshire Police,Lincolnshire Police,-0.552314,53.236197,On or near ELY STREET,E01026144,Lincoln 003B,Unable to prosecute suspect
a71dfd53e40e7badd816f21937904ca4740c1a79ffd6f778dee717363c31941e,2020-02,Lincolnshire Police,Lincolnshire Police,-0.143858,52.833501,On or near SUNNYDALE CLOSE,E01026276,South Holland 001E,Suspect charged
f0cac1d1a4750d30f43055b23950aaeaa5d586390b04a087971b5a12f026097c,2020-02,Lincolnshire Police,Lincolnshire Police,-0.547614,53.232068,On or near WHITEHALL GROVE,E01026143,Lincoln 005B,Unable to prosecute suspect
1985b45d25802b690e238dd283b41b735af2d075d17e4ddf0d0c7eeeeb076d59,2020-02,Lincolnshire Police,Lincolnshire Police,-0.547614,53.232068,On or near WHITEHALL GROVE,E01026143,Lincoln 005B,Unable to prosecute suspect
c89b9b4b77dbb35b7d25ae672bda49db04a7c86fbf1366b6617285874587e1c7,2020-02,Lincolnshire Police,Lincolnshire Police,-0.299757,53.183723,On or near LOW THORPE,E01026366,West Lindsey 011A,Unable to prosecute suspect
ba180bfed00163428fb46bb5f3337989c2f0a33ff121e0ec070cd147886fae7d,2020-02,Lincolnshire Police,Lincolnshire Police,-0.372686,52.771804,On or near HARRINGTON STREET,E01026297,South Kesteven 011C,Unable to prosecute suspect
dfa1eeca29b3ddd64ed81293bc964bdfc516fd99825a24b052b2f3b12512fe44,2020-02,Lincolnshire Police,Lincolnshire Police,-0.344065,52.891934,On or near GENOVA COURT,E01026361,South Kesteven 008D,Unable to prosecute suspect
fc5af0fcf7504a41689fd5688888aaab237fd34cea9201eb3e15e989e2ed3065,2020-02,Lincolnshire Police,Lincolnshire Police,-0.706817,53.159315,On or near BULPIT LANE,E01026193,North Kesteven 003C,Unable to prosecute suspect
7d82e331b739ad545ad7c2b668376b3e72c664de488a9ed0a90dd803b1414392,2020-02,Lincolnshire Police,Lincolnshire Police,0.320514,53.152304,On or near CHESHIRE GROVE,E01026083,East Lindsey 015A,Unable to prosecute suspect
118dfbeba587c39f11d5f77adbbb4ce1fcee48c6d1626c9f01560cfc3ec10e15,2020-02,Lincolnshire Police,Lincolnshire Police,-0.376301,52.757909,On or near THE POLLARDS,E01032998,South Kesteven 011F,Unable to prosecute suspect
5383930289f577950250d86a019367c0a1b61ef7c1f2e2466dfee23dd5a71187,2020-02,Lincolnshire Police,Lincolnshire Police,-0.394083,52.999694,On or near THE HOPLANDS,E01026208,North Kesteven 012E,Unable to prosecute suspect
846c90f37bc1d3b9ee5e2203c6df271fd2bd479a3c3ee81c03ba8a3c02260620,2020-02,Lincolnshire Police,Lincolnshire Police,-0.415011,53.271650,On or near STATION ROAD,E01026373,West Lindsey 011E,Unable to prosecute suspect
3374325465e8ee783504e0ccc541ee5ef03bf77ff34e5c184f800993e758ed6b,2020-02,Lincolnshire Police,Lincolnshire Police,-0.319159,53.213405,On or near LEA GROVE,E01026366,West Lindsey 011A,Unable to prosecute suspect
