Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0267bf8c0958f252c351ad8a19d7e3dcd47f29c4ee83906f6ac3fb88b55b5cec,2020-02,Northumbria Police,Northumbria Police,-1.582634,55.333981,On or near BRIDGE STREET,E01027361,Northumberland 006A,Offender given a caution
b27f0a824370658b7b7cbea36261a8ee1a08fe26097cd96f7885131a88667cae,2020-02,Northumbria Police,Northumbria Police,-2.046548,54.955181,On or near B6307,E01027504,Northumberland 039C,Investigation complete; no suspect identified
5bdee0535d404169c021c827f89eb5b7dc03639b573d5b35c2bd463ac93b4e02,2020-02,Northumbria Police,Northumbria Police,-1.675025,54.949329,On or near ASHFIELD PARK,E01008265,Gateshead 009D,Investigation complete; no suspect identified
1c352078585a1b79456c6ce521ea2cc51a02fda69ea67c16592870127eed2444,2020-02,Northumbria Police,Northumbria Police,-1.380267,54.915123,On or near ROKER AVENUE,E01008791,Sunderland 006F,Investigation complete; no suspect identified
c33b0ea34a2c7bb4dcc46efb09658fa9684226c39872c9ed629c6b61aae561bb,2020-02,Northumbria Police,Northumbria Police,-1.381278,54.900058,On or near PARK ROAD,E01008834,Sunderland 013E,Investigation complete; no suspect identified
b65d1d7a8d5093b7e4ec568452392d3bfcf6e4607b62c148ee2229976a74a328,2020-02,Northumbria Police,Northumbria Police,-1.480191,54.956812,On or near GREENLANDS,E01008628,South Tyneside 020B,Investigation complete; no suspect identified
e166d69ea3dc50b1921a353f1bb7019eef66ac045a53714591eee755862699f2,2020-02,Northumbria Police,Northumbria Police,-2.013676,55.753346,On or near HILLSIDE,E01027385,Northumberland 001C,Investigation complete; no suspect identified
88292320af2ba0479c987cfaa56f8cc0ba90773ea14942221c66cafa8b50b337,2020-02,Northumbria Police,Northumbria Police,-1.558475,55.222652,On or near BREAMISH,E01027445,Northumberland 008C,Investigation complete; no suspect identified
e716447b7c94967a44be730068a4d48a8c3b4f057911e071be4fbe4f8ecdd37e,2020-02,Northumbria Police,Northumbria Police,-1.417301,54.929109,On or near WENDOVER CLOSE,E01008821,Sunderland 004D,Investigation complete; no suspect identified
0e776499d89e7da9beb5cd4c152252bd711b44f02d1fdaca3781f940c41709da,2020-02,Northumbria Police,Northumbria Police,-1.598252,54.956127,On or near CAMILLA STREET,E01008163,Gateshead 028A,Investigation complete; no suspect identified
e0ee2f25674426ba9e7621c835d273f31c48a54528efe25cd8ff0473c1dea565,2020-02,Northumbria Police,Northumbria Police,-1.664172,55.002057,On or near ASHOVER ROAD,E01008295,Newcastle upon Tyne 008A,Investigation complete; no suspect identified
f4207287a5c12c9bdf05306cd581d3d076b17e81470c860b0b89a87d635e58b0,2020-02,Northumbria Police,Northumbria Police,-1.611537,54.971123,On or near Nightclub,E01033543,Newcastle upon Tyne 024G,Investigation complete; no suspect identified
3878d4598604d9ac43493319908de99abdc2792fe3e89f75e7647fb5c8968fc8,2020-02,Northumbria Police,Northumbria Police,-1.647625,55.009972,On or near AMBRIDGE WAY,E01008340,Newcastle upon Tyne 003E,Investigation complete; no suspect identified
cd818f0d20151223e5633a126c237be6391f9a42edd05fbd8f5b631cf48e7e26,2020-02,Northumbria Police,Northumbria Police,-1.438556,54.865109,On or near CITY WAY,E01008775,Sunderland 029C,Investigation complete; no suspect identified
dbd07ac74d984cef7152c485395e36330d4a0183ff8bdce386e3d18e09884c98,2020-02,Northumbria Police,Northumbria Police,-1.549268,55.167956,On or near FREEMAN WAY,E01027532,Northumberland 014A,Investigation complete; no suspect identified
