Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
017119b80f1062b6fe5a44a0efdce5f7abd9aab67e40070db4d0a89a49e58f80,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
fa62154d1b3d96a0894fd0377211e9f514b0622402b2881fe3f7c3af645a16af,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
de5ca85b347e2ca7b0ba4f05a19aa208241b896d71262f92a965567826248b06,2020-02,South Wales Police,South Wales Police,-3.925541,51.666827,On or near Parking Area,W01000813,Swansea 008D,Investigation complete; no suspect identified
5a2ab1b5c3d2e4b10020c429d5a0d1a4026517286aa8faf477b82f4b89328cb1,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
5eb14e5a9aa6a6223ee9eceb0e5870104b5a62a9dd9528300b0fa64c881f1220,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
71142defb22ef8ee73596c84084175c93d5281fd1a175486746034df01b81223,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
1fc381735d320fe9c211c9ffed14eb74002f3f82f411e485df5d3c4f31f94e4a,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
07c2225b935f26f2de4d97f8ce86c9715f5d049b00e37b3d3497b629e1d01975,2020-02,South Wales Police,South Wales Police,-3.926062,51.644328,On or near Pedestrian Subway,W01000741,Swansea 014D,Investigation complete; no suspect identified
ba0860b7473e03c99a0f55e718938475d9664fcd470dce43b9a6580defdf7e8d,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
cb3800be6d1181446ca62205c4a62817e2a5ff59813479cfac6866bb2a991ca8,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
da8da8e08e4708a652f70a3d9e3771c663f5638e9e7add14f75e251c189a1444,2020-02,South Wales Police,South Wales Police,-3.941851,51.633304,On or near CWM ROAD,W01000742,Swansea 016A,Investigation complete; no suspect identified
f9f97f0db69d09e56b192dd957e6d1710048cfc338f81a0e973e37f867060019,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f5944800d024a35e38547768cbd63ae21ac3c2155a93354d331fa1dbc7051677,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b53d9e7f9962ab0a6a0f3d87575070c5fcb69d995c6558b7f73ed1a65fc9afd5,2020-02,South Wales Police,South Wales Police,-3.340306,51.602789,On or near TAFF STREET,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
57365f2ed39cdc12d4a430f9b28dbb1cf4197c68efa855944c3d56cae98f3452,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
81c1211af175b606894029437f5404c0c960ce277b8c14b51e3ed88be1b847b6,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
cbae97ac3a9223613523b4a26f05c716fb849f0b21f9389c7e6ca5749b877838,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
1be8332e6487c6c7ef54688559f65512edcb99f61ff7bebd7ecb929f55456556,2020-02,South Wales Police,South Wales Police,-3.251613,51.473826,On or near CAERAU COURT ROAD,W01001708,Cardiff 045D,Investigation complete; no suspect identified
0c0e8b537d2d78c90d3fa02c9eea8944793117b9142c31fb2fb8c53a553bd06a,2020-02,South Wales Police,South Wales Police,-3.577389,51.503490,On or near STRYD Y CAPEL,W01001035,Bridgend 014E,Investigation complete; no suspect identified
1f26b27e52df23a5445c8b9270780179374b768cabf400dfdda0a4d375a5543e,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f9f3d80af5877bd1f137de24bf94bc0f4ace7f31d120fca9c090ce393999dcb9,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a0e9717684730cd9810553cbba7671a0ce0893397deda20c9d27634b312e098b,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d9292bdbf9f273088275fafdad21147b4ff1fe318a68f38c69824e7195d759a2,2020-02,South Wales Police,South Wales Police,-3.258106,51.469629,On or near LON OWAIN,W01001705,Cardiff 045C,Investigation complete; no suspect identified
d549b5f386a79371da3007898d1e9cd1aac3cad7693be5388636aa8441bf7a49,2020-02,South Wales Police,South Wales Police,-3.447163,51.714520,On or near WEATHERAL STREET,W01001148,Rhondda Cynon Taf 002A,Investigation complete; no suspect identified
9f88163b6cded2d54911c03c865b0edf6673e250912f1af1d206eecc9567cb6b,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ab2100b3cf3ac07c9c0979613619f070a0012a1a5fd5e5a8698fa9495492930b,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
062fe9662e128970620794e2c230f3a346f74b5b64ba2647268a9722734b892d,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
87da645912ac4170ac26c4757cb2e8c5d6f51c6b2fca3bf944e381d1536c8b7c,2020-02,South Wales Police,South Wales Police,-3.200327,51.485998,On or near KINGS ROAD,W01001860,Cardiff 034C,Investigation complete; no suspect identified
c7c836768d982e9bba1b715fa7e62cd1d5598276d81ef223f0e9a2b34e901630,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
68563a0fdcee7850127237e498ee4992b0e5acb227ab65011fe6f77e1ea9de59,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
42611f9b4e33d8a5f8d731171632b0f23f06da126051c82b29a0ef045641e663,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
aa6f4e9cdcba64869e9d92b04283371aa6d7eb54552a68ae6aa27858f720a845,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
32bc1ea96b347a6053903f3659c5cba6a2278e0165d19e84df985846cfa1bf0f,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
c3f269324f497c9d78de1f09675ec7a508b0d3fcb089c836f842e15d8498f60b,2020-02,South Wales Police,South Wales Police,-3.187546,51.476336,On or near CLARE ROAD,W01001856,Cardiff 042B,Investigation complete; no suspect identified
08d0e455da1eed332ec794594c11e6399db070636aa225a54b5b0c02f0f0961f,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
caf701ecb10cd58f947634b0bfec5bc5c38ee91346fa294216d5a98d900f9ea9,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f328f1e80c962e8e6cf7d17463b4afdcb0d8a83a3c6091072c0856756150a088,2020-02,South Wales Police,South Wales Police,-3.168755,51.488727,On or near TAVISTOCK STREET,W01001832,Cardiff 033C,Investigation complete; no suspect identified
030c9840a02e9f37d524d7377e198370fe59cf33115b3a87cc85a9612d0e1955,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a853e85423026d56dea1b3e2ab4890f8f1503fed4e25df06cc5f1d75093efbf6,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
82ec391f4f289cdf13a6d4c2e3913f0ffed9056e7ace1393580b0ab6ecf4fecc,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
79f8aaa855737198518d3099f6c26adb07c2b8bbfa07276f107a2050dbe9bcab,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
eb44ca6482c1bee16db26dde45976323d4e18be483b64ccc040ae01d78412dc3,2020-02,South Wales Police,South Wales Police,-3.178365,51.472643,On or near TRADE STREET,W01001952,Cardiff 049F,Investigation complete; no suspect identified
344c9115a5458024d766505b3f4a61d1b21d9fdd999cbb1ab94a663af1263d4d,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
acd28f4b7a753dd6c559ae9af7c82e81f0a08b6a7d90c14e38d183c0b95eb74f,2020-02,South Wales Police,South Wales Police,-3.292201,51.415171,On or near WHITMORE PARK DRIVE,W01001103,The Vale of Glamorgan 010D,Investigation complete; no suspect identified
c1d04c9e7160cb3861c0e21d35528ab3ef122c3ae2da100f1c2b6560fc0dd5b7,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
577cac1dbe0647bc4d6eb45f7c6cfef95578ca9efce4a1fb089e156cf37b694d,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b8fac384b4c0078c255165a1d0732dbc056b42561b49434271f0ec2f6d67eb13,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
0162f5b87cb87314dc70ae73520c04008bcfe64c7097fdab97e288029bbba751,2020-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
