Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
06d80cf606b67bda9c3977db2a9be43e94bd98ebe6702b767d9816f5de1474f4,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
b951270bec585a63f86a2b9c87b3399fd2480207c372b1fd453c768c85c03661,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
5152c1858a4be213acddda3626dee43db89d293cc5c6d5643565a2736117f4a1,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
a92be797b9bb6d48f4f5f800e41385101900ea37b771208ff7dd6f12ff736554,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
52987c21af5de69714d5eb3e3f5d529808eecd97d130896b3c40d4eb70f8bd24,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
1027047dff9e4138931e8a0b2360a32f2f1f68bed9e3c818036d06ae83b23ea4,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
9a7506080f84ba9c317699de07dcd150c8d7d32386593da9f192ff1e934c4532,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
afe3a7a8c442bf8a75748e5cca5ecf42959eb535a507493ea4e25321d43bc28e,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
1856c4d329a002f47f5ea4388fe317f8d169f4687ddf39b795ccbcb7b0a48e88,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
7e23a4f359ae9d40c6ca154ae180a35c336b46e9f2d5c7ad611457a0f934c87a,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
4429499dd45b65c835031149c19183903c30817284acad5f06d7f0a58de18ba1,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
e9ca25be659773c96ffd1d5d40012e8b0f449bccc232a754d2db1c154b44ac02,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
585e13e8ae051c84ed4180062ffe652cddf793b3ed44d67e71dbb455c60dd75e,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
fe14d097ebbcae7f7989a9d1e780c6b296d36c12ce056c30cdbcf7d866c8eaed,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
e68acdac4502236863ae929b6a54de3ca1a553f1848df357615274fabcaa8fb4,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged as part of another case
0b877ee41720b8a5e365d14bfca002a46e37765860c34b100b6b24b33941fd17,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged as part of another case
3749ca32b3944b1fe5db1a35bbb9d43b93331a7a7480996efe04509ce966dc07,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
f4414dba20da609e205f8485f9f358255ac361b6e04ae3f051f69d90f079e7fa,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
9cae248d4b9b32594ca6582cdb18f23a1db860bdd7d5aa0f7118036789012035,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
3a98edc7b6532571baecd04667a6c6b28dcd182472987e3f8053f1e0db240390,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
1b20796d4553de97ef620400cb3a0e2765f9b4cbac654b167d3bb1f1cb23b88a,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
85d8bed38697b07526831944e48e6a6fd09ff89cf651a0b5467246a7d5fb1e3b,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
3a820fad3897d7bdb0dfe2447c6741f86cff746911a09ea090c1d96bdb8e76e1,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
deabde64ad1467d0c84d349e259c1b2dc7e42535fb3f13675645ee61a1952389,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
e99f44749541311a77558ffc671852327654b58f59baa144a6c7e74ef3a73968,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
479ed3ab4551cfb2c31ed9de037adc78cc3e4b3edf3937ff3825c4d7ad722e54,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
b94f40371abd94ba8cf754d5f7c5d7a733d631b44754cd347249e46bff8d4d1d,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
381955cdd7e742eae494bd972a3f830c382770f6cfa174d776ded90051ab704a,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
e0d342d1ec6e66f47e0621c9cad26947e3eb6f4096346a5ff7408266b7acf729,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
5d1567a20812ebaf43063506418d49320eb4ccebf64a496b54ea26f03491be1d,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
f303112dd29c50f4974f4eb1e9e259fb9c26d3d40629ac839db2a6841ee95143,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
b80de808acf5b7ffd9bf68dccf1bb73df26590a47c7a0825e64d67b0b859edb8,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
6d4d1d3112732cfd61ae3124957e31050e1c7005232aa73677bbc79e664c9cad,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
323af8076c7e522c76da245a35aac1e749eafcee06225dca3b38ce58f230dab3,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
482cba1ca70787188865b8fbc7746febc02d9008c733626eedcf24ebeafc1248,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
cb9a8fe3b5aff02fdaea99c4d284979473e0e9b80b55133477a780582e20a8c9,2020-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
